source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[pooled sample]	characteristics[sample type]	characteristics[disease]	characteristics[sample matrix]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[individual]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[platform]	comment[instrument]	comment[panel name]	comment[quantification unit]	comment[plate]	comment[normalization method]	comment[lot number]	comment[file uri]
PAD000028-SAMPLE_1	Homo sapiens	blood plasma	not applicable	1	not pooled	study sample	not available	blood plasma	not available	not available	not available	neonate	SAMPLE_1	PAD000028-r00001-SAMPLE_1	protein expression profiling by antibody array	1	Rawdataparent.npx.csv	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.0.0	Olink Target 96	NT=Olink Target 96;AC=PRIDE:0000655	Olink Target 96 Cardiovascular III	NPX	Target96	Intensity Normalized (v.3)	6115	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/09/PAD000028/Rawdataparent.npx.csv
PAD000028-SAMPLE_2	Homo sapiens	blood plasma	not applicable	2	not pooled	study sample	not available	blood plasma	not available	not available	not available	neonate	SAMPLE_2	PAD000028-r00002-SAMPLE_2	protein expression profiling by antibody array	1	Rawdataparent.npx.csv	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.0.0	Olink Target 96	NT=Olink Target 96;AC=PRIDE:0000655	Olink Target 96 Cardiovascular III	NPX	Target96	Intensity Normalized (v.3)	6115	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/09/PAD000028/Rawdataparent.npx.csv
PAD000028-SAMPLE_3	Homo sapiens	blood plasma	not applicable	3	not pooled	study sample	not available	blood plasma	not available	not available	not available	neonate	SAMPLE_3	PAD000028-r00003-SAMPLE_3	protein expression profiling by antibody array	1	Rawdataparent.npx.csv	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.0.0	Olink Target 96	NT=Olink Target 96;AC=PRIDE:0000655	Olink Target 96 Cardiovascular III	NPX	Target96	Intensity Normalized (v.3)	6115	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/09/PAD000028/Rawdataparent.npx.csv
PAD000028-SAMPLE_4	Homo sapiens	blood plasma	not applicable	4	not pooled	study sample	not available	blood plasma	not available	not available	not available	neonate	SAMPLE_4	PAD000028-r00004-SAMPLE_4	protein expression profiling by antibody array	1	Rawdataparent.npx.csv	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.0.0	Olink Target 96	NT=Olink Target 96;AC=PRIDE:0000655	Olink Target 96 Cardiovascular III	NPX	Target96	Intensity Normalized (v.3)	6115	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/09/PAD000028/Rawdataparent.npx.csv
PAD000028-SAMPLE_5	Homo sapiens	blood plasma	not applicable	5	not pooled	study sample	not available	blood plasma	not available	not available	not available	neonate	SAMPLE_5	PAD000028-r00005-SAMPLE_5	protein expression profiling by antibody array	1	Rawdataparent.npx.csv	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.0.0	Olink Target 96	NT=Olink Target 96;AC=PRIDE:0000655	Olink Target 96 Cardiovascular III	NPX	Target96	Intensity Normalized (v.3)	6115	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/09/PAD000028/Rawdataparent.npx.csv
PAD000028-SAMPLE_6	Homo sapiens	blood plasma	not applicable	6	not pooled	study sample	not available	blood plasma	not available	not available	not available	neonate	SAMPLE_6	PAD000028-r00006-SAMPLE_6	protein expression profiling by antibody array	1	Rawdataparent.npx.csv	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.0.0	Olink Target 96	NT=Olink Target 96;AC=PRIDE:0000655	Olink Target 96 Cardiovascular III	NPX	Target96	Intensity Normalized (v.3)	6115	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/09/PAD000028/Rawdataparent.npx.csv
PAD000028-SAMPLE_7	Homo sapiens	blood plasma	not applicable	7	not pooled	study sample	not available	blood plasma	not available	not available	not available	neonate	SAMPLE_7	PAD000028-r00007-SAMPLE_7	protein expression profiling by antibody array	1	Rawdataparent.npx.csv	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.0.0	Olink Target 96	NT=Olink Target 96;AC=PRIDE:0000655	Olink Target 96 Cardiovascular III	NPX	Target96	Intensity Normalized (v.3)	6115	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/09/PAD000028/Rawdataparent.npx.csv
PAD000028-SAMPLE_8	Homo sapiens	blood plasma	not applicable	8	not pooled	study sample	not available	blood plasma	not available	not available	not available	neonate	SAMPLE_8	PAD000028-r00008-SAMPLE_8	protein expression profiling by antibody array	1	Rawdataparent.npx.csv	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.0.0	Olink Target 96	NT=Olink Target 96;AC=PRIDE:0000655	Olink Target 96 Cardiovascular III	NPX	Target96	Intensity Normalized (v.3)	6115	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/09/PAD000028/Rawdataparent.npx.csv
PAD000028-SAMPLE_9	Homo sapiens	blood plasma	not applicable	9	not pooled	study sample	not available	blood plasma	not available	not available	not available	neonate	SAMPLE_9	PAD000028-r00009-SAMPLE_9	protein expression profiling by antibody array	1	Rawdataparent.npx.csv	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.0.0	Olink Target 96	NT=Olink Target 96;AC=PRIDE:0000655	Olink Target 96 Cardiovascular III	NPX	Target96	Intensity Normalized (v.3)	6115	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/09/PAD000028/Rawdataparent.npx.csv
PAD000028-SAMPLE_10	Homo sapiens	blood plasma	not applicable	10	not pooled	study sample	not available	blood plasma	not available	not available	not available	neonate	SAMPLE_10	PAD000028-r00010-SAMPLE_10	protein expression profiling by antibody array	1	Rawdataparent.npx.csv	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.0.0	Olink Target 96	NT=Olink Target 96;AC=PRIDE:0000655	Olink Target 96 Cardiovascular III	NPX	Target96	Intensity Normalized (v.3)	6115	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/09/PAD000028/Rawdataparent.npx.csv
