source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[iTRAQ plex]
alveolar macrophage iTRAQ plex 1	Homo sapiens	lung	macrophage	sarcoidosis	1	100524_sarcoidosis_MAP_exp1_fr19	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	19	1	100524_sarcoidosis_MAP_exp1_fr19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	exp1
alveolar macrophage iTRAQ plex 1	Homo sapiens	lung	macrophage	sarcoidosis	1	100524_sarcoidosis_MAP_exp1_fr20	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	20	1	100524_sarcoidosis_MAP_exp1_fr20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	exp1
alveolar macrophage iTRAQ plex 1	Homo sapiens	lung	macrophage	sarcoidosis	1	100524_sarcoidosis_MAP_exp1_fr21	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	21	1	100524_sarcoidosis_MAP_exp1_fr21.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	exp1
alveolar macrophage iTRAQ plex 1	Homo sapiens	lung	macrophage	sarcoidosis	1	100524_sarcoidosis_MAP_exp1_fr22	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	22	1	100524_sarcoidosis_MAP_exp1_fr22.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	exp1
alveolar macrophage iTRAQ plex 1	Homo sapiens	lung	macrophage	sarcoidosis	1	100524_sarcoidosis_MAP_exp1_fr23	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	23	1	100524_sarcoidosis_MAP_exp1_fr23.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	exp1
alveolar macrophage iTRAQ plex 1	Homo sapiens	lung	macrophage	sarcoidosis	1	100524_sarcoidosis_MAP_exp1_fr24	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	24	1	100524_sarcoidosis_MAP_exp1_fr24.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	exp1
alveolar macrophage iTRAQ plex 1	Homo sapiens	lung	macrophage	sarcoidosis	1	100524_sarcoidosis_MAP_exp1_fr25	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	25	1	100524_sarcoidosis_MAP_exp1_fr25.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	exp1
alveolar macrophage iTRAQ plex 1	Homo sapiens	lung	macrophage	sarcoidosis	1	100524_sarcoidosis_MAP_exp1_fr26	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	26	1	100524_sarcoidosis_MAP_exp1_fr26.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	exp1
alveolar macrophage iTRAQ plex 1	Homo sapiens	lung	macrophage	sarcoidosis	1	100524_sarcoidosis_MAP_exp1_fr27	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	27	1	100524_sarcoidosis_MAP_exp1_fr27.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	exp1
alveolar macrophage iTRAQ plex 1	Homo sapiens	lung	macrophage	sarcoidosis	1	100524_sarcoidosis_MAP_exp1_fr28	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	28	1	100524_sarcoidosis_MAP_exp1_fr28.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	exp1
