source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[iTRAQ plex]
thyroid cyst fluid iTRAQ plex 1	Homo sapiens	thyroid nodule	epithelial cell of thyroid gland	papillary thyroid carcinoma	1	HJ_HE_Andrii_121019_EXP1_Fr01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=STY;MT=Variable	1	1	HJ_HE_Andrii_121019_EXP1_Fr01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	EXP1
thyroid cyst fluid iTRAQ plex 1	Homo sapiens	thyroid nodule	epithelial cell of thyroid gland	papillary thyroid carcinoma	1	HJ_HE_Andrii_121019_EXP1_Fr02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=STY;MT=Variable	2	1	HJ_HE_Andrii_121019_EXP1_Fr02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	EXP1
thyroid cyst fluid iTRAQ plex 1	Homo sapiens	thyroid nodule	epithelial cell of thyroid gland	papillary thyroid carcinoma	1	HJ_HE_Andrii_121019_EXP1_Fr07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=STY;MT=Variable	7	1	HJ_HE_Andrii_121019_EXP1_Fr07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	EXP1
thyroid cyst fluid iTRAQ plex 1	Homo sapiens	thyroid nodule	epithelial cell of thyroid gland	papillary thyroid carcinoma	1	HJ_HE_Andrii_121019_EXP1_Fr08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=STY;MT=Variable	8	1	HJ_HE_Andrii_121019_EXP1_Fr08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	EXP1
thyroid cyst fluid iTRAQ plex 1	Homo sapiens	thyroid nodule	epithelial cell of thyroid gland	papillary thyroid carcinoma	1	HJ_HE_Andrii_121019_EXP1_Fr09	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=STY;MT=Variable	9	1	HJ_HE_Andrii_121019_EXP1_Fr09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	EXP1
thyroid cyst fluid iTRAQ plex 1	Homo sapiens	thyroid nodule	epithelial cell of thyroid gland	papillary thyroid carcinoma	1	HJ_HE_Andrii_121019_EXP1_Fr10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=STY;MT=Variable	10	1	HJ_HE_Andrii_121019_EXP1_Fr10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	EXP1
thyroid cyst fluid iTRAQ plex 1	Homo sapiens	thyroid nodule	epithelial cell of thyroid gland	papillary thyroid carcinoma	1	HJ_HE_Andrii_121019_EXP1_Fr12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=STY;MT=Variable	12	1	HJ_HE_Andrii_121019_EXP1_Fr12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	EXP1
thyroid cyst fluid iTRAQ plex 1	Homo sapiens	thyroid nodule	epithelial cell of thyroid gland	papillary thyroid carcinoma	1	HJ_HE_Andrii_121019_EXP1_Fr13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=STY;MT=Variable	13	1	HJ_HE_Andrii_121019_EXP1_Fr13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	EXP1
thyroid cyst fluid iTRAQ plex 1	Homo sapiens	thyroid nodule	epithelial cell of thyroid gland	papillary thyroid carcinoma	1	HJ_HE_Andrii_121019_EXP1_Fr15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=STY;MT=Variable	15	1	HJ_HE_Andrii_121019_EXP1_Fr15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	EXP1
thyroid cyst fluid iTRAQ plex 1	Homo sapiens	thyroid nodule	epithelial cell of thyroid gland	papillary thyroid carcinoma	1	HJ_HE_Andrii_121019_EXP1_Fr17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=STY;MT=Variable	17	1	HJ_HE_Andrii_121019_EXP1_Fr17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	EXP1
