source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[iTRAQ plex]
bronchoalveolar-lavage exosome iTRAQ plex 1	Homo sapiens	bronchoalveolar lavage	1	120229_RM_ExoTRAQ1_F22_110min	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	22	1	120229_RM_ExoTRAQ1_F22_110min.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Exo1
bronchoalveolar-lavage exosome iTRAQ plex 1	Homo sapiens	bronchoalveolar lavage	1	120229_RM_ExoTRAQ1_F23_110min	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	23	1	120229_RM_ExoTRAQ1_F23_110min.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Exo1
bronchoalveolar-lavage exosome iTRAQ plex 1	Homo sapiens	bronchoalveolar lavage	1	120229_RM_ExoTRAQ1_F24_110min	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	24	1	120229_RM_ExoTRAQ1_F24_110min.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Exo1
bronchoalveolar-lavage exosome iTRAQ plex 1	Homo sapiens	bronchoalveolar lavage	1	120229_RM_ExoTRAQ1_F25_110min	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	25	1	120229_RM_ExoTRAQ1_F25_110min.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Exo1
bronchoalveolar-lavage exosome iTRAQ plex 1	Homo sapiens	bronchoalveolar lavage	1	120229_RM_ExoTRAQ1_F26_110min	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	26	1	120229_RM_ExoTRAQ1_F26_110min.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Exo1
bronchoalveolar-lavage exosome iTRAQ plex 1	Homo sapiens	bronchoalveolar lavage	1	120229_RM_ExoTRAQ1_F27_110min	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	27	1	120229_RM_ExoTRAQ1_F27_110min.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Exo1
bronchoalveolar-lavage exosome iTRAQ plex 1	Homo sapiens	bronchoalveolar lavage	1	120229_RM_ExoTRAQ1_F28_110min	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	28	1	120229_RM_ExoTRAQ1_F28_110min.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Exo1
bronchoalveolar-lavage exosome iTRAQ plex 1	Homo sapiens	bronchoalveolar lavage	1	120229_RM_ExoTRAQ1_F29_110min	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	29	1	120229_RM_ExoTRAQ1_F29_110min.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Exo1
bronchoalveolar-lavage exosome iTRAQ plex 1	Homo sapiens	bronchoalveolar lavage	1	120229_RM_ExoTRAQ1_F30_110min	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	30	1	120229_RM_ExoTRAQ1_F30_110min.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Exo1
bronchoalveolar-lavage exosome iTRAQ plex 2	Homo sapiens	bronchoalveolar lavage	2	120301_RM_EXOII_F21_110min	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	21	1	120301_RM_EXOII_F21_110min.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Exo2
bronchoalveolar-lavage exosome iTRAQ plex 2	Homo sapiens	bronchoalveolar lavage	2	120301_RM_EXOII_F22_110min	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	22	1	120301_RM_EXOII_F22_110min.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Exo2
