source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[submitted sample group]
PAT submitted run 20111214_03_V1_PAT1	Homo sapiens	bronchoalveolar lavage	1	20111214_03_V1_PAT1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001955	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	1	1	20111214_03_V1_PAT1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	PAT
PAT submitted run 20130301_03_Q3_PAT2	Homo sapiens	bronchoalveolar lavage	1	20130301_03_Q3_PAT2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001955	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	1	1	20130301_03_Q3_PAT2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	PAT
PAT submitted run 20130301_04_Q3_PAT3	Homo sapiens	bronchoalveolar lavage	1	20130301_04_Q3_PAT3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001955	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	1	1	20130301_04_Q3_PAT3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	PAT
PAT submitted run 20130301_05_Q3_PAT4	Homo sapiens	bronchoalveolar lavage	1	20130301_05_Q3_PAT4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001955	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	1	1	20130301_05_Q3_PAT4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	PAT
PAT submitted run 20130317_13_Q3_PAT5_rep1	Homo sapiens	bronchoalveolar lavage	1	20130317_13_Q3_PAT5_rep1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001955	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	1	1	20130317_13_Q3_PAT5_rep1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	PAT
PAT submitted run 20130317_14_Q3_PAT5_rep2	Homo sapiens	bronchoalveolar lavage	1	20130317_14_Q3_PAT5_rep2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001955	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	1	2	20130317_14_Q3_PAT5_rep2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	PAT
PAT submitted run 20130504_68_Q3_PAT6_10_rep2	Homo sapiens	bronchoalveolar lavage	1	20130504_68_Q3_PAT6_10_rep2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001955	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	1	2	20130504_68_Q3_PAT6_10_rep2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	PAT
HLA-DR submitted run 20151029_04_Qp2_ajy_th_HLA-DR_1	Homo sapiens	cell culture	1	20151029_04_Qp2_ajy_th_HLA-DR_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001955	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	1	1	20151029_04_Qp2_ajy_th_HLA-DR_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	HLA-DR
HLA-DR submitted run 20151029_07_Qp2_ajy_th_HLA-DR_7	Homo sapiens	cell culture	1	20151029_07_Qp2_ajy_th_HLA-DR_7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001955	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	1	1	20151029_07_Qp2_ajy_th_HLA-DR_7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	HLA-DR
HLA-DR submitted run 20151029_08_Qp2_ajy_th_HLA-DR_11	Homo sapiens	cell culture	1	20151029_08_Qp2_ajy_th_HLA-DR_11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001955	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	1	1	20151029_08_Qp2_ajy_th_HLA-DR_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	HLA-DR
