source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[sample type]	characteristics[disease]	characteristics[material type]	characteristics[developmental stage]	characteristics[organism status]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	factor value[diabetes induction]
NoSTZ_1	Mus musculus	right kidney	1	not available	not available	tissue	not available	healthy	140516_LL_STZ_3_G_1dil_01	proteomic profiling by mass spectrometry	1	140516_LL_STZ_3_G_1dil_01.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	label free sample	1	5 ppm	0.8 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=N;MT=Variable	NoSTZ
NoSTZ_2	Mus musculus	right kidney	2	not available	not available	tissue	not available	healthy	140516_LL_STZ_4_G_1dil_01	proteomic profiling by mass spectrometry	1	140516_LL_STZ_4_G_1dil_01.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	label free sample	1	5 ppm	0.8 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=N;MT=Variable	NoSTZ
NoSTZ_3	Mus musculus	right kidney	3	not available	not available	tissue	not available	healthy	140516_LL_STZ_6_G_1dil_01	proteomic profiling by mass spectrometry	1	140516_LL_STZ_6_G_1dil_01.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	label free sample	1	5 ppm	0.8 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=N;MT=Variable	NoSTZ
NoSTZ_4	Mus musculus	right kidney	4	not available	not available	tissue	not available	healthy	140516_LL_STZ_9_G_1dil_01	proteomic profiling by mass spectrometry	1	140516_LL_STZ_9_G_1dil_01.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	label free sample	1	5 ppm	0.8 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=N;MT=Variable	NoSTZ
NoSTZ_5	Mus musculus	right kidney	5	not available	not available	tissue	not available	healthy	140516_LL_STZ_10_G_1dil_01	proteomic profiling by mass spectrometry	1	140516_LL_STZ_10_G_1dil_01.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	label free sample	1	5 ppm	0.8 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=N;MT=Variable	NoSTZ
NoSTZ_6	Mus musculus	right kidney	6	not available	not available	tissue	not available	healthy	140516_LL_STZ_12_G_1dil_01	proteomic profiling by mass spectrometry	1	140516_LL_STZ_12_G_1dil_01.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	label free sample	1	5 ppm	0.8 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=N;MT=Variable	NoSTZ
STZ_1	Mus musculus	right kidney	1	not available	not available	tissue	not available	diabetic	140516_LL_STZ_15_G_1dil_01	proteomic profiling by mass spectrometry	1	140516_LL_STZ_15_G_1dil_01.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	label free sample	1	5 ppm	0.8 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=N;MT=Variable	STZ
STZ_2	Mus musculus	right kidney	2	not available	not available	tissue	not available	diabetic	140516_LL_STZ_20_G_1dil_01	proteomic profiling by mass spectrometry	1	140516_LL_STZ_20_G_1dil_01.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	label free sample	1	5 ppm	0.8 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=N;MT=Variable	STZ
STZ_3	Mus musculus	right kidney	3	not available	not available	tissue	not available	diabetic	140516_LL_STZ_24_G_1dil_01	proteomic profiling by mass spectrometry	1	140516_LL_STZ_24_G_1dil_01.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	label free sample	1	5 ppm	0.8 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=N;MT=Variable	STZ
STZ_4	Mus musculus	right kidney	4	not available	not available	tissue	not available	diabetic	140515_LL_STZ_27_G_1dil_01	proteomic profiling by mass spectrometry	1	140515_LL_STZ_27_G_1dil_01.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	label free sample	1	5 ppm	0.8 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=N;MT=Variable	STZ
