source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[iTRAQ pool]	factor value[HiRIEF pH range]
ascending aorta tissue iTRAQ 2013apr23_pool1_pool1	Homo sapiens	aorta	aortic endothelial cell	aortic aneurysm	1	Sanela_2013apr23_pool1_100ug_IPG400-425_fr02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	2	1	Sanela_2013apr23_pool1_100ug_IPG400-425_fr02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	2013apr23_pool1_pool1	IPG400-425
ascending aorta tissue iTRAQ 2013apr23_pool1_pool1	Homo sapiens	aorta	aortic endothelial cell	aortic aneurysm	1	Sanela_2013apr23_pool1_100ug_IPG400-425_fr05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	5	1	Sanela_2013apr23_pool1_100ug_IPG400-425_fr05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	2013apr23_pool1_pool1	IPG400-425
ascending aorta tissue iTRAQ 2013apr23_pool1_pool1	Homo sapiens	aorta	aortic endothelial cell	aortic aneurysm	1	Sanela_2013apr23_pool1_100ug_IPG400-425_fr10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	10	1	Sanela_2013apr23_pool1_100ug_IPG400-425_fr10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	2013apr23_pool1_pool1	IPG400-425
ascending aorta tissue iTRAQ 2013apr23_pool1_pool1	Homo sapiens	aorta	aortic endothelial cell	aortic aneurysm	1	Sanela_2013apr23_pool1_100ug_IPG400-425_fr11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	11	1	Sanela_2013apr23_pool1_100ug_IPG400-425_fr11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	2013apr23_pool1_pool1	IPG400-425
ascending aorta tissue iTRAQ 2013apr23_pool1_pool1	Homo sapiens	aorta	aortic endothelial cell	aortic aneurysm	1	Sanela_2013apr23_pool1_100ug_IPG400-425_fr18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	18	1	Sanela_2013apr23_pool1_100ug_IPG400-425_fr18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	2013apr23_pool1_pool1	IPG400-425
ascending aorta tissue iTRAQ 2013apr23_pool1_pool1	Homo sapiens	aorta	aortic endothelial cell	aortic aneurysm	1	Sanela_2013apr23_pool1_100ug_IPG400-425_fr26	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	26	1	Sanela_2013apr23_pool1_100ug_IPG400-425_fr26.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	2013apr23_pool1_pool1	IPG400-425
ascending aorta tissue iTRAQ 2013apr23_pool1_pool1	Homo sapiens	aorta	aortic endothelial cell	aortic aneurysm	1	Sanela_2013apr23_pool1_100ug_IPG400-425_fr27	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	27	1	Sanela_2013apr23_pool1_100ug_IPG400-425_fr27.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	2013apr23_pool1_pool1	IPG400-425
ascending aorta tissue iTRAQ 2013apr23_pool1_pool1	Homo sapiens	aorta	aortic endothelial cell	aortic aneurysm	1	Sanela_2013apr23_pool1_100ug_IPG400-425_fr31	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	31	1	Sanela_2013apr23_pool1_100ug_IPG400-425_fr31.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	2013apr23_pool1_pool1	IPG400-425
ascending aorta tissue iTRAQ 2013apr23_pool1_pool1	Homo sapiens	aorta	aortic endothelial cell	aortic aneurysm	1	Sanela_2013apr23_pool1_100ug_IPG400-425_fr36	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	36	1	Sanela_2013apr23_pool1_100ug_IPG400-425_fr36.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	2013apr23_pool1_pool1	IPG400-425
ascending aorta tissue iTRAQ 2013apr23_pool1_pool1	Homo sapiens	aorta	aortic endothelial cell	aortic aneurysm	1	Sanela_2013apr23_pool1_100ug_IPG400-425_fr37	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	37	1	Sanela_2013apr23_pool1_100ug_IPG400-425_fr37.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	2013apr23_pool1_pool1	IPG400-425
