source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[cell line]	characteristics[time point]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	factor value[infection]
20140312_Sara_SILAC_01	Homo sapiens	lung fibroblast cell culture	adenovirus infectious disease	not available	not available	IMR-90	not available	1	20140312_Sara_SILAC_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=SILAC;AC=PRIDE:0000315;TA=not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Acetyl;AC=UNIMOD:1;TA=Protein N-term;MT=Variable	fraction 01	1	20140312_Sara_SILAC_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	Ad2 infection versus mock; SILAC mixed sample
20140312_Sara_SILAC_02	Homo sapiens	lung fibroblast cell culture	adenovirus infectious disease	not available	not available	IMR-90	not available	1	20140312_Sara_SILAC_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=SILAC;AC=PRIDE:0000315;TA=not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Acetyl;AC=UNIMOD:1;TA=Protein N-term;MT=Variable	fraction 02	1	20140312_Sara_SILAC_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	Ad2 infection versus mock; SILAC mixed sample
20140312_Sara_SILAC_03	Homo sapiens	lung fibroblast cell culture	adenovirus infectious disease	not available	not available	IMR-90	not available	1	20140312_Sara_SILAC_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=SILAC;AC=PRIDE:0000315;TA=not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Acetyl;AC=UNIMOD:1;TA=Protein N-term;MT=Variable	fraction 03	1	20140312_Sara_SILAC_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	Ad2 infection versus mock; SILAC mixed sample
20140312_Sara_SILAC_04	Homo sapiens	lung fibroblast cell culture	adenovirus infectious disease	not available	not available	IMR-90	not available	1	20140312_Sara_SILAC_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=SILAC;AC=PRIDE:0000315;TA=not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Acetyl;AC=UNIMOD:1;TA=Protein N-term;MT=Variable	fraction 04	1	20140312_Sara_SILAC_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	Ad2 infection versus mock; SILAC mixed sample
20140312_Sara_SILAC_05	Homo sapiens	lung fibroblast cell culture	adenovirus infectious disease	not available	not available	IMR-90	not available	1	20140312_Sara_SILAC_05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=SILAC;AC=PRIDE:0000315;TA=not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Acetyl;AC=UNIMOD:1;TA=Protein N-term;MT=Variable	fraction 05	1	20140312_Sara_SILAC_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	Ad2 infection versus mock; SILAC mixed sample
20140312_Sara_SILAC_06	Homo sapiens	lung fibroblast cell culture	adenovirus infectious disease	not available	not available	IMR-90	not available	1	20140312_Sara_SILAC_06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=SILAC;AC=PRIDE:0000315;TA=not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Acetyl;AC=UNIMOD:1;TA=Protein N-term;MT=Variable	fraction 06	1	20140312_Sara_SILAC_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	Ad2 infection versus mock; SILAC mixed sample
20140312_Sara_SILAC_07	Homo sapiens	lung fibroblast cell culture	adenovirus infectious disease	not available	not available	IMR-90	not available	1	20140312_Sara_SILAC_07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=SILAC;AC=PRIDE:0000315;TA=not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Acetyl;AC=UNIMOD:1;TA=Protein N-term;MT=Variable	fraction 07	1	20140312_Sara_SILAC_07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	Ad2 infection versus mock; SILAC mixed sample
20140312_Sara_SILAC_08	Homo sapiens	lung fibroblast cell culture	adenovirus infectious disease	not available	not available	IMR-90	not available	1	20140312_Sara_SILAC_08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=SILAC;AC=PRIDE:0000315;TA=not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Acetyl;AC=UNIMOD:1;TA=Protein N-term;MT=Variable	fraction 08	1	20140312_Sara_SILAC_08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	Ad2 infection versus mock; SILAC mixed sample
20140312_Sara_SILAC_09	Homo sapiens	lung fibroblast cell culture	adenovirus infectious disease	not available	not available	IMR-90	not available	1	20140312_Sara_SILAC_09	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=SILAC;AC=PRIDE:0000315;TA=not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Acetyl;AC=UNIMOD:1;TA=Protein N-term;MT=Variable	fraction 09	1	20140312_Sara_SILAC_09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	Ad2 infection versus mock; SILAC mixed sample
20140312_Sara_SILAC_10	Homo sapiens	lung fibroblast cell culture	adenovirus infectious disease	not available	not available	IMR-90	not available	1	20140312_Sara_SILAC_10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=SILAC;AC=PRIDE:0000315;TA=not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Acetyl;AC=UNIMOD:1;TA=Protein N-term;MT=Variable	fraction 10	1	20140312_Sara_SILAC_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	Ad2 infection versus mock; SILAC mixed sample
20140312_Sara_SILAC_11	Homo sapiens	lung fibroblast cell culture	adenovirus infectious disease	not available	not available	IMR-90	not available	1	20140312_Sara_SILAC_11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=SILAC;AC=PRIDE:0000315;TA=not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Acetyl;AC=UNIMOD:1;TA=Protein N-term;MT=Variable	fraction 11	1	20140312_Sara_SILAC_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	Ad2 infection versus mock; SILAC mixed sample
20140811_LC1_Sara_ingel_24h_MLAH_5-01	Homo sapiens	lung fibroblast cell culture	adenovirus infectious disease	not available	not available	IMR-90	24 h	1	20140811_LC1_Sara_ingel_24h_MLAH_5-01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=SILAC;AC=PRIDE:0000315;TA=light mock + heavy Ad2-infected	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Acetyl;AC=UNIMOD:1;TA=Protein N-term;MT=Variable	fraction 01	1	20140811_LC1_Sara_ingel_24h_MLAH_5-01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	Ad2 infection versus mock; SILAC mixed sample
20140811_LC1_Sara_ingel_24h_MLAH_5-02	Homo sapiens	lung fibroblast cell culture	adenovirus infectious disease	not available	not available	IMR-90	24 h	1	20140811_LC1_Sara_ingel_24h_MLAH_5-02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=SILAC;AC=PRIDE:0000315;TA=light mock + heavy Ad2-infected	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Acetyl;AC=UNIMOD:1;TA=Protein N-term;MT=Variable	fraction 02	1	20140811_LC1_Sara_ingel_24h_MLAH_5-02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	Ad2 infection versus mock; SILAC mixed sample
20140811_LC1_Sara_ingel_24h_MLAH_5-03	Homo sapiens	lung fibroblast cell culture	adenovirus infectious disease	not available	not available	IMR-90	24 h	1	20140811_LC1_Sara_ingel_24h_MLAH_5-03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=SILAC;AC=PRIDE:0000315;TA=light mock + heavy Ad2-infected	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Acetyl;AC=UNIMOD:1;TA=Protein N-term;MT=Variable	fraction 03	1	20140811_LC1_Sara_ingel_24h_MLAH_5-03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	Ad2 infection versus mock; SILAC mixed sample
20140811_LC1_Sara_ingel_24h_MLAH_5-04	Homo sapiens	lung fibroblast cell culture	adenovirus infectious disease	not available	not available	IMR-90	24 h	1	20140811_LC1_Sara_ingel_24h_MLAH_5-04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=SILAC;AC=PRIDE:0000315;TA=light mock + heavy Ad2-infected	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Acetyl;AC=UNIMOD:1;TA=Protein N-term;MT=Variable	fraction 04	1	20140811_LC1_Sara_ingel_24h_MLAH_5-04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	Ad2 infection versus mock; SILAC mixed sample
20140811_LC1_Sara_ingel_24h_MLAH_5-05	Homo sapiens	lung fibroblast cell culture	adenovirus infectious disease	not available	not available	IMR-90	24 h	1	20140811_LC1_Sara_ingel_24h_MLAH_5-05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=SILAC;AC=PRIDE:0000315;TA=light mock + heavy Ad2-infected	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Acetyl;AC=UNIMOD:1;TA=Protein N-term;MT=Variable	fraction 05	1	20140811_LC1_Sara_ingel_24h_MLAH_5-05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	Ad2 infection versus mock; SILAC mixed sample
20140811_LC1_Sara_ingel_24h_MLAH_5-06	Homo sapiens	lung fibroblast cell culture	adenovirus infectious disease	not available	not available	IMR-90	24 h	1	20140811_LC1_Sara_ingel_24h_MLAH_5-06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=SILAC;AC=PRIDE:0000315;TA=light mock + heavy Ad2-infected	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Acetyl;AC=UNIMOD:1;TA=Protein N-term;MT=Variable	fraction 06	1	20140811_LC1_Sara_ingel_24h_MLAH_5-06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	Ad2 infection versus mock; SILAC mixed sample
20140811_LC1_Sara_ingel_24h_MLAH_5-07	Homo sapiens	lung fibroblast cell culture	adenovirus infectious disease	not available	not available	IMR-90	24 h	1	20140811_LC1_Sara_ingel_24h_MLAH_5-07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=SILAC;AC=PRIDE:0000315;TA=light mock + heavy Ad2-infected	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Acetyl;AC=UNIMOD:1;TA=Protein N-term;MT=Variable	fraction 07	1	20140811_LC1_Sara_ingel_24h_MLAH_5-07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	Ad2 infection versus mock; SILAC mixed sample
20140811_LC1_Sara_ingel_24h_MLAH_5-08	Homo sapiens	lung fibroblast cell culture	adenovirus infectious disease	not available	not available	IMR-90	24 h	1	20140811_LC1_Sara_ingel_24h_MLAH_5-08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=SILAC;AC=PRIDE:0000315;TA=light mock + heavy Ad2-infected	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Acetyl;AC=UNIMOD:1;TA=Protein N-term;MT=Variable	fraction 08	1	20140811_LC1_Sara_ingel_24h_MLAH_5-08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	Ad2 infection versus mock; SILAC mixed sample
20140811_LC1_Sara_ingel_24h_MLAH_5-09	Homo sapiens	lung fibroblast cell culture	adenovirus infectious disease	not available	not available	IMR-90	24 h	1	20140811_LC1_Sara_ingel_24h_MLAH_5-09	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=SILAC;AC=PRIDE:0000315;TA=light mock + heavy Ad2-infected	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Acetyl;AC=UNIMOD:1;TA=Protein N-term;MT=Variable	fraction 09	1	20140811_LC1_Sara_ingel_24h_MLAH_5-09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	Ad2 infection versus mock; SILAC mixed sample
20140811_LC1_Sara_ingel_24h_MLAH_5-10	Homo sapiens	lung fibroblast cell culture	adenovirus infectious disease	not available	not available	IMR-90	24 h	1	20140811_LC1_Sara_ingel_24h_MLAH_5-10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=SILAC;AC=PRIDE:0000315;TA=light mock + heavy Ad2-infected	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Acetyl;AC=UNIMOD:1;TA=Protein N-term;MT=Variable	fraction 10	1	20140811_LC1_Sara_ingel_24h_MLAH_5-10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	Ad2 infection versus mock; SILAC mixed sample
