source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	factor value[disease]
D1_AD1_TechRep_1	Homo sapiens	temporal neocortex	Alzheimer's disease	not available	not available	1	D1_AD1_TechRep_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ FT;AC=MS:1000448	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Deamidation;AC=UNIMOD:7;TA=N,Q;MT=Variable	1	1	D1_AD1_TechRep_1.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	Alzheimer's disease
D1_AD2_TechRep_1	Homo sapiens	temporal neocortex	Alzheimer's disease	not available	not available	2	D1_AD2_TechRep_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ FT;AC=MS:1000448	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Deamidation;AC=UNIMOD:7;TA=N,Q;MT=Variable	1	1	D1_AD2_TechRep_1.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	Alzheimer's disease
D1_AD3_TechRep_1	Homo sapiens	temporal neocortex	Alzheimer's disease	not available	not available	3	D1_AD3_TechRep_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ FT;AC=MS:1000448	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Deamidation;AC=UNIMOD:7;TA=N,Q;MT=Variable	1	1	D1_AD3_TechRep_1.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	Alzheimer's disease
D1_AD4_TechRep_1	Homo sapiens	temporal neocortex	Alzheimer's disease	not available	not available	4	D1_AD4_TechRep_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ FT;AC=MS:1000448	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Deamidation;AC=UNIMOD:7;TA=N,Q;MT=Variable	1	1	D1_AD4_TechRep_1.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	Alzheimer's disease
D1_AD4_TechRep_2	Homo sapiens	temporal neocortex	Alzheimer's disease	not available	not available	4	D1_AD4_TechRep_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ FT;AC=MS:1000448	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Deamidation;AC=UNIMOD:7;TA=N,Q;MT=Variable	1	2	D1_AD4_TechRep_2.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	Alzheimer's disease
D1_AD4_TechRep_3	Homo sapiens	temporal neocortex	Alzheimer's disease	not available	not available	4	D1_AD4_TechRep_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ FT;AC=MS:1000448	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Deamidation;AC=UNIMOD:7;TA=N,Q;MT=Variable	1	3	D1_AD4_TechRep_3.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	Alzheimer's disease
D1_AD4_TechRep_4	Homo sapiens	temporal neocortex	Alzheimer's disease	not available	not available	4	D1_AD4_TechRep_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ FT;AC=MS:1000448	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Deamidation;AC=UNIMOD:7;TA=N,Q;MT=Variable	1	4	D1_AD4_TechRep_4.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	Alzheimer's disease
D1_AD4_TechRep_5	Homo sapiens	temporal neocortex	Alzheimer's disease	not available	not available	4	D1_AD4_TechRep_5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ FT;AC=MS:1000448	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Deamidation;AC=UNIMOD:7;TA=N,Q;MT=Variable	1	5	D1_AD4_TechRep_5.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	Alzheimer's disease
D1_AD4_TechRep_6	Homo sapiens	temporal neocortex	Alzheimer's disease	not available	not available	4	D1_AD4_TechRep_6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ FT;AC=MS:1000448	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Deamidation;AC=UNIMOD:7;TA=N,Q;MT=Variable	1	6	D1_AD4_TechRep_6.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	Alzheimer's disease
D1_AD4_TechRep_7	Homo sapiens	temporal neocortex	Alzheimer's disease	not available	not available	4	D1_AD4_TechRep_7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ FT;AC=MS:1000448	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Deamidation;AC=UNIMOD:7;TA=N,Q;MT=Variable	1	7	D1_AD4_TechRep_7.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	Alzheimer's disease
