source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[submitted data group]	factor value[developmental stage]
Saprolegnia developmental-stage sample germinating cyst gel bands	Oomycetes	whole organism	1	2014LanaGerminatingCystBands	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2014LanaGerminatingCystBands.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	germinating cyst gel bands	germinating cyst
Saprolegnia developmental-stage sample BR1	Oomycetes	whole organism	1	2014LanaITRAQBR1100mMa	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=iTRAQ 4-plex;AC=MS:1002011	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2014LanaITRAQBR1100mMa.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR1	not stage-resolved
Saprolegnia developmental-stage sample BR1	Oomycetes	whole organism	1	2014LanaITRAQBR1100mMb	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=iTRAQ 4-plex;AC=MS:1002011	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2014LanaITRAQBR1100mMb.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR1	not stage-resolved
Saprolegnia developmental-stage sample BR1	Oomycetes	whole organism	1	2014LanaITRAQBR1125mMa	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=iTRAQ 4-plex;AC=MS:1002011	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2014LanaITRAQBR1125mMa.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR1	not stage-resolved
Saprolegnia developmental-stage sample BR1	Oomycetes	whole organism	1	2014LanaITRAQBR1125mMb	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=iTRAQ 4-plex;AC=MS:1002011	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2014LanaITRAQBR1125mMb.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR1	not stage-resolved
Saprolegnia developmental-stage sample BR1	Oomycetes	whole organism	1	2014LanaITRAQBR1150mMa	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=iTRAQ 4-plex;AC=MS:1002011	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2014LanaITRAQBR1150mMa.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR1	not stage-resolved
Saprolegnia developmental-stage sample BR1	Oomycetes	whole organism	1	2014LanaITRAQBR1150mMb	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=iTRAQ 4-plex;AC=MS:1002011	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2014LanaITRAQBR1150mMb.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR1	not stage-resolved
Saprolegnia developmental-stage sample BR1	Oomycetes	whole organism	1	2014LanaITRAQBR1175mMa	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=iTRAQ 4-plex;AC=MS:1002011	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2014LanaITRAQBR1175mMa.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR1	not stage-resolved
Saprolegnia developmental-stage sample BR1	Oomycetes	whole organism	1	2014LanaITRAQBR1175mMb	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=iTRAQ 4-plex;AC=MS:1002011	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2014LanaITRAQBR1175mMb.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR1	not stage-resolved
Saprolegnia developmental-stage sample BR1	Oomycetes	whole organism	1	2014LanaITRAQBR1200mMa	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=iTRAQ 4-plex;AC=MS:1002011	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2014LanaITRAQBR1200mMa.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR1	not stage-resolved
