source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[age]	characteristics[sex]	characteristics[sample type]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	factor value[sample type]
Hum_IGF-IstandardSampleArun1	Felis catus	blood serum	not applicable	1	not available	not available	cat serum	Hum_IGF-IstandardSampleArun1	proteomic profiling by mass spectrometry	NT=Parallel reaction monitoring;AC=PRIDE:0000311	NT=LTQ Orbitrap Velos Pro ETD;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Iodoacetamide derivatized;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	Hum_IGF-IstandardSampleArun1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cat;VV=v1.1.0	cat serum
Hum_IGF-IstandardSampleArun1_F2_160114	Felis catus	blood serum	not applicable	1	not available	not available	cat serum	Hum_IGF-IstandardSampleArun1_F2_160114	proteomic profiling by mass spectrometry	NT=Parallel reaction monitoring;AC=PRIDE:0000311	NT=LTQ Orbitrap Velos Pro ETD;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Iodoacetamide derivatized;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	Hum_IGF-IstandardSampleArun1_F2_160114.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cat;VV=v1.1.0	cat serum
Hum_IGF-IstandardSampleArun2	Felis catus	blood serum	not applicable	1	not available	not available	cat serum	Hum_IGF-IstandardSampleArun2	proteomic profiling by mass spectrometry	NT=Parallel reaction monitoring;AC=PRIDE:0000311	NT=LTQ Orbitrap Velos Pro ETD;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Iodoacetamide derivatized;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	Hum_IGF-IstandardSampleArun2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cat;VV=v1.1.0	cat serum
Hum_IGF-IstandardSampleBrun1_F_160114	Felis catus	blood serum	not applicable	1	not available	not available	cat serum	Hum_IGF-IstandardSampleBrun1_F_160114	proteomic profiling by mass spectrometry	NT=Parallel reaction monitoring;AC=PRIDE:0000311	NT=LTQ Orbitrap Velos Pro ETD;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Iodoacetamide derivatized;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	Hum_IGF-IstandardSampleBrun1_F_160114.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cat;VV=v1.1.0	cat serum
Sample_A1_162B_1_151021	Felis catus	blood serum	not applicable	1	not available	not available	cat serum	Sample_A1_162B_1_151021	proteomic profiling by mass spectrometry	NT=Parallel reaction monitoring;AC=PRIDE:0000311	NT=LTQ Orbitrap Velos Pro ETD;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Iodoacetamide derivatized;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	Sample_A1_162B_1_151021.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cat;VV=v1.1.0	cat serum
Sample_A2_162B_2_151021	Felis catus	blood serum	not applicable	2	not available	not available	cat serum	Sample_A2_162B_2_151021	proteomic profiling by mass spectrometry	NT=Parallel reaction monitoring;AC=PRIDE:0000311	NT=LTQ Orbitrap Velos Pro ETD;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Iodoacetamide derivatized;AC=UNIMOD:4;TA=C;MT=Fixed	1	2	Sample_A2_162B_2_151021.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cat;VV=v1.1.0	cat serum
Sample_A3_162B_3_151021	Felis catus	blood serum	not applicable	3	not available	not available	cat serum	Sample_A3_162B_3_151021	proteomic profiling by mass spectrometry	NT=Parallel reaction monitoring;AC=PRIDE:0000311	NT=LTQ Orbitrap Velos Pro ETD;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Iodoacetamide derivatized;AC=UNIMOD:4;TA=C;MT=Fixed	1	3	Sample_A3_162B_3_151021.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cat;VV=v1.1.0	cat serum
Sample_A4_STD4_1_151023	Felis catus	blood serum	not applicable	4	not available	not available	cat serum	Sample_A4_STD4_1_151023	proteomic profiling by mass spectrometry	NT=Parallel reaction monitoring;AC=PRIDE:0000311	NT=LTQ Orbitrap Velos Pro ETD;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Iodoacetamide derivatized;AC=UNIMOD:4;TA=C;MT=Fixed	1	4	Sample_A4_STD4_1_151023.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cat;VV=v1.1.0	cat serum
Sample_A5_STD4_2_151023	Felis catus	blood serum	not applicable	5	not available	not available	cat serum	Sample_A5_STD4_2_151023	proteomic profiling by mass spectrometry	NT=Parallel reaction monitoring;AC=PRIDE:0000311	NT=LTQ Orbitrap Velos Pro ETD;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Iodoacetamide derivatized;AC=UNIMOD:4;TA=C;MT=Fixed	1	5	Sample_A5_STD4_2_151023.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cat;VV=v1.1.0	cat serum
Sample_A6_STD4_3_151023	Felis catus	blood serum	not applicable	6	not available	not available	cat serum	Sample_A6_STD4_3_151023	proteomic profiling by mass spectrometry	NT=Parallel reaction monitoring;AC=PRIDE:0000311	NT=LTQ Orbitrap Velos Pro ETD;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Iodoacetamide derivatized;AC=UNIMOD:4;TA=C;MT=Fixed	1	6	Sample_A6_STD4_3_151023.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cat;VV=v1.1.0	cat serum
Sample_B1_158B_151022	Felis catus	blood serum	not applicable	1	not available	not available	cat serum	Sample_B1_158B_151022	proteomic profiling by mass spectrometry	NT=Parallel reaction monitoring;AC=PRIDE:0000311	NT=LTQ Orbitrap Velos Pro ETD;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Iodoacetamide derivatized;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	Sample_B1_158B_151022.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cat;VV=v1.1.0	cat serum
Sample_B2_158B_2_151022	Felis catus	blood serum	not applicable	2	not available	not available	cat serum	Sample_B2_158B_2_151022	proteomic profiling by mass spectrometry	NT=Parallel reaction monitoring;AC=PRIDE:0000311	NT=LTQ Orbitrap Velos Pro ETD;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Iodoacetamide derivatized;AC=UNIMOD:4;TA=C;MT=Fixed	1	2	Sample_B2_158B_2_151022.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cat;VV=v1.1.0	cat serum
Sample_B3_158B_3_151022	Felis catus	blood serum	not applicable	3	not available	not available	cat serum	Sample_B3_158B_3_151022	proteomic profiling by mass spectrometry	NT=Parallel reaction monitoring;AC=PRIDE:0000311	NT=LTQ Orbitrap Velos Pro ETD;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Iodoacetamide derivatized;AC=UNIMOD:4;TA=C;MT=Fixed	1	3	Sample_B3_158B_3_151022.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cat;VV=v1.1.0	cat serum
Sample_C1_163C_151022	Felis catus	blood serum	not applicable	1	not available	not available	cat serum	Sample_C1_163C_151022	proteomic profiling by mass spectrometry	NT=Parallel reaction monitoring;AC=PRIDE:0000311	NT=LTQ Orbitrap Velos Pro ETD;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Iodoacetamide derivatized;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	Sample_C1_163C_151022.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cat;VV=v1.1.0	cat serum
Sample_C2_163C_2_151022	Felis catus	blood serum	not applicable	2	not available	not available	cat serum	Sample_C2_163C_2_151022	proteomic profiling by mass spectrometry	NT=Parallel reaction monitoring;AC=PRIDE:0000311	NT=LTQ Orbitrap Velos Pro ETD;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Iodoacetamide derivatized;AC=UNIMOD:4;TA=C;MT=Fixed	1	2	Sample_C2_163C_2_151022.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cat;VV=v1.1.0	cat serum
Sample_C3_163C_3_151022	Felis catus	blood serum	not applicable	3	not available	not available	cat serum	Sample_C3_163C_3_151022	proteomic profiling by mass spectrometry	NT=Parallel reaction monitoring;AC=PRIDE:0000311	NT=LTQ Orbitrap Velos Pro ETD;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Iodoacetamide derivatized;AC=UNIMOD:4;TA=C;MT=Fixed	1	3	Sample_C3_163C_3_151022.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cat;VV=v1.1.0	cat serum
Sample_D1_54a_151022	Felis catus	blood serum	not applicable	1	not available	not available	cat serum	Sample_D1_54a_151022	proteomic profiling by mass spectrometry	NT=Parallel reaction monitoring;AC=PRIDE:0000311	NT=LTQ Orbitrap Velos Pro ETD;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Iodoacetamide derivatized;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	Sample_D1_54a_151022.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cat;VV=v1.1.0	cat serum
Sample_D2_54a_2_151022	Felis catus	blood serum	not applicable	2	not available	not available	cat serum	Sample_D2_54a_2_151022	proteomic profiling by mass spectrometry	NT=Parallel reaction monitoring;AC=PRIDE:0000311	NT=LTQ Orbitrap Velos Pro ETD;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Iodoacetamide derivatized;AC=UNIMOD:4;TA=C;MT=Fixed	1	2	Sample_D2_54a_2_151022.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cat;VV=v1.1.0	cat serum
Sample_D3_54a_3_151022	Felis catus	blood serum	not applicable	3	not available	not available	cat serum	Sample_D3_54a_3_151022	proteomic profiling by mass spectrometry	NT=Parallel reaction monitoring;AC=PRIDE:0000311	NT=LTQ Orbitrap Velos Pro ETD;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Iodoacetamide derivatized;AC=UNIMOD:4;TA=C;MT=Fixed	1	3	Sample_D3_54a_3_151022.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cat;VV=v1.1.0	cat serum
Sample_E1_127A_1	Felis catus	blood serum	not applicable	1	not available	not available	cat serum	Sample_E1_127A_1	proteomic profiling by mass spectrometry	NT=Parallel reaction monitoring;AC=PRIDE:0000311	NT=LTQ Orbitrap Velos Pro ETD;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Iodoacetamide derivatized;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	Sample_E1_127A_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cat;VV=v1.1.0	cat serum
Sample_E2_127A_2	Felis catus	blood serum	not applicable	2	not available	not available	cat serum	Sample_E2_127A_2	proteomic profiling by mass spectrometry	NT=Parallel reaction monitoring;AC=PRIDE:0000311	NT=LTQ Orbitrap Velos Pro ETD;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Iodoacetamide derivatized;AC=UNIMOD:4;TA=C;MT=Fixed	1	2	Sample_E2_127A_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cat;VV=v1.1.0	cat serum
Sample_E3_127A_3	Felis catus	blood serum	not applicable	3	not available	not available	cat serum	Sample_E3_127A_3	proteomic profiling by mass spectrometry	NT=Parallel reaction monitoring;AC=PRIDE:0000311	NT=LTQ Orbitrap Velos Pro ETD;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Iodoacetamide derivatized;AC=UNIMOD:4;TA=C;MT=Fixed	1	3	Sample_E3_127A_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cat;VV=v1.1.0	cat serum
Sample_F1_127B_1	Felis catus	blood serum	not applicable	1	not available	not available	cat serum	Sample_F1_127B_1	proteomic profiling by mass spectrometry	NT=Parallel reaction monitoring;AC=PRIDE:0000311	NT=LTQ Orbitrap Velos Pro ETD;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Iodoacetamide derivatized;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	Sample_F1_127B_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cat;VV=v1.1.0	cat serum
