source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[disease]	characteristics[age]	characteristics[sex]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]
PXD005551-PP0010_170min_7	Homo sapiens	Chondrocyte	1	not available	not available	not available	PP0010_170min_7.raw.tgz	proteomic profiling by mass spectrometry	1	PP0010_170min_7.raw.tgz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=SYNAPT G2-Si;AC=MS:1002726	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD005551-PP0010_170min_9	Homo sapiens	Chondrocyte	2	not available	not available	not available	PP0010_170min_9.raw.tgz	proteomic profiling by mass spectrometry	1	PP0010_170min_9.raw.tgz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=SYNAPT G2-Si;AC=MS:1002726	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD005551-PP0010_170min_12	Homo sapiens	Chondrocyte	3	not available	not available	not available	PP0010_170min_12.raw.tgz	proteomic profiling by mass spectrometry	1	PP0010_170min_12.raw.tgz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=SYNAPT G2-Si;AC=MS:1002726	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD005551-PP0010_170min_10	Homo sapiens	Chondrocyte	4	not available	not available	not available	PP0010_170min_10.raw.tgz	proteomic profiling by mass spectrometry	1	PP0010_170min_10.raw.tgz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=SYNAPT G2-Si;AC=MS:1002726	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD005551-PP0010_170min_1	Homo sapiens	Chondrocyte	5	not available	not available	not available	PP0010_170min_1.raw.tgz	proteomic profiling by mass spectrometry	1	PP0010_170min_1.raw.tgz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=SYNAPT G2-Si;AC=MS:1002726	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD005551-PP0010_170min_8	Homo sapiens	Chondrocyte	6	not available	not available	not available	PP0010_170min_8.raw.tgz	proteomic profiling by mass spectrometry	1	PP0010_170min_8.raw.tgz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=SYNAPT G2-Si;AC=MS:1002726	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD005551-PP0010_170min_4	Homo sapiens	Chondrocyte	7	not available	not available	not available	PP0010_170min_4.raw.tgz	proteomic profiling by mass spectrometry	1	PP0010_170min_4.raw.tgz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=SYNAPT G2-Si;AC=MS:1002726	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD005551-PP0010_170min_5	Homo sapiens	Chondrocyte	8	not available	not available	not available	PP0010_170min_5.raw.tgz	proteomic profiling by mass spectrometry	1	PP0010_170min_5.raw.tgz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=SYNAPT G2-Si;AC=MS:1002726	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD005551-PP0010_170min_11	Homo sapiens	Chondrocyte	9	not available	not available	not available	PP0010_170min_11.raw.tgz	proteomic profiling by mass spectrometry	1	PP0010_170min_11.raw.tgz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=SYNAPT G2-Si;AC=MS:1002726	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD005551-PP0010_170min_6	Homo sapiens	Chondrocyte	10	not available	not available	not available	PP0010_170min_6.raw.tgz	proteomic profiling by mass spectrometry	1	PP0010_170min_6.raw.tgz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=SYNAPT G2-Si;AC=MS:1002726	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD005551-PP0010_170min_3	Homo sapiens	Chondrocyte	11	not available	not available	not available	PP0010_170min_3.raw.tgz	proteomic profiling by mass spectrometry	1	PP0010_170min_3.raw.tgz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=SYNAPT G2-Si;AC=MS:1002726	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD005551-PP0010_170min_2	Homo sapiens	Chondrocyte	12	not available	not available	not available	PP0010_170min_2.raw.tgz	proteomic profiling by mass spectrometry	1	PP0010_170min_2.raw.tgz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=SYNAPT G2-Si;AC=MS:1002726	NT=Trypsin;AC=MS:1001251	label free sample	1
