source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[submitted sample id]
breast cancer cell submitted sample RL_21	Homo sapiens	cell culture	breast cancer	21	20150602_03_Qp2_Lee_RL_21_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	1	1	20150602_03_Qp2_Lee_RL_21_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	RL_21
breast cancer cell submitted sample RL_1	Homo sapiens	cell culture	breast cancer	1	20150602_04_Qp2_Lee_RL_1_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	1	1	20150602_04_Qp2_Lee_RL_1_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	RL_1
breast cancer cell submitted sample RL_18	Homo sapiens	cell culture	breast cancer	18	20150602_05_Qp2_Lee_RL_18_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	1	1	20150602_05_Qp2_Lee_RL_18_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	RL_18
breast cancer cell submitted sample RL_11	Homo sapiens	cell culture	breast cancer	11	20150602_06_Qp2_Lee_RL_11_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	1	1	20150602_06_Qp2_Lee_RL_11_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	RL_11
breast cancer cell submitted sample RL_5	Homo sapiens	cell culture	breast cancer	5	20150602_07_Qp2_Lee_RL_5_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	1	1	20150602_07_Qp2_Lee_RL_5_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	RL_5
breast cancer cell submitted sample RL_34	Homo sapiens	cell culture	breast cancer	34	20150602_08_Qp2_Lee_RL_34_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	1	1	20150602_08_Qp2_Lee_RL_34_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	RL_34
breast cancer cell submitted sample RL_9	Homo sapiens	cell culture	breast cancer	9	20150602_09_Qp2_Lee_RL_9_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	1	1	20150602_09_Qp2_Lee_RL_9_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	RL_9
breast cancer cell submitted sample RL_35	Homo sapiens	cell culture	breast cancer	35	20150602_10_Qp2_Lee_RL_35_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	1	1	20150602_10_Qp2_Lee_RL_35_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	RL_35
breast cancer cell submitted sample RL_19	Homo sapiens	cell culture	breast cancer	19	20150602_11_Qp2_Lee_RL_19_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	1	1	20150602_11_Qp2_Lee_RL_19_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	RL_19
breast cancer cell submitted sample RL_30	Homo sapiens	cell culture	breast cancer	30	20150602_12_Qp2_Lee_RL_30_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	1	1	20150602_12_Qp2_Lee_RL_30_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	RL_30
