source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[cell line]	characteristics[sample type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	factor value[antibody]	factor value[cell line]	factor value[molecular weight]
ERbeta-2-2013-12-03	Homo sapiens	cell culture	not applicable	not available	not available	HCT116erb	immunoprecipitated protein gel band	1	ERbeta-2-2013-12-03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos Pro ETD;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	ERbeta-2-2013-12-03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	1D5	HCT116erb	50-80 kDa
ERbeta-3-2013-12-03	Homo sapiens	cell culture	not applicable	not available	not available	T47D mock	immunoprecipitated protein gel band	1	ERbeta-3-2013-12-03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos Pro ETD;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	ERbeta-3-2013-12-03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	1D5	T47D mock	50-80 kDa
ERbeta-5-2013-12-03	Homo sapiens	cell culture	not applicable	not available	not available	HCT116erb	immunoprecipitated protein gel band	1	ERbeta-5-2013-12-03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos Pro ETD;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	ERbeta-5-2013-12-03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	PPZ0506	HCT116erb	50-80 kDa
ERbeta-6-2013-12-03	Homo sapiens	cell culture	not applicable	not available	not available	T47D mock	immunoprecipitated protein gel band	1	ERbeta-6-2013-12-03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos Pro ETD;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	ERbeta-6-2013-12-03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	PPZ0506	T47D mock	50-80 kDa
ERbeta-8-2013-12-03	Homo sapiens	cell culture	not applicable	not available	not available	HCT116erb	immunoprecipitated protein gel band	1	ERbeta-8-2013-12-03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos Pro ETD;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	ERbeta-8-2013-12-03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	14C8	HCT116erb	50-80 kDa
ERbeta-9-2013-12-03	Homo sapiens	cell culture	not applicable	not available	not available	T47D mock	immunoprecipitated protein gel band	1	ERbeta-9-2013-12-03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos Pro ETD;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	ERbeta-9-2013-12-03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	14C8	T47D mock	50-80 kDa
ERbeta-11-2013-12-03	Homo sapiens	cell culture	not applicable	not available	not available	HCT116erb	immunoprecipitated protein gel band	1	ERbeta-11-2013-12-03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos Pro ETD;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	ERbeta-11-2013-12-03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	14C8	HCT116erb	100-120 kDa
ERbeta-12-2013-12-03	Homo sapiens	cell culture	not applicable	not available	not available	T47D mock	immunoprecipitated protein gel band	1	ERbeta-12-2013-12-03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos Pro ETD;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	ERbeta-12-2013-12-03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	14C8	T47D mock	100-120 kDa
ERbeta-14-2013-12-03	Homo sapiens	cell culture	not applicable	not available	not available	HCT116erb	immunoprecipitated protein gel band	1	ERbeta-14-2013-12-03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos Pro ETD;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	ERbeta-14-2013-12-03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	14C8	HCT116erb	20-25 kDa
ERbeta-15-2013-12-03	Homo sapiens	cell culture	not applicable	not available	not available	T47D mock	immunoprecipitated protein gel band	1	ERbeta-15-2013-12-03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos Pro ETD;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	ERbeta-15-2013-12-03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	14C8	T47D mock	20-25 kDa
