source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[disease]	factor value[TMT set]	factor value[HiRIEF pH range]
TMT set 2 pooled internal standard	Homo sapiens	prefrontal cortex (Brodmann area 9)	pooled internal standard	1	Rui_Erika_Synaptic_Proteomics_BA9_TMTset2_250ug_IPG3-10_50min_10of15ul_fr65_126	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=126	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TMT 10-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	65	1	Rui_Erika_Synaptic_Proteomics_BA9_TMTset2_250ug_IPG3-10_50min_10of15ul_fr65.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	pooled internal standard	TMT set 2	3-10
TMT set 2 channel 127N Parkinson's disease with dementia sample 3	Homo sapiens	prefrontal cortex (Brodmann area 9)	Parkinson's disease with dementia	3	Rui_Erika_Synaptic_Proteomics_BA9_TMTset2_250ug_IPG3-10_50min_10of15ul_fr65_127N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=127N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TMT 10-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	65	1	Rui_Erika_Synaptic_Proteomics_BA9_TMTset2_250ug_IPG3-10_50min_10of15ul_fr65.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Parkinson's disease with dementia	TMT set 2	3-10
TMT set 2 channel 127C older adult without dementia sample 3	Homo sapiens	prefrontal cortex (Brodmann area 9)	older adult without dementia	3	Rui_Erika_Synaptic_Proteomics_BA9_TMTset2_250ug_IPG3-10_50min_10of15ul_fr65_127C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=127C	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TMT 10-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	65	1	Rui_Erika_Synaptic_Proteomics_BA9_TMTset2_250ug_IPG3-10_50min_10of15ul_fr65.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	older adult without dementia	TMT set 2	3-10
TMT set 2 channel 128N dementia with Lewy bodies sample 3	Homo sapiens	prefrontal cortex (Brodmann area 9)	dementia with Lewy bodies	3	Rui_Erika_Synaptic_Proteomics_BA9_TMTset2_250ug_IPG3-10_50min_10of15ul_fr65_128N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=128N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TMT 10-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	65	1	Rui_Erika_Synaptic_Proteomics_BA9_TMTset2_250ug_IPG3-10_50min_10of15ul_fr65.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	dementia with Lewy bodies	TMT set 2	3-10
TMT set 2 channel 128C Parkinson's disease with dementia sample 4	Homo sapiens	prefrontal cortex (Brodmann area 9)	Parkinson's disease with dementia	4	Rui_Erika_Synaptic_Proteomics_BA9_TMTset2_250ug_IPG3-10_50min_10of15ul_fr65_128C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=128C	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TMT 10-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	65	1	Rui_Erika_Synaptic_Proteomics_BA9_TMTset2_250ug_IPG3-10_50min_10of15ul_fr65.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Parkinson's disease with dementia	TMT set 2	3-10
TMT set 2 channel 129N dementia with Lewy bodies sample 4	Homo sapiens	prefrontal cortex (Brodmann area 9)	dementia with Lewy bodies	4	Rui_Erika_Synaptic_Proteomics_BA9_TMTset2_250ug_IPG3-10_50min_10of15ul_fr65_129N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=129N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TMT 10-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	65	1	Rui_Erika_Synaptic_Proteomics_BA9_TMTset2_250ug_IPG3-10_50min_10of15ul_fr65.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	dementia with Lewy bodies	TMT set 2	3-10
TMT set 2 channel 129C Alzheimer's disease sample 3	Homo sapiens	prefrontal cortex (Brodmann area 9)	Alzheimer's disease	3	Rui_Erika_Synaptic_Proteomics_BA9_TMTset2_250ug_IPG3-10_50min_10of15ul_fr65_129C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=129C	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TMT 10-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	65	1	Rui_Erika_Synaptic_Proteomics_BA9_TMTset2_250ug_IPG3-10_50min_10of15ul_fr65.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Alzheimer's disease	TMT set 2	3-10
TMT set 2 channel 130N older adult without dementia sample 4	Homo sapiens	prefrontal cortex (Brodmann area 9)	older adult without dementia	4	Rui_Erika_Synaptic_Proteomics_BA9_TMTset2_250ug_IPG3-10_50min_10of15ul_fr65_130N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=130N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TMT 10-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	65	1	Rui_Erika_Synaptic_Proteomics_BA9_TMTset2_250ug_IPG3-10_50min_10of15ul_fr65.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	older adult without dementia	TMT set 2	3-10
TMT set 2 channel 130C Alzheimer's disease sample 4	Homo sapiens	prefrontal cortex (Brodmann area 9)	Alzheimer's disease	4	Rui_Erika_Synaptic_Proteomics_BA9_TMTset2_250ug_IPG3-10_50min_10of15ul_fr65_130C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=130C	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TMT 10-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	65	1	Rui_Erika_Synaptic_Proteomics_BA9_TMTset2_250ug_IPG3-10_50min_10of15ul_fr65.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Alzheimer's disease	TMT set 2	3-10
TMT set 2 pooled internal standard	Homo sapiens	prefrontal cortex (Brodmann area 9)	pooled internal standard	1	Rui_Erika_Synaptic_Proteomics_BA9_TMTset2_250ug_IPG3-10_50min_10of15ul_fr65_131	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=131	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TMT 10-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	65	1	Rui_Erika_Synaptic_Proteomics_BA9_TMTset2_250ug_IPG3-10_50min_10of15ul_fr65.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	pooled internal standard	TMT set 2	3-10
