source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[sample class]	factor value[gefitinib exposure]	factor value[TMT set]	factor value[HiRIEF pH range]
placenta sample 1	Homo sapiens	placenta	not applicable	1	HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr35_126	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=126	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	35	1	HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr35.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	histologically normal tissue	not applicable	normal tissues set 1	3-10
placenta sample 2	Homo sapiens	placenta	not applicable	2	HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr35_127N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=127N	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	35	1	HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr35.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	histologically normal tissue	not applicable	normal tissues set 1	3-10
placenta sample 3	Homo sapiens	placenta	not applicable	3	HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr35_127C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=127C	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	35	1	HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr35.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	histologically normal tissue	not applicable	normal tissues set 1	3-10
liver sample 1	Homo sapiens	liver	not applicable	1	HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr35_128N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=128N	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	35	1	HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr35.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	histologically normal tissue	not applicable	normal tissues set 1	3-10
liver sample 2	Homo sapiens	liver	not applicable	2	HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr35_128C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=128C	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	35	1	HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr35.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	histologically normal tissue	not applicable	normal tissues set 1	3-10
kidney sample 1	Homo sapiens	kidney	not applicable	1	HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr35_129N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=129N	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	35	1	HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr35.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	histologically normal tissue	not applicable	normal tissues set 1	3-10
kidney sample 2	Homo sapiens	kidney	not applicable	2	HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr35_129C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=129C	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	35	1	HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr35.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	histologically normal tissue	not applicable	normal tissues set 1	3-10
tonsil sample 1	Homo sapiens	tonsil	not applicable	1	HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr35_130N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=130N	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	35	1	HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr35.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	histologically normal tissue	not applicable	normal tissues set 1	3-10
tonsil sample 2	Homo sapiens	tonsil	not applicable	2	HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr35_130C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=130C	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	35	1	HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr35.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	histologically normal tissue	not applicable	normal tissues set 1	3-10
pooled normal-tissue internal standard	Homo sapiens	placenta, liver, kidney, tonsil, and testis pooled standard	not applicable	1	HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr35_131	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=131	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	35	1	HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr35.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	internal pooled standard	not applicable	normal tissues set 1	3-10
