source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]
PXD007958-2013-03-04_MC_22C_2	Populus tremula x populus tremuloides	Xylem	1	not available	not available	not available	2013-03-04_MC_22C_2.raw.tgz	proteomic profiling by mass spectrometry	1	2013-03-04_MC_22C_2.raw.tgz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=Synapt G2 HDMS;AC=MS:1001777	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD007958-2013-03-04_MC_16C_1	Populus tremula x populus tremuloides	Xylem	2	not available	not available	not available	2013-03-04_MC_16C_1.raw.tgz	proteomic profiling by mass spectrometry	1	2013-03-04_MC_16C_1.raw.tgz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=Synapt G2 HDMS;AC=MS:1001777	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD007958-2013-03-04_MC_11B_3	Populus tremula x populus tremuloides	Xylem	3	not available	not available	not available	2013-03-04_MC_11B_3.raw.tgz	proteomic profiling by mass spectrometry	1	2013-03-04_MC_11B_3.raw.tgz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=Synapt G2 HDMS;AC=MS:1001777	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD007958-2013-03-04_MC_04A_3	Populus tremula x populus tremuloides	Xylem	4	not available	not available	not available	2013-03-04_MC_04A_3.raw.tgz	proteomic profiling by mass spectrometry	1	2013-03-04_MC_04A_3.raw.tgz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=Synapt G2 HDMS;AC=MS:1001777	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD007958-2013-03-04_MC_16A_3	Populus tremula x populus tremuloides	Xylem	5	not available	not available	not available	2013-03-04_MC_16A_3.raw.tgz	proteomic profiling by mass spectrometry	1	2013-03-04_MC_16A_3.raw.tgz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=Synapt G2 HDMS;AC=MS:1001777	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD007958-2013-03-04_MC_T89I_2	Populus tremula x populus tremuloides	Xylem	6	not available	not available	not available	2013-03-04_MC_T89I_2.raw.tgz	proteomic profiling by mass spectrometry	1	2013-03-04_MC_T89I_2.raw.tgz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=Synapt G2 HDMS;AC=MS:1001777	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD007958-2013-03-04_MC_22B_3	Populus tremula x populus tremuloides	Xylem	7	not available	not available	not available	2013-03-04_MC_22B_3.raw.tgz	proteomic profiling by mass spectrometry	1	2013-03-04_MC_22B_3.raw.tgz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=Synapt G2 HDMS;AC=MS:1001777	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD007958-2013-03-04_MC_11C_3	Populus tremula x populus tremuloides	Xylem	8	not available	not available	not available	2013-03-04_MC_11C_3.raw.tgz	proteomic profiling by mass spectrometry	1	2013-03-04_MC_11C_3.raw.tgz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=Synapt G2 HDMS;AC=MS:1001777	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD007958-2013-03-04_MC_04E_3	Populus tremula x populus tremuloides	Xylem	9	not available	not available	not available	2013-03-04_MC_04E_3.raw.tgz	proteomic profiling by mass spectrometry	1	2013-03-04_MC_04E_3.raw.tgz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=Synapt G2 HDMS;AC=MS:1001777	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD007958-2013-03-04_MC_T89I_3	Populus tremula x populus tremuloides	Xylem	10	not available	not available	not available	2013-03-04_MC_T89I_3.raw.tgz	proteomic profiling by mass spectrometry	1	2013-03-04_MC_T89I_3.raw.tgz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=Synapt G2 HDMS;AC=MS:1001777	NT=Trypsin;AC=MS:1001251	label free sample	1
