source name	characteristics[organism]	characteristics[organism part]	characteristics[developmental stage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[pull-down condition]
His6-secretagogin pull-down replicate 1	Mus musculus	pancreas	embryonic day 13.5	1	EC08-trSCGN-PD1-BB2-P1454-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;TA=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	2	EC08-trSCGN-PD1-BB2-P1454-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	His6-secretagogin pull-down
His6-secretagogin pull-down replicate 3	Mus musculus	pancreas	embryonic day 13.5	3	EC08-trSCGN-PD3-BB6-P1456-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;TA=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	2	EC08-trSCGN-PD3-BB6-P1456-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	His6-secretagogin pull-down
His6-secretagogin pull-down replicate 2	Mus musculus	pancreas	embryonic day 13.5	2	EC08-trSCGN-PD2-BB4-P1455-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;TA=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	2	EC08-trSCGN-PD2-BB4-P1455-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	His6-secretagogin pull-down
His6-secretagogin pull-down replicate 3	Mus musculus	pancreas	embryonic day 13.5	3	EC08-trSCGN-PD3-BB5-P1456-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;TA=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	EC08-trSCGN-PD3-BB5-P1456-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	His6-secretagogin pull-down
control pull-down replicate 3	Mus musculus	pancreas	embryonic day 13.5	3	EC08-trSCGN-CTRL3-BA6-P1453-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;TA=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	2	EC08-trSCGN-CTRL3-BA6-P1453-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	control pull-down
control pull-down replicate 1	Mus musculus	pancreas	embryonic day 13.5	1	EC08-trSCGN-CTRL1-BA1-P1451-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;TA=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	EC08-trSCGN-CTRL1-BA1-P1451-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	control pull-down
His6-secretagogin pull-down replicate 1	Mus musculus	pancreas	embryonic day 13.5	1	EC08-trSCGN-PD1-BB1-P1454-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;TA=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	EC08-trSCGN-PD1-BB1-P1454-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	His6-secretagogin pull-down
control pull-down replicate 1	Mus musculus	pancreas	embryonic day 13.5	1	EC08-trSCGN-CTRL1-BA2-P1451-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;TA=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	2	EC08-trSCGN-CTRL1-BA2-P1451-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	control pull-down
control pull-down replicate 2	Mus musculus	pancreas	embryonic day 13.5	2	EC08-trSCGN-CTRL2-BA4-P1452-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;TA=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	2	EC08-trSCGN-CTRL2-BA4-P1452-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	control pull-down
His6-secretagogin pull-down replicate 2	Mus musculus	pancreas	embryonic day 13.5	2	EC08-trSCGN-PD2-BB3-P1455-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;TA=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	EC08-trSCGN-PD2-BB3-P1455-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	His6-secretagogin pull-down
