source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[submitted culture condition]
Synechocystis PCC 6803 culture co2-1p00 replicate 1	Synechocystis sp. PCC 6803 substr. GT-S	photosynthetic cell	1	20180112_co2-1p00_r1_GA2_01_5469	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=maXis;AC=MS:1001541	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20180112_co2-1p00_r1_GA2_01_5469.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	co2-1p00
Synechocystis PCC 6803 culture 60-ja8 replicate 1	Synechocystis sp. PCC 6803 substr. GT-S	photosynthetic cell	1	20180112_60_ja8_r1_GE2_01_5509	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=maXis;AC=MS:1001541	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20180112_60_ja8_r1_GE2_01_5509.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	60-ja8
Synechocystis PCC 6803 culture Cyano-1000 replicate 1	Synechocystis sp. PCC 6803 substr. GT-S	photosynthetic cell	1	20170419_GM_Cyano_1000_R1_BC1_01_2485	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=maXis;AC=MS:1001541	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20170419_GM_Cyano_1000_R1_BC1_01_2485.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Cyano-1000
Synechocystis PCC 6803 culture Cyano-100 replicate 1	Synechocystis sp. PCC 6803 substr. GT-S	photosynthetic cell	1	20170419_GM_Cyano_100_R1_BA5_01_2470	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=maXis;AC=MS:1001541	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20170419_GM_Cyano_100_R1_BA5_01_2470.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Cyano-100
Synechocystis PCC 6803 culture co2-0p50 replicate 3	Synechocystis sp. PCC 6803 substr. GT-S	photosynthetic cell	3	20180112_co2-0p50_r3_GA8_01_5476	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=maXis;AC=MS:1001541	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20180112_co2-0p50_r3_GA8_01_5476.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	co2-0p50
Synechocystis PCC 6803 culture co2-0p50 replicate 2	Synechocystis sp. PCC 6803 substr. GT-S	photosynthetic cell	2	20180112_co2-0p50_r2_GA7_01_5475	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=maXis;AC=MS:1001541	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20180112_co2-0p50_r2_GA7_01_5475.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	co2-0p50
Synechocystis PCC 6803 culture 60glc replicate 3	Synechocystis sp. PCC 6803 substr. GT-S	photosynthetic cell	3	FE_60glc_r3_GC7_01_3273	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=maXis;AC=MS:1001541	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	FE_60glc_r3_GC7_01_3273.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	60glc
Synechocystis PCC 6803 culture Cyano-200 replicate 1	Synechocystis sp. PCC 6803 substr. GT-S	photosynthetic cell	1	20170419_GM_Cyano_200_R1_BB1_01_2475	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=maXis;AC=MS:1001541	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20170419_GM_Cyano_200_R1_BB1_01_2475.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Cyano-200
Synechocystis PCC 6803 culture co2-0p20 replicate 1	Synechocystis sp. PCC 6803 substr. GT-S	photosynthetic cell	1	20180112_co2-0p20_r1_GB6_01_5484	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=maXis;AC=MS:1001541	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20180112_co2-0p20_r1_GB6_01_5484.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	co2-0p20
Synechocystis PCC 6803 culture 60glc replicate 4	Synechocystis sp. PCC 6803 substr. GT-S	photosynthetic cell	4	FE_60glc_r4_GC8_01_3274	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=maXis;AC=MS:1001541	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	FE_60glc_r4_GC8_01_3274.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	60glc
