source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[membrane fraction]
plasmodesmata-enriched fraction replicate 1	Populus	cell suspension culture	1	PlasmodesmataBR1c	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q-Tof Ultima;AC=MS:1000189	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	PlasmodesmataBR1c.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	plasmodesmata-enriched fraction
plasmodesmata-enriched fraction replicate 2	Populus	cell suspension culture	2	PlasmodesmataBR2c	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q-Tof Ultima;AC=MS:1000189	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	PlasmodesmataBR2c.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	plasmodesmata-enriched fraction
plasmodesmata-enriched fraction replicate 1	Populus	cell suspension culture	1	PlasmodesmataBR1d	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q-Tof Ultima;AC=MS:1000189	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	PlasmodesmataBR1d.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	plasmodesmata-enriched fraction
plasmodesmata-enriched fraction replicate 1	Populus	cell suspension culture	1	PlasmodesmataBR1a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q-Tof Ultima;AC=MS:1000189	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	PlasmodesmataBR1a.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	plasmodesmata-enriched fraction
plasmodesmata-enriched fraction replicate 1	Populus	cell suspension culture	1	PlasmodesmataBR1b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q-Tof Ultima;AC=MS:1000189	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	PlasmodesmataBR1b.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	plasmodesmata-enriched fraction
plasmodesmata-enriched fraction replicate 2	Populus	cell suspension culture	2	PlasmodesmataBR2b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q-Tof Ultima;AC=MS:1000189	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	PlasmodesmataBR2b.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	plasmodesmata-enriched fraction
microsomal membrane fraction replicate 2	Populus	cell suspension culture	2	MicrosomalBR2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q-Tof Ultima;AC=MS:1000189	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	MicrosomalBR2.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	microsomal membrane fraction
plasmodesmata-enriched fraction replicate 3	Populus	cell suspension culture	3	PlasmodesmataBR3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q-Tof Ultima;AC=MS:1000189	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	PlasmodesmataBR3.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	plasmodesmata-enriched fraction
microsomal membrane fraction replicate 1	Populus	cell suspension culture	1	MicrosomalBR1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q-Tof Ultima;AC=MS:1000189	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	MicrosomalBR1.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	microsomal membrane fraction
plasmodesmata-enriched fraction replicate 2	Populus	cell suspension culture	2	PlasmodesmataBR2a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q-Tof Ultima;AC=MS:1000189	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	PlasmodesmataBR2a.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	plasmodesmata-enriched fraction
microsomal membrane fraction replicate 3	Populus	cell suspension culture	3	MicrosomalBR3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q-Tof Ultima;AC=MS:1000189	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	MicrosomalBR3.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	microsomal membrane fraction
