source name	characteristics[organism]	characteristics[organism part]	characteristics[developmental stage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]
THC-exposure hippocampus iTRAQ series 6	Mus musculus	hippocampus	postnatal exposure study	1	DCJuliTRAQ6Fr19	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=iTRAQ 4plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	19	1	DCJuliTRAQ6Fr19.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0
THC-exposure hippocampus iTRAQ series 4	Mus musculus	hippocampus	postnatal exposure study	1	DCJuliTRAQ4Fr3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=iTRAQ 4plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	3	1	DCJuliTRAQ4Fr3.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0
THC-exposure hippocampus iTRAQ series 5	Mus musculus	hippocampus	postnatal exposure study	1	DCJuliTRAQ5Fr22	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=iTRAQ 4plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	22	1	DCJuliTRAQ5Fr22.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0
THC-exposure hippocampus iTRAQ series 4	Mus musculus	hippocampus	postnatal exposure study	1	DCJuliTRAQ4Fr19	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=iTRAQ 4plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	19	1	DCJuliTRAQ4Fr19.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0
THC-exposure hippocampus iTRAQ series 4	Mus musculus	hippocampus	postnatal exposure study	1	DCJuliTRAQ4Fr12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=iTRAQ 4plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	12	1	DCJuliTRAQ4Fr12.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0
THC-exposure hippocampus iTRAQ series 6	Mus musculus	hippocampus	postnatal exposure study	1	DCJuliTRAQ6Fr9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=iTRAQ 4plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	9	1	DCJuliTRAQ6Fr9.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0
THC-exposure hippocampus iTRAQ series 4	Mus musculus	hippocampus	postnatal exposure study	1	DCJuliTRAQ4Fr11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=iTRAQ 4plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	11	1	DCJuliTRAQ4Fr11.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0
THC-exposure hippocampus iTRAQ series 1	Mus musculus	hippocampus	postnatal exposure study	1	DCJuniTRAQ1Fr6half	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=iTRAQ 4plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	6	1	DCJuniTRAQ1Fr6half.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0
THC-exposure hippocampus iTRAQ series 2	Mus musculus	hippocampus	postnatal exposure study	1	DCJuniTRAQ2Fr9half	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=iTRAQ 4plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	9	1	DCJuniTRAQ2Fr9half.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0
THC-exposure hippocampus iTRAQ series 6	Mus musculus	hippocampus	postnatal exposure study	1	DCJuliTRAQ6Fr6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=iTRAQ 4plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	6	1	DCJuliTRAQ6Fr6.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0
