source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sample type]	characteristics[disease]	characteristics[material type]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]
131025_NT_HCC23_Tumor_LysatReRun_W_20_1_50cm195min5s_msms10	Homo sapiens	liver	not available	1	study sample	tumor	tissue	131025_NT_HCC23_Tumor_LysatReRun_W_20_1_50cm195min5s_msms10.RAW	proteomic profiling by mass spectrometry	1	131025_NT_HCC23_Tumor_LysatReRun_W_20_1_50cm195min5s_msms10.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
131025_NT_HCC23_Tumor_W_20_1_50cm195min5s_msms1	Homo sapiens	liver	not available	1	study sample	tumor	tissue	131025_NT_HCC23_Tumor_W_20_1_50cm195min5s_msms1.RAW	proteomic profiling by mass spectrometry	1	131025_NT_HCC23_Tumor_W_20_1_50cm195min5s_msms1.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
140122_NT_HCC26_Benign_W_20_Rep1_25cm90min3s_msms7	Homo sapiens	liver	not available	2	study sample	benign/non-tumor	tissue	140122_NT_HCC26_Benign_W_20_Rep1_25cm90min3s_msms7.RAW	proteomic profiling by mass spectrometry	1	140122_NT_HCC26_Benign_W_20_Rep1_25cm90min3s_msms7.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
140221_nt_HCC27_Tumor_W_20_Rep1_50cm195min5s_msms1	Homo sapiens	liver	not available	3	study sample	tumor	tissue	140221_nt_HCC27_Tumor_W_20_Rep1_50cm195min5s_msms1.RAW	proteomic profiling by mass spectrometry	1	140221_nt_HCC27_Tumor_W_20_Rep1_50cm195min5s_msms1.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
140221_nt_HCC28_Tumor_W_20_Rep1_50cm195min5s_msms5	Homo sapiens	liver	not available	4	study sample	tumor	tissue	140221_nt_HCC28_Tumor_W_20_Rep1_50cm195min5s_msms5.RAW	proteomic profiling by mass spectrometry	1	140221_nt_HCC28_Tumor_W_20_Rep1_50cm195min5s_msms5.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
160824_RZ_HCC0043_Benign_W_Adjusted_2_25cm90min3s_msms16	Homo sapiens	liver	not available	5	study sample	benign/non-tumor	tissue	160824_RZ_HCC0043_Benign_W_Adjusted_2_25cm90min3s_msms16.raw	proteomic profiling by mass spectrometry	1	160824_RZ_HCC0043_Benign_W_Adjusted_2_25cm90min3s_msms16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
160824_RZ_HCC0043_Benign_W_Adjusted_3_25cm90min3s_msms17	Homo sapiens	liver	not available	5	study sample	benign/non-tumor	tissue	160824_RZ_HCC0043_Benign_W_Adjusted_3_25cm90min3s_msms17.raw	proteomic profiling by mass spectrometry	1	160824_RZ_HCC0043_Benign_W_Adjusted_3_25cm90min3s_msms17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
160824_RZ_HCC0043_Benign_W_Adjusted_4_25cm90min3s_msms18	Homo sapiens	liver	not available	5	study sample	benign/non-tumor	tissue	160824_RZ_HCC0043_Benign_W_Adjusted_4_25cm90min3s_msms18.raw	proteomic profiling by mass spectrometry	1	160824_RZ_HCC0043_Benign_W_Adjusted_4_25cm90min3s_msms18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
160830_RZ_HCC0034_Tumor_W_Adjusted_3_25cm90min3s_msms17	Homo sapiens	liver	not available	6	study sample	tumor	tissue	160830_RZ_HCC0034_Tumor_W_Adjusted_3_25cm90min3s_msms17.raw	proteomic profiling by mass spectrometry	1	160830_RZ_HCC0034_Tumor_W_Adjusted_3_25cm90min3s_msms17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
160830_RZ_HCC0034_Tumor_W_DoseFinding_25cm90min3s_msms2	Homo sapiens	liver	not available	6	study sample	tumor	tissue	160830_RZ_HCC0034_Tumor_W_DoseFinding_25cm90min3s_msms2.raw	proteomic profiling by mass spectrometry	1	160830_RZ_HCC0034_Tumor_W_DoseFinding_25cm90min3s_msms2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
160912_RZ_HCC040_Tumor_W_Adjusted_3_25cm90min3s_msms8	Homo sapiens	liver	not available	7	study sample	tumor	tissue	160912_RZ_HCC040_Tumor_W_Adjusted_3_25cm90min3s_msms8.raw	proteomic profiling by mass spectrometry	1	160912_RZ_HCC040_Tumor_W_Adjusted_3_25cm90min3s_msms8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
160912_RZ_HCC042_Benign_W_Adjusted_3_25cm90min3s_msms34	Homo sapiens	liver	not available	8	study sample	benign/non-tumor	tissue	160912_RZ_HCC042_Benign_W_Adjusted_3_25cm90min3s_msms34.raw	proteomic profiling by mass spectrometry	1	160912_RZ_HCC042_Benign_W_Adjusted_3_25cm90min3s_msms34.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
160912_RZ_HCC042_Benign_W_Adjusted_5_25cm90min3s_msms36	Homo sapiens	liver	not available	8	study sample	benign/non-tumor	tissue	160912_RZ_HCC042_Benign_W_Adjusted_5_25cm90min3s_msms36.raw	proteomic profiling by mass spectrometry	1	160912_RZ_HCC042_Benign_W_Adjusted_5_25cm90min3s_msms36.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
160912_RZ_HCC042_Tumor_W_Adjusted_2_25cm90min3s_msms38	Homo sapiens	liver	not available	9	study sample	tumor	tissue	160912_RZ_HCC042_Tumor_W_Adjusted_2_25cm90min3s_msms38.raw	proteomic profiling by mass spectrometry	1	160912_RZ_HCC042_Tumor_W_Adjusted_2_25cm90min3s_msms38.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
160912_RZ_HCC042_Tumor_W_Adjusted_3_25cm90min3s_msms39	Homo sapiens	liver	not available	9	study sample	tumor	tissue	160912_RZ_HCC042_Tumor_W_Adjusted_3_25cm90min3s_msms39.raw	proteomic profiling by mass spectrometry	1	160912_RZ_HCC042_Tumor_W_Adjusted_3_25cm90min3s_msms39.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
160918_RZ_HCC035_Benign_W_Adjusted_2_25cm90min3s_msms1	Homo sapiens	liver	not available	10	study sample	benign/non-tumor	tissue	160918_RZ_HCC035_Benign_W_Adjusted_2_25cm90min3s_msms1.raw	proteomic profiling by mass spectrometry	1	160918_RZ_HCC035_Benign_W_Adjusted_2_25cm90min3s_msms1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
160918_RZ_HCC035_Tumor_W_Adjusted_2_25cm90min3s_msms7	Homo sapiens	liver	not available	11	study sample	tumor	tissue	160918_RZ_HCC035_Tumor_W_Adjusted_2_25cm90min3s_msms7.raw	proteomic profiling by mass spectrometry	1	160918_RZ_HCC035_Tumor_W_Adjusted_2_25cm90min3s_msms7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
160918_RZ_HCC035_Tumor_W_Adjusted_4_25cm90min3s_msms9	Homo sapiens	liver	not available	11	study sample	tumor	tissue	160918_RZ_HCC035_Tumor_W_Adjusted_4_25cm90min3s_msms9.raw	proteomic profiling by mass spectrometry	1	160918_RZ_HCC035_Tumor_W_Adjusted_4_25cm90min3s_msms9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
160923_RZ_HCC036_Benign_W_Adjusted_3_25cm90min3s_msms2	Homo sapiens	liver	not available	12	study sample	benign/non-tumor	tissue	160923_RZ_HCC036_Benign_W_Adjusted_3_25cm90min3s_msms2.raw	proteomic profiling by mass spectrometry	1	160923_RZ_HCC036_Benign_W_Adjusted_3_25cm90min3s_msms2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
160923_RZ_HCC036_Tumor_W_Adjusted_3_25cm90min3s_msms7	Homo sapiens	liver	not available	13	study sample	tumor	tissue	160923_RZ_HCC036_Tumor_W_Adjusted_3_25cm90min3s_msms7.raw	proteomic profiling by mass spectrometry	1	160923_RZ_HCC036_Tumor_W_Adjusted_3_25cm90min3s_msms7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
160923_RZ_HCC036_Tumor_W_Adjusted_5_25cm90min3s_msms9	Homo sapiens	liver	not available	13	study sample	tumor	tissue	160923_RZ_HCC036_Tumor_W_Adjusted_5_25cm90min3s_msms9.raw	proteomic profiling by mass spectrometry	1	160923_RZ_HCC036_Tumor_W_Adjusted_5_25cm90min3s_msms9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
161002_RZ_HCC030_Tumor_W_Adjusted_3_25cm90min3s_msms8	Homo sapiens	liver	not available	14	study sample	tumor	tissue	161002_RZ_HCC030_Tumor_W_Adjusted_3_25cm90min3s_msms8.raw	proteomic profiling by mass spectrometry	1	161002_RZ_HCC030_Tumor_W_Adjusted_3_25cm90min3s_msms8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
161002_RZ_HCC030_Tumor_W_Adjusted_4_25cm90min3s_msms9	Homo sapiens	liver	not available	14	study sample	tumor	tissue	161002_RZ_HCC030_Tumor_W_Adjusted_4_25cm90min3s_msms9.raw	proteomic profiling by mass spectrometry	1	161002_RZ_HCC030_Tumor_W_Adjusted_4_25cm90min3s_msms9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
161002_RZ_HCC041_Benign_W_Adjusted_2_25cm90min3s_msms23	Homo sapiens	liver	not available	15	study sample	benign/non-tumor	tissue	161002_RZ_HCC041_Benign_W_Adjusted_2_25cm90min3s_msms23.raw	proteomic profiling by mass spectrometry	1	161002_RZ_HCC041_Benign_W_Adjusted_2_25cm90min3s_msms23.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
161002_RZ_HCC041_Benign_W_Adjusted_4_25cm90min3s_msms25	Homo sapiens	liver	not available	15	study sample	benign/non-tumor	tissue	161002_RZ_HCC041_Benign_W_Adjusted_4_25cm90min3s_msms25.raw	proteomic profiling by mass spectrometry	1	161002_RZ_HCC041_Benign_W_Adjusted_4_25cm90min3s_msms25.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
161002_RZ_HCC041_Tumor_W_Adjusted_1_25cm90min3s_msms28	Homo sapiens	liver	not available	16	study sample	tumor	tissue	161002_RZ_HCC041_Tumor_W_Adjusted_1_25cm90min3s_msms28.raw	proteomic profiling by mass spectrometry	1	161002_RZ_HCC041_Tumor_W_Adjusted_1_25cm90min3s_msms28.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
161002_RZ_HCC041_Tumor_W_Adjusted_3_25cm90min3s_msms30	Homo sapiens	liver	not available	16	study sample	tumor	tissue	161002_RZ_HCC041_Tumor_W_Adjusted_3_25cm90min3s_msms30.raw	proteomic profiling by mass spectrometry	1	161002_RZ_HCC041_Tumor_W_Adjusted_3_25cm90min3s_msms30.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
