source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[submitted TMT set]
differentiated MonoMac6 submitted TMT set 3	Homo sapiens	cell culture	MonoMac6	1	JLEOIB_20160324_P3_Fr09	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 6-plex;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	9	1	JLEOIB_20160324_P3_Fr09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	P3
differentiated MonoMac6 submitted TMT set 4	Homo sapiens	cell culture	MonoMac6	1	JLEOIB_20160324_P4_Fr12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 6-plex;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	12	1	JLEOIB_20160324_P4_Fr12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	P4
differentiated MonoMac6 submitted TMT set 3	Homo sapiens	cell culture	MonoMac6	1	JLEOIB_20160324_P3_Fr02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 6-plex;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	2	1	JLEOIB_20160324_P3_Fr02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	P3
differentiated MonoMac6 submitted TMT set 4	Homo sapiens	cell culture	MonoMac6	1	JLEOIB_20160324_P4_Fr10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 6-plex;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	10	1	JLEOIB_20160324_P4_Fr10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	P4
differentiated MonoMac6 submitted TMT set 4	Homo sapiens	cell culture	MonoMac6	1	JLEOIB_20160324_P4_Fr06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 6-plex;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	6	1	JLEOIB_20160324_P4_Fr06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	P4
differentiated MonoMac6 submitted TMT set 1	Homo sapiens	cell culture	MonoMac6	1	JLEOIB_20160324_P1_Fr07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 6-plex;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	7	1	JLEOIB_20160324_P1_Fr07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	P1
differentiated MonoMac6 submitted TMT set 1	Homo sapiens	cell culture	MonoMac6	1	JLEOIB_20160324_P1_Fr03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 6-plex;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	3	1	JLEOIB_20160324_P1_Fr03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	P1
differentiated MonoMac6 submitted TMT set 4	Homo sapiens	cell culture	MonoMac6	1	JLEOIB_20160324_P4_Fr09	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 6-plex;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	9	1	JLEOIB_20160324_P4_Fr09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	P4
differentiated MonoMac6 submitted TMT set 1	Homo sapiens	cell culture	MonoMac6	1	JLEOIB_20160324_P1_Fr12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 6-plex;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	12	1	JLEOIB_20160324_P1_Fr12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	P1
differentiated MonoMac6 submitted TMT set 2	Homo sapiens	cell culture	MonoMac6	1	JLEOIB_20160324_P2_Fr06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 6-plex;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	6	1	JLEOIB_20160324_P2_Fr06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	P2
