source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[treatment]	characteristics[age]	characteristics[sex]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	factor value[treatment]
PXD013227-190110_Replicate2_52T_20	Homo sapiens	cell culture	1	treated	not available	not available	190110_Replicate2_52T_20	proteomic profiling by mass spectrometry	1	190110_Replicate2_52T_20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ XL ETD;AC=MS:1000638	not available	label free sample	1	treated
PXD013227-180703_Replicate1_62T	Homo sapiens	cell culture	2		not available	not available	180703_Replicate1_62T	proteomic profiling by mass spectrometry	1	180703_Replicate1_62T.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ XL ETD;AC=MS:1000638	not available	label free sample	1	
PXD013227-180703_Replicate1_37T	Homo sapiens	cell culture	3		not available	not available	180703_Replicate1_37T	proteomic profiling by mass spectrometry	1	180703_Replicate1_37T.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ XL ETD;AC=MS:1000638	not available	label free sample	1	
PXD013227-180703_Replicate1_52T	Homo sapiens	cell culture	4		not available	not available	180703_Replicate1_52T	proteomic profiling by mass spectrometry	1	180703_Replicate1_52T.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ XL ETD;AC=MS:1000638	not available	label free sample	1	
PXD013227-180703_Replicate1_52C	Homo sapiens	cell culture	5		not available	not available	180703_Replicate1_52C	proteomic profiling by mass spectrometry	1	180703_Replicate1_52C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ XL ETD;AC=MS:1000638	not available	label free sample	1	
PXD013227-190110_Replicate1_42C_20	Homo sapiens	cell culture	6	control	not available	not available	190110_Replicate1_42C_20	proteomic profiling by mass spectrometry	1	190110_Replicate1_42C_20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ XL ETD;AC=MS:1000638	not available	label free sample	1	control
PXD013227-190110_Replicate2_42T_20	Homo sapiens	cell culture	7	treated	not available	not available	190110_Replicate2_42T_20	proteomic profiling by mass spectrometry	1	190110_Replicate2_42T_20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ XL ETD;AC=MS:1000638	not available	label free sample	1	treated
PXD013227-190110_Replicate2_57T_20	Homo sapiens	cell culture	8	treated	not available	not available	190110_Replicate2_57T_20	proteomic profiling by mass spectrometry	1	190110_Replicate2_57T_20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ XL ETD;AC=MS:1000638	not available	label free sample	1	treated
PXD013227-190117_Replicate2_62T	Homo sapiens	cell culture	9		not available	not available	190117_Replicate2_62T	proteomic profiling by mass spectrometry	1	190117_Replicate2_62T.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ XL ETD;AC=MS:1000638	not available	label free sample	1	
PXD013227-190110_Replicate1_67C_20	Homo sapiens	cell culture	10	control	not available	not available	190110_Replicate1_67C_20	proteomic profiling by mass spectrometry	1	190110_Replicate1_67C_20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ XL ETD;AC=MS:1000638	not available	label free sample	1	control
