source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[submitted acquisition series]
mitoproteome quantification submitted run	Homo sapiens	mitochondrion	1	161012_QE_IA_IK_MM_06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	161012_QE_IA_IK_MM_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	mitoproteome quantification
BioID experiment submitted run	Homo sapiens	mitochondrion	1	181122_FS1_Li_Jelena_07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	181122_FS1_Li_Jelena_07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BioID experiment
mitoproteome quantification submitted run	Homo sapiens	mitochondrion	1	161012_QE_IA_IK_MM_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	2	161012_QE_IA_IK_MM_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	mitoproteome quantification
mitoproteome quantification submitted run	Homo sapiens	mitochondrion	1	161012_QE_IA_IK_MM_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	3	161012_QE_IA_IK_MM_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	mitoproteome quantification
mitoproteome quantification submitted run	Homo sapiens	mitochondrion	1	161012_QE_IA_IK_MM_08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	4	161012_QE_IA_IK_MM_08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	mitoproteome quantification
BioID experiment submitted run	Homo sapiens	mitochondrion	1	181122_FS1_Li_Jelena_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	2	181122_FS1_Li_Jelena_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BioID experiment
mitoproteome quantification submitted run	Homo sapiens	mitochondrion	1	161012_QE_IA_IK_MM_10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	5	161012_QE_IA_IK_MM_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	mitoproteome quantification
BioID experiment submitted run	Homo sapiens	mitochondrion	1	181122_FS1_Li_Jelena_08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	3	181122_FS1_Li_Jelena_08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BioID experiment
BioID experiment submitted run	Homo sapiens	mitochondrion	1	181122_FS1_Li_Jelena_09	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	4	181122_FS1_Li_Jelena_09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BioID experiment
BioID experiment submitted run	Homo sapiens	mitochondrion	1	181122_FS1_Li_Jelena_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	5	181122_FS1_Li_Jelena_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BioID experiment
