source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[cell fraction]
A549 cytosolic fraction submitted sample 23	Homo sapiens	cell culture	A549	23	Sample23_Cytosol__160421_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=dimethyl labeled sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	160421	1	Sample23_Cytosol__160421_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cytosolic fraction
A549 cytosolic fraction submitted sample 21	Homo sapiens	cell culture	A549	21	Sample21_Cytosol__160421_02_160423195821	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=dimethyl labeled sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	160423195821.raw	1	Sample21_Cytosol__160421_02_160423195821.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cytosolic fraction
A549 cytosolic fraction submitted sample 17	Homo sapiens	cell culture	A549	17	Sample17_Cytosol__160421_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=dimethyl labeled sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	160421	1	Sample17_Cytosol__160421_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cytosolic fraction
A549 microsomal fraction submitted sample 18	Homo sapiens	cell culture	A549	18	Sample18_Microsomal_160421_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=dimethyl labeled sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	160421	1	Sample18_Microsomal_160421_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	microsomal fraction
A549 cytosolic fraction submitted sample 24	Homo sapiens	cell culture	A549	24	Sample24_Cytosol__160421_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=dimethyl labeled sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	160421	1	Sample24_Cytosol__160421_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cytosolic fraction
A549 microsomal fraction submitted sample 22	Homo sapiens	cell culture	A549	22	Sample22_Microsomal_160421_01_160428020950	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=dimethyl labeled sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	160428020950.raw	1	Sample22_Microsomal_160421_01_160428020950.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	microsomal fraction
A549 microsomal fraction submitted sample 17	Homo sapiens	cell culture	A549	17	Sample17_Microsomal_160421_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=dimethyl labeled sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	160421	1	Sample17_Microsomal_160421_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	microsomal fraction
A549 cytosolic fraction submitted sample 18	Homo sapiens	cell culture	A549	18	Sample18_Cytosol__160421_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=dimethyl labeled sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	160421	1	Sample18_Cytosol__160421_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cytosolic fraction
A549 cytosolic fraction submitted sample 19	Homo sapiens	cell culture	A549	19	Sample19_Cytosol__160421_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=dimethyl labeled sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	160421	1	Sample19_Cytosol__160421_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cytosolic fraction
A549 cytosolic fraction submitted sample 23	Homo sapiens	cell culture	A549	23	Sample23_Cytosol__160421_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=dimethyl labeled sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	160421	2	Sample23_Cytosol__160421_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cytosolic fraction
A549 cytosolic fraction submitted sample 16	Homo sapiens	cell culture	A549	16	Sample16_Cytosol__160421_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=dimethyl labeled sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	160421	1	Sample16_Cytosol__160421_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cytosolic fraction
A549 microsomal fraction submitted sample 18	Homo sapiens	cell culture	A549	18	Sample18_Microsomal_160421_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=dimethyl labeled sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	160421	2	Sample18_Microsomal_160421_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	microsomal fraction
