source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[sample material]	factor value[experimental condition]
11_Hepatocytes	Homo sapiens	liver	hepatocyte	not available	1	Christine_TPA_180223_LysC_H2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_TPA_180223_LysC_H2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Hepatocytes	donor 11
12_Hepatocytes	Homo sapiens	liver	hepatocyte	not available	2	Christine_TPA_180223_LysC_H7_20180226122740	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_TPA_180223_LysC_H7_20180226122740.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Hepatocytes	donor 12
1_Hepatocytes	Homo sapiens	liver	hepatocyte	not available	15	Christine_TPA_180223_LysC_H12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_TPA_180223_LysC_H12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Hepatocytes	donor 1
7_Hepatocytes	Homo sapiens	liver	hepatocyte	not available	14	Christine_TPA_180223_LysC_H17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_TPA_180223_LysC_H17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Hepatocytes	donor 7
15_Hepatocytes	Homo sapiens	liver	hepatocyte	not available	13	Christine_TPA_180223_LysC_H22	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_TPA_180223_LysC_H22.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Hepatocytes	donor 15
13_Hepatocytes	Homo sapiens	liver	hepatocyte	not available	12	Christine_TPA_180223_LysC_H27	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_TPA_180223_LysC_H27.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Hepatocytes	donor 13
6_Hepatocytes	Homo sapiens	liver	hepatocyte	not available	3	Christine_TPA_180223_LysC_H30	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_TPA_180223_LysC_H30.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Hepatocytes	donor 6
5_Hepatocytes	Homo sapiens	liver	hepatocyte	not available	4	Christine_TPA_180223_LysC_H33	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_TPA_180223_LysC_H33.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Hepatocytes	donor 5
3_Hepatocytes	Homo sapiens	liver	hepatocyte	not available	5	Christine_TPA_180223_LysC_H36	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_TPA_180223_LysC_H36.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Hepatocytes	donor 3
2_Hepatocytes	Homo sapiens	liver	hepatocyte	not available	6	Christine_TPA_180223_LysC_H39	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_TPA_180223_LysC_H39.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Hepatocytes	donor 2
10_Hepatocytes	Homo sapiens	liver	hepatocyte	not available	7	Christine_TPA_180223_LysC_H42	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_TPA_180223_LysC_H42.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Hepatocytes	donor 10
