source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sample type]	characteristics[disease]	characteristics[material type]	characteristics[age]	characteristics[sex]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[expressed construct]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	factor value[expressed construct]
Ctrl replicate 1	Homo sapiens	mammary gland	epithelial cell	1	study sample	breast cancer	cell line	69Y	female	MCF-7	CVCL_0031	MCF-7	GFP-3xFLAG control construct	20170703_LMH_MLU_LC3famIP_Ctrl1	proteomic profiling by mass spectrometry	1	20170703_LMH_MLU_LC3famIP_Ctrl1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	GFP-3xFLAG control construct
Ctrl replicate 2	Homo sapiens	mammary gland	epithelial cell	2	study sample	breast cancer	cell line	69Y	female	MCF-7	CVCL_0031	MCF-7	GFP-3xFLAG control construct	20170703_LMH_MLU_LC3famIP_Ctrl2	proteomic profiling by mass spectrometry	1	20170703_LMH_MLU_LC3famIP_Ctrl2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	GFP-3xFLAG control construct
Ctrl replicate 3	Homo sapiens	mammary gland	epithelial cell	3	study sample	breast cancer	cell line	69Y	female	MCF-7	CVCL_0031	MCF-7	GFP-3xFLAG control construct	20170703_LMH_MLU_LC3famIP_Ctrl3	proteomic profiling by mass spectrometry	1	20170703_LMH_MLU_LC3famIP_Ctrl3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	GFP-3xFLAG control construct
Ctrl replicate 4	Homo sapiens	mammary gland	epithelial cell	4	study sample	breast cancer	cell line	69Y	female	MCF-7	CVCL_0031	MCF-7	GFP-3xFLAG control construct	20170703_LMH_MLU_LC3famIP_Ctrl4	proteomic profiling by mass spectrometry	1	20170703_LMH_MLU_LC3famIP_Ctrl4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	GFP-3xFLAG control construct
GABARAPL2 replicate 1	Homo sapiens	mammary gland	epithelial cell	1	study sample	breast cancer	cell line	69Y	female	MCF-7	CVCL_0031	MCF-7	GFP-tagged GABARAPL2	20170703_LMH_MLU_LC3famIP_GABARAPL2_1	proteomic profiling by mass spectrometry	1	20170703_LMH_MLU_LC3famIP_GABARAPL2_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	GFP-tagged GABARAPL2
GABARAPL2 replicate 2	Homo sapiens	mammary gland	epithelial cell	2	study sample	breast cancer	cell line	69Y	female	MCF-7	CVCL_0031	MCF-7	GFP-tagged GABARAPL2	20170703_LMH_MLU_LC3famIP_GABARAPL2_2	proteomic profiling by mass spectrometry	1	20170703_LMH_MLU_LC3famIP_GABARAPL2_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	GFP-tagged GABARAPL2
GABARAPL2 replicate 3	Homo sapiens	mammary gland	epithelial cell	3	study sample	breast cancer	cell line	69Y	female	MCF-7	CVCL_0031	MCF-7	GFP-tagged GABARAPL2	20170703_LMH_MLU_LC3famIP_GABARAPL2_3	proteomic profiling by mass spectrometry	1	20170703_LMH_MLU_LC3famIP_GABARAPL2_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	GFP-tagged GABARAPL2
GABARAPL2 replicate 4	Homo sapiens	mammary gland	epithelial cell	4	study sample	breast cancer	cell line	69Y	female	MCF-7	CVCL_0031	MCF-7	GFP-tagged GABARAPL2	20170703_LMH_MLU_LC3famIP_GABARAPL2_4	proteomic profiling by mass spectrometry	1	20170703_LMH_MLU_LC3famIP_GABARAPL2_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	GFP-tagged GABARAPL2
GABARAP replicate 1	Homo sapiens	mammary gland	epithelial cell	1	study sample	breast cancer	cell line	69Y	female	MCF-7	CVCL_0031	MCF-7	GFP-tagged GABARAP	20170703_LMH_MLU_LC3famIP_GABARAP_1	proteomic profiling by mass spectrometry	1	20170703_LMH_MLU_LC3famIP_GABARAP_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	GFP-tagged GABARAP
GABARAP replicate 2	Homo sapiens	mammary gland	epithelial cell	2	study sample	breast cancer	cell line	69Y	female	MCF-7	CVCL_0031	MCF-7	GFP-tagged GABARAP	20170703_LMH_MLU_LC3famIP_GABARAP_2	proteomic profiling by mass spectrometry	1	20170703_LMH_MLU_LC3famIP_GABARAP_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	GFP-tagged GABARAP
