source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[submitted TMT set]
A431 TMT set 02 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	5	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 02
A431 TMT set 02 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr19	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	19	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 02
A431 TMT set 01 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr19	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	19	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 01
A431 TMT set 01 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr52	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	52	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr52.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 01
A431 TMT set 01 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	10	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 01
A431 TMT set 02 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	8	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 02
A431 TMT set 02 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr31	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	31	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr31.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 02
A431 TMT set 01 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	17	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 01
A431 TMT set 02 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	12	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 02
A431 TMT set 01 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr53	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	53	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr53.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 01
