source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sample type]	characteristics[disease]	characteristics[material type]	characteristics[age]	characteristics[sex]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[chemical compound]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	factor value[chemical compound]
Sample 1	Homo sapiens	peripheral blood	dendritic cell	1	study sample	acute myeloid leukemia	cell line	29Y	male	MUTZ-3	CVCL_1433	MUTZ-3	Glyphosate	180706__Tim_Sample_1_15k_2um_New_15cmcolumn_80min_01	proteomic profiling by mass spectrometry	1	180706__Tim_Sample_1_15k_2um_New_15cmcolumn_80min_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	Glyphosate
Sample 2	Homo sapiens	peripheral blood	dendritic cell	1	study sample	acute myeloid leukemia	cell line	29Y	male	MUTZ-3	CVCL_1433	MUTZ-3	jablo	180706__Tim_Sample_2_15k_2um_New_15cmcolumn_80min_01	proteomic profiling by mass spectrometry	1	180706__Tim_Sample_2_15k_2um_New_15cmcolumn_80min_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	jablo
Sample 3	Homo sapiens	peripheral blood	dendritic cell	1	study sample	acute myeloid leukemia	cell line	29Y	male	MUTZ-3	CVCL_1433	MUTZ-3	flex	180705__Tim_Sample_3_15k_2um_New_15cmcolumn_80min_01	proteomic profiling by mass spectrometry	1	180705__Tim_Sample_3_15k_2um_New_15cmcolumn_80min_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	flex
Sample 4	Homo sapiens	peripheral blood	dendritic cell	1	study sample	acute myeloid leukemia	cell line	29Y	male	MUTZ-3	CVCL_1433	MUTZ-3	POEA	180705__Tim_Sample_4_15k_2um_New_15cmcolumn_80min_01	proteomic profiling by mass spectrometry	1	180705__Tim_Sample_4_15k_2um_New_15cmcolumn_80min_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	POEA
Sample 5	Homo sapiens	peripheral blood	dendritic cell	1	study sample	acute myeloid leukemia	cell line	29Y	male	MUTZ-3	CVCL_1433	MUTZ-3	PPD	180705__Tim_Sample_5_15k_2um_New_15cmcolumn_80min_01	proteomic profiling by mass spectrometry	1	180705__Tim_Sample_5_15k_2um_New_15cmcolumn_80min_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	PPD
Sample 6	Homo sapiens	peripheral blood	dendritic cell	1	study sample	acute myeloid leukemia	cell line	29Y	male	MUTZ-3	CVCL_1433	MUTZ-3	DMSO	180706__Tim_Sample_6_15k_2um_New_15cmcolumn_80min_01	proteomic profiling by mass spectrometry	1	180706__Tim_Sample_6_15k_2um_New_15cmcolumn_80min_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	DMSO
Sample 7	Homo sapiens	peripheral blood	dendritic cell	1	study sample	acute myeloid leukemia	cell line	29Y	male	MUTZ-3	CVCL_1433	MUTZ-3	Water	180705__Tim_Sample_7_15k_2um_New_15cmcolumn_80min_01	proteomic profiling by mass spectrometry	1	180705__Tim_Sample_7_15k_2um_New_15cmcolumn_80min_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	Water
Sample 8	Homo sapiens	peripheral blood	dendritic cell	2	study sample	acute myeloid leukemia	cell line	29Y	male	MUTZ-3	CVCL_1433	MUTZ-3	Glyphosate	180706__Tim_Sample_8_15k_2um_New_15cmcolumn_80min_01	proteomic profiling by mass spectrometry	1	180706__Tim_Sample_8_15k_2um_New_15cmcolumn_80min_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	Glyphosate
Sample 9	Homo sapiens	peripheral blood	dendritic cell	2	study sample	acute myeloid leukemia	cell line	29Y	male	MUTZ-3	CVCL_1433	MUTZ-3	jablo	180709__Tim_Sample_9_15k_2um_New_15cmcolumn_80min_01	proteomic profiling by mass spectrometry	1	180709__Tim_Sample_9_15k_2um_New_15cmcolumn_80min_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	jablo
Sample 10	Homo sapiens	peripheral blood	dendritic cell	2	study sample	acute myeloid leukemia	cell line	29Y	male	MUTZ-3	CVCL_1433	MUTZ-3	flex	180706__Tim_Sample_10_15k_2um_New_15cmcolumn_80min_01	proteomic profiling by mass spectrometry	1	180706__Tim_Sample_10_15k_2um_New_15cmcolumn_80min_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	flex
