source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[submitted experiment]
GTPBP5 knockout/rescue submitted run	Homo sapiens	cell culture	1	200731_FS1_IA_JR_MC_KO_L_rescue_H_12_rep	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	12	1	200731_FS1_IA_JR_MC_KO_L_rescue_H_12_rep.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	GTPBP5 knockout/rescue
GTPBP5 knockout/rescue submitted run	Homo sapiens	cell culture	1	200731_FS1_IA_JR_MC_KO_H_rescue_L_12_rep	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	12	1	200731_FS1_IA_JR_MC_KO_H_rescue_L_12_rep.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	GTPBP5 knockout/rescue
GTPBP5 knockout/rescue submitted run	Homo sapiens	cell culture	1	200731_FS1_IA_JR_MC_KO_L_rescue_H_13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	13	1	200731_FS1_IA_JR_MC_KO_L_rescue_H_13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	GTPBP5 knockout/rescue
GTPBP5 knockout/rescue submitted run	Homo sapiens	cell culture	1	200731_FS1_IA_JR_MC_KO_L_rescue_H_01_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	02	1	200731_FS1_IA_JR_MC_KO_L_rescue_H_01_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	GTPBP5 knockout/rescue
GTPBP5 knockout/rescue submitted run	Homo sapiens	cell culture	1	200731_FS1_IA_JR_MC_KO_L_rescue_H_07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	07	1	200731_FS1_IA_JR_MC_KO_L_rescue_H_07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	GTPBP5 knockout/rescue
GTPBP5 knockout/rescue submitted run	Homo sapiens	cell culture	1	200731_FS1_IA_JR_MC_KO_H_rescue_L_06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	06	1	200731_FS1_IA_JR_MC_KO_H_rescue_L_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	GTPBP5 knockout/rescue
GTPBP5 knockout/rescue submitted run	Homo sapiens	cell culture	1	200731_FS1_IA_JR_MC_KO_L_rescue_H_12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	12	1	200731_FS1_IA_JR_MC_KO_L_rescue_H_12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	GTPBP5 knockout/rescue
GTPBP5 knockout/rescue submitted run	Homo sapiens	cell culture	1	200731_FS1_IA_JR_MC_KO_H_rescue_L_08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	08	1	200731_FS1_IA_JR_MC_KO_H_rescue_L_08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	GTPBP5 knockout/rescue
GTPBP5 knockout/rescue submitted run	Homo sapiens	cell culture	1	200731_FS1_IA_JR_MC_KO_L_rescue_H_05_rep	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	05	1	200731_FS1_IA_JR_MC_KO_L_rescue_H_05_rep.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	GTPBP5 knockout/rescue
GTPBP5 knockout/rescue submitted run	Homo sapiens	cell culture	1	200731_FS1_IA_JR_MC_KO_L_rescue_H_14_rep	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	14	1	200731_FS1_IA_JR_MC_KO_L_rescue_H_14_rep.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	GTPBP5 knockout/rescue
GTPBP5 knockout/rescue submitted run	Homo sapiens	cell culture	1	200731_FS1_IA_JR_MC_KO_H_rescue_L_13_rep	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	13	1	200731_FS1_IA_JR_MC_KO_H_rescue_L_13_rep.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	GTPBP5 knockout/rescue
GTPBP5 knockout/rescue submitted run	Homo sapiens	cell culture	1	200731_FS1_IA_JR_MC_KO_H_rescue_L_10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	10	1	200731_FS1_IA_JR_MC_KO_H_rescue_L_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	GTPBP5 knockout/rescue
GTPBP5 knockout/rescue submitted run	Homo sapiens	cell culture	1	200731_FS1_IA_JR_MC_KO_H_rescue_L_09_rep	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	09	1	200731_FS1_IA_JR_MC_KO_H_rescue_L_09_rep.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	GTPBP5 knockout/rescue
GTPBP5 knockout/rescue submitted run	Homo sapiens	cell culture	1	200731_FS1_IA_JR_MC_KO_L_rescue_H_06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	06	1	200731_FS1_IA_JR_MC_KO_L_rescue_H_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	GTPBP5 knockout/rescue
