source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[submitted run series]
20200226_PISA_PSC_1-19 submitted run	Homo sapiens	cell culture	1	20200226_PISA_PSC_1-19	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	1	1	20200226_PISA_PSC_1-19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20200226_PISA_PSC_1-19
20200226_PISA_PSC_2-11 submitted run	Homo sapiens	cell culture	1	20200226_PISA_PSC_2-11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	1	1	20200226_PISA_PSC_2-11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20200226_PISA_PSC_2-11
20200226_PISA_PSC_3-11 submitted run	Homo sapiens	cell culture	1	20200226_PISA_PSC_3-11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	1	1	20200226_PISA_PSC_3-11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20200226_PISA_PSC_3-11
20200226_PISA_PSC_2-21 submitted run	Homo sapiens	cell culture	1	20200226_PISA_PSC_2-21	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	1	1	20200226_PISA_PSC_2-21.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20200226_PISA_PSC_2-21
20200226_PISA_PSC_1-6 submitted run	Homo sapiens	cell culture	1	20200226_PISA_PSC_1-6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	1	1	20200226_PISA_PSC_1-6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20200226_PISA_PSC_1-6
20200226_PISA_PSC_2-7 submitted run	Homo sapiens	cell culture	1	20200226_PISA_PSC_2-7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	1	1	20200226_PISA_PSC_2-7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20200226_PISA_PSC_2-7
20200226_PISA_PSC_1-22 submitted run	Homo sapiens	cell culture	1	20200226_PISA_PSC_1-22	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	1	1	20200226_PISA_PSC_1-22.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20200226_PISA_PSC_1-22
20200226_PISA_PSC_3-14 submitted run	Homo sapiens	cell culture	1	20200226_PISA_PSC_3-14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	1	1	20200226_PISA_PSC_3-14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20200226_PISA_PSC_3-14
20200226_PISA_PSC_1-23 submitted run	Homo sapiens	cell culture	1	20200226_PISA_PSC_1-23	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	1	1	20200226_PISA_PSC_1-23.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20200226_PISA_PSC_1-23
20200226_PISA_PSC_1-24 submitted run	Homo sapiens	cell culture	1	20200226_PISA_PSC_1-24	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	1	1	20200226_PISA_PSC_1-24.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20200226_PISA_PSC_1-24
