source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[developmental stage]	characteristics[strain or breed]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]
PXD018805-20150617_04_DHD1_Colon_aBcl9	Mus musculus	colon	1	not available	not available	20150617_04_DHD1_Colon_aBcl9	proteomic profiling by mass spectrometry	1	20150617_04_DHD1_Colon_aBcl9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	not available	label free sample	1
PXD018805-20150617_08_WT_Colon1_2_IgG	Mus musculus	colon	2	not available	not available	20150617_08_WT_Colon1_2_IgG	proteomic profiling by mass spectrometry	1	20150617_08_WT_Colon1_2_IgG.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	not available	label free sample	1
PXD018805-20150617_02_DHD1_Tum_aBcl9	Mus musculus	colon	3	not available	not available	20150617_02_DHD1_Tum_aBcl9	proteomic profiling by mass spectrometry	1	20150617_02_DHD1_Tum_aBcl9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	not available	label free sample	1
PXD018805-20150617_05_Fetuin_1	Mus musculus	colon	4	not available	not available	20150617_05_Fetuin_1	proteomic profiling by mass spectrometry	1	20150617_05_Fetuin_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	not available	label free sample	1
PXD018805-20150617_03_WT_Colon_aBcl9	Mus musculus	colon	5	not available	not available	20150617_03_WT_Colon_aBcl9	proteomic profiling by mass spectrometry	1	20150617_03_WT_Colon_aBcl9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	not available	label free sample	1
PXD018805-20150617_06_WT_Colon1_2_aBcl9	Mus musculus	colon	6	not available	not available	20150617_06_WT_Colon1_2_aBcl9	proteomic profiling by mass spectrometry	1	20150617_06_WT_Colon1_2_aBcl9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	not available	label free sample	1
PXD018805-20150617_10_Fetuin_2	Mus musculus	colon	7	not available	not available	20150617_10_Fetuin_2	proteomic profiling by mass spectrometry	1	20150617_10_Fetuin_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	not available	label free sample	1
PXD018805-20150617_09_DHD1_Colon1_2_IgG	Mus musculus	colon	8	not available	not available	20150617_09_DHD1_Colon1_2_IgG	proteomic profiling by mass spectrometry	1	20150617_09_DHD1_Colon1_2_IgG.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	not available	label free sample	1
PXD018805-20150617_07_DHD1_Colon1_2_aBcl9	Mus musculus	colon	9	not available	not available	20150617_07_DHD1_Colon1_2_aBcl9	proteomic profiling by mass spectrometry	1	20150617_07_DHD1_Colon1_2_aBcl9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	not available	label free sample	1
PXD018805-20150617_01_WT_Tum_aBcl9	Mus musculus	colon	10	not available	not available	20150617_01_WT_Tum_aBcl9	proteomic profiling by mass spectrometry	1	20150617_01_WT_Tum_aBcl9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	not available	label free sample	1
