source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]
CAG replicate 2	Drosophila montana	male reproductive tract	2	CAG_2_LFQ	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	CAG_2_LFQ.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
CAG replicate 1A	Drosophila montana	male reproductive tract	1	CAG_1A_LFQ	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	CAG_1A_LFQ.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
CAG replicate 3	Drosophila montana	male reproductive tract	3	CAG_3_LFQ	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	CAG_3_LFQ.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
VEB replicate 1B	Drosophila montana	male reproductive tract	1	VEB_1B_LFQ	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	VEB_1B_LFQ.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
VAG replicate 2	Drosophila montana	male reproductive tract	2	VAG_2_LFQ	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	VAG_2_LFQ.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
VEB replicate 2	Drosophila montana	male reproductive tract	2	VEB_2_LFQ	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	VEB_2_LFQ.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
CEB replicate 1A	Drosophila montana	male reproductive tract	1	CEB_1A_LFQ	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	CEB_1A_LFQ.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
CEB replicate 3	Drosophila montana	male reproductive tract	3	CEB_3_LFQ	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	CEB_3_LFQ.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
VEB replicate 3	Drosophila montana	male reproductive tract	3	VEB_3_LFQ	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	VEB_3_LFQ.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
VAG replicate 2	Drosophila montana	male reproductive tract	2	VAG_2_LFQ2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	2	VAG_2_LFQ2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
VEB replicate 2	Drosophila montana	male reproductive tract	2	VEB_2_LFQ2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	2	VEB_2_LFQ2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
CAG replicate 2	Drosophila montana	male reproductive tract	2	CAG_2_LFQ2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	2	CAG_2_LFQ2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
VAG replicate 1A	Drosophila montana	male reproductive tract	1	VAG_1A_LFQ	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	VAG_1A_LFQ.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
CAG replicate 1B	Drosophila montana	male reproductive tract	1	CAG_1B_LFQ	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	CAG_1B_LFQ.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
VEB replicate 1A	Drosophila montana	male reproductive tract	1	VEB_1A_LFQ	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	VEB_1A_LFQ.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
VAG replicate 1B	Drosophila montana	male reproductive tract	1	VAG_1B_LFQ	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	VAG_1B_LFQ.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
CEB replicate 1B	Drosophila montana	male reproductive tract	1	CEB_1B_LFQ	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	CEB_1B_LFQ.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
CEB replicate 2	Drosophila montana	male reproductive tract	2	CEB_2_LFQ	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	CEB_2_LFQ.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
VAG replicate 3	Drosophila montana	male reproductive tract	3	VAG_3_LFQ	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	VAG_3_LFQ.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
CEB replicate 2	Drosophila montana	male reproductive tract	2	CEB_2_LFQ2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	2	CEB_2_LFQ2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
