source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[disease]	characteristics[treatment]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	factor value[phenotype]
PXD020218-Ab-D2	Acinetobacter baumannii	bacterial protein	1	not available	colistin dependent	Ab-D2	proteomic profiling by mass spectrometry	1	Ab-D2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	1	10 ppm	0.50 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	colistin dependent
PXD020218-Ab-S10	Acinetobacter baumannii	bacterial protein	2	not available	colistin susceptible	Ab-S10	proteomic profiling by mass spectrometry	1	Ab-S10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	1	10 ppm	0.50 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	colistin susceptible
PXD020218-Ab-S1	Acinetobacter baumannii	bacterial protein	3	not available	colistin susceptible	Ab-S1	proteomic profiling by mass spectrometry	1	Ab-S1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	1	10 ppm	0.50 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	colistin susceptible
PXD020218-Ab-S6	Acinetobacter baumannii	bacterial protein	4	not available	colistin susceptible	Ab-S6	proteomic profiling by mass spectrometry	1	Ab-S6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	1	10 ppm	0.50 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	colistin susceptible
PXD020218-Ab-D10	Acinetobacter baumannii	bacterial protein	5	not available	colistin dependent	Ab-D10	proteomic profiling by mass spectrometry	1	Ab-D10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	1	10 ppm	0.50 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	colistin dependent
PXD020218-Ab-D3	Acinetobacter baumannii	bacterial protein	6	not available	colistin dependent	Ab-D3	proteomic profiling by mass spectrometry	1	Ab-D3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	1	10 ppm	0.50 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	colistin dependent
PXD020218-Ab-S7	Acinetobacter baumannii	bacterial protein	7	not available	colistin susceptible	Ab-S7	proteomic profiling by mass spectrometry	1	Ab-S7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	1	10 ppm	0.50 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	colistin susceptible
PXD020218-Ab-S8	Acinetobacter baumannii	bacterial protein	8	not available	colistin susceptible	Ab-S8	proteomic profiling by mass spectrometry	1	Ab-S8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	1	10 ppm	0.50 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	colistin susceptible
PXD020218-Ab-D9	Acinetobacter baumannii	bacterial protein	9	not available	colistin dependent	Ab-D9	proteomic profiling by mass spectrometry	1	Ab-D9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	1	10 ppm	0.50 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	colistin dependent
PXD020218-Ab-D11	Acinetobacter baumannii	bacterial protein	10	not available	colistin dependent	Ab-D11	proteomic profiling by mass spectrometry	1	Ab-D11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	1	10 ppm	0.50 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	colistin dependent
PXD020218-Ab-D7	Acinetobacter baumannii	bacterial protein	11	not available	colistin dependent	Ab-D7	proteomic profiling by mass spectrometry	1	Ab-D7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	1	10 ppm	0.50 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	colistin dependent
PXD020218-Ab-D4	Acinetobacter baumannii	bacterial protein	12	not available	colistin dependent	Ab-D4	proteomic profiling by mass spectrometry	1	Ab-D4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	1	10 ppm	0.50 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	colistin dependent
PXD020218-Ab-S2	Acinetobacter baumannii	bacterial protein	13	not available	colistin susceptible	Ab-S2	proteomic profiling by mass spectrometry	1	Ab-S2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	1	10 ppm	0.50 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	colistin susceptible
PXD020218-Ab-D5	Acinetobacter baumannii	bacterial protein	14	not available	colistin dependent	Ab-D5	proteomic profiling by mass spectrometry	1	Ab-D5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	1	10 ppm	0.50 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	colistin dependent
