source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[sample material]	factor value[treatment]	factor value[tissue type]
C14s	Mus musculus	Ileum	not applicable	1	Christine_IBDmouse_191115_T_AA22	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_T_AA22.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Untreated	Ileum
NP3Rs	Mus musculus	Ileum	not applicable	2	Christine_IBDmouse_191115_L_AA43	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_L_AA43.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Treated	Ileum
C8a	Mus musculus	Distal Colon	not applicable	3	Christine_IBDmouse_191115_L_AA5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_L_AA5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Untreated	Distal Colon
C11s	Mus musculus	Ileum	not applicable	4	Christine_IBDmouse_191115_L_AA13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_L_AA13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Untreated	Ileum
Caco2_S5	Homo sapiens	cell culture	Caco-2	5	200529_CW_IBDCaco2_S5_T	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	200529_CW_IBDCaco2_S5_T.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cell culture	Untreated	not applicable
C11a	Mus musculus	Distal Colon	not applicable	6	Christine_IBDmouse_191115_T_AA14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_T_AA14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Untreated	Distal Colon
C14a	Mus musculus	Distal Colon	not applicable	7	Christine_IBDmouse_191115_T_AA23	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_T_AA23.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Untreated	Distal Colon
C11b	Mus musculus	Proximal Colon	not applicable	8	Christine_IBDmouse_191115_T_AA15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_T_AA15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Untreated	Proximal Colon
C7b	Mus musculus	Proximal Colon	not applicable	9	Christine_IBDmouse_191115_T_AA3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_T_AA3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Untreated	Proximal Colon
NP1Ba	Mus musculus	Distal Colon	not applicable	10	Christine_IBDmouse_191115_T_AA32	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_T_AA32.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Treated	Distal Colon
