source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[material type]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[sampling site]	characteristics[passage number]	characteristics[culture medium]	characteristics[sample storage temperature]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	factor value[organism part]	factor value[oxygenation]
Renca_EV_pair1_normoxia	Mus musculus	extracellular vesicle	not available	1	renal cell carcinoma	cell line	not available	BALB/c	male	RenCa	CVCL_2174	RenCa	kidney	not available	Dulbecco's Modified Eagle Medium	not available	lumos200928_5_2085-1	proteomic profiling by mass spectrometry	1	lumos200928_5_2085-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	extracellular vesicle	normoxia
Renca_EV_pair1_normoxia	Mus musculus	extracellular vesicle	not available	1	renal cell carcinoma	cell line	not available	BALB/c	male	RenCa	CVCL_2174	RenCa	kidney	not available	Dulbecco's Modified Eagle Medium	not available	lumos200928-39_2085-1	proteomic profiling by mass spectrometry	2	lumos200928-39_2085-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	extracellular vesicle	normoxia
Renca_EV_pair1_hypoxia	Mus musculus	extracellular vesicle	not available	1	renal cell carcinoma	cell line	not available	BALB/c	male	RenCa	CVCL_2174	RenCa	kidney	not available	Dulbecco's Modified Eagle Medium	not available	lumos200928-9_2085-2	proteomic profiling by mass spectrometry	1	lumos200928-9_2085-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	extracellular vesicle	hypoxia
Renca_EV_pair1_hypoxia	Mus musculus	extracellular vesicle	not available	1	renal cell carcinoma	cell line	not available	BALB/c	male	RenCa	CVCL_2174	RenCa	kidney	not available	Dulbecco's Modified Eagle Medium	not available	lumos200928-43_2085-2	proteomic profiling by mass spectrometry	2	lumos200928-43_2085-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	extracellular vesicle	hypoxia
Renca_EV_pair2_normoxia	Mus musculus	extracellular vesicle	not available	2	renal cell carcinoma	cell line	not available	BALB/c	male	RenCa	CVCL_2174	RenCa	kidney	not available	Dulbecco's Modified Eagle Medium	not available	lumos200928-7_2085-3	proteomic profiling by mass spectrometry	1	lumos200928-7_2085-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	extracellular vesicle	normoxia
Renca_EV_pair2_normoxia	Mus musculus	extracellular vesicle	not available	2	renal cell carcinoma	cell line	not available	BALB/c	male	RenCa	CVCL_2174	RenCa	kidney	not available	Dulbecco's Modified Eagle Medium	not available	lumos200928-75_2085-3	proteomic profiling by mass spectrometry	2	lumos200928-75_2085-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	extracellular vesicle	normoxia
Renca_EV_pair2_hypoxia	Mus musculus	extracellular vesicle	not available	2	renal cell carcinoma	cell line	not available	BALB/c	male	RenCa	CVCL_2174	RenCa	kidney	not available	Dulbecco's Modified Eagle Medium	not available	lumos200928-11_2085-4	proteomic profiling by mass spectrometry	1	lumos200928-11_2085-4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	extracellular vesicle	hypoxia
Renca_EV_pair2_hypoxia	Mus musculus	extracellular vesicle	not available	2	renal cell carcinoma	cell line	not available	BALB/c	male	RenCa	CVCL_2174	RenCa	kidney	not available	Dulbecco's Modified Eagle Medium	not available	lumos200928-45_2085-4	proteomic profiling by mass spectrometry	2	lumos200928-45_2085-4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	extracellular vesicle	hypoxia
Renca_EV_pair3_normoxia	Mus musculus	extracellular vesicle	not available	3	renal cell carcinoma	cell line	not available	BALB/c	male	RenCa	CVCL_2174	RenCa	kidney	not available	Dulbecco's Modified Eagle Medium	not available	lumos200928-27_2085-5_20200930130911	proteomic profiling by mass spectrometry	1	lumos200928-27_2085-5_20200930130911.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	extracellular vesicle	normoxia
Renca_EV_pair3_normoxia	Mus musculus	extracellular vesicle	not available	3	renal cell carcinoma	cell line	not available	BALB/c	male	RenCa	CVCL_2174	RenCa	kidney	not available	Dulbecco's Modified Eagle Medium	not available	lumos200928-61_2085-5	proteomic profiling by mass spectrometry	2	lumos200928-61_2085-5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	extracellular vesicle	normoxia
