source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20200623_MB_MWN_RosaRUC_01.pdResult	20200623_MB_MWN_RosaRUC_01.pdResult	Homo sapiens	Saliva	not applicable	not available	Mesenchymal_treatment_of_the_salivary_glands_upregulates_proteins_with_regenerative_potential_in_irradiated_patients	Saliva	Saliva	not available	not available	not available	not available	1	20200623_MB_MWN_RosaRUC_01.pdResult	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20200623_MB_MWN_RosaRUC_01.pdResult	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Saliva
20200623_MB_MWN_RosaRUC_1ug_01	20200623_MB_MWN_RosaRUC_1ug_01	Homo sapiens	Saliva	not applicable	not available	Mesenchymal_treatment_of_the_salivary_glands_upregulates_proteins_with_regenerative_potential_in_irradiated_patients	Saliva	Saliva	not available	not available	not available	not available	1	20200623_MB_MWN_RosaRUC_1ug_01	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20200623_MB_MWN_RosaRUC_1ug_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Saliva
20200623_MB_MWN_RosaRUC_1ug_02	20200623_MB_MWN_RosaRUC_1ug_02	Homo sapiens	Saliva	not applicable	not available	Mesenchymal_treatment_of_the_salivary_glands_upregulates_proteins_with_regenerative_potential_in_irradiated_patients	Saliva	Saliva	not available	not available	not available	not available	1	20200623_MB_MWN_RosaRUC_1ug_02	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20200623_MB_MWN_RosaRUC_1ug_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Saliva
20200623_MB_MWN_RosaRUC_1ug_03	20200623_MB_MWN_RosaRUC_1ug_03	Homo sapiens	Saliva	not applicable	not available	Mesenchymal_treatment_of_the_salivary_glands_upregulates_proteins_with_regenerative_potential_in_irradiated_patients	Saliva	Saliva	not available	not available	not available	not available	1	20200623_MB_MWN_RosaRUC_1ug_03	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20200623_MB_MWN_RosaRUC_1ug_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Saliva
20200623_MB_MWN_RosaRUC_1ug_04	20200623_MB_MWN_RosaRUC_1ug_04	Homo sapiens	Saliva	not applicable	not available	Mesenchymal_treatment_of_the_salivary_glands_upregulates_proteins_with_regenerative_potential_in_irradiated_patients	Saliva	Saliva	not available	not available	not available	not available	1	20200623_MB_MWN_RosaRUC_1ug_04	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20200623_MB_MWN_RosaRUC_1ug_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Saliva
20200623_MB_MWN_RosaRUC_1ug_05	20200623_MB_MWN_RosaRUC_1ug_05	Homo sapiens	Saliva	not applicable	not available	Mesenchymal_treatment_of_the_salivary_glands_upregulates_proteins_with_regenerative_potential_in_irradiated_patients	Saliva	Saliva	not available	not available	not available	not available	1	20200623_MB_MWN_RosaRUC_1ug_05	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20200623_MB_MWN_RosaRUC_1ug_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Saliva
20200623_MB_MWN_RosaRUC_1ug_06	20200623_MB_MWN_RosaRUC_1ug_06	Homo sapiens	Saliva	not applicable	not available	Mesenchymal_treatment_of_the_salivary_glands_upregulates_proteins_with_regenerative_potential_in_irradiated_patients	Saliva	Saliva	not available	not available	not available	not available	1	20200623_MB_MWN_RosaRUC_1ug_06	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20200623_MB_MWN_RosaRUC_1ug_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Saliva
20200623_MB_MWN_RosaRUC_1ug_07	20200623_MB_MWN_RosaRUC_1ug_07	Homo sapiens	Saliva	not applicable	not available	Mesenchymal_treatment_of_the_salivary_glands_upregulates_proteins_with_regenerative_potential_in_irradiated_patients	Saliva	Saliva	not available	not available	not available	not available	1	20200623_MB_MWN_RosaRUC_1ug_07	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20200623_MB_MWN_RosaRUC_1ug_07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Saliva
20200623_MB_MWN_RosaRUC_1ug_08	20200623_MB_MWN_RosaRUC_1ug_08	Homo sapiens	Saliva	not applicable	not available	Mesenchymal_treatment_of_the_salivary_glands_upregulates_proteins_with_regenerative_potential_in_irradiated_patients	Saliva	Saliva	not available	not available	not available	not available	1	20200623_MB_MWN_RosaRUC_1ug_08	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20200623_MB_MWN_RosaRUC_1ug_08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Saliva
20200623_MB_MWN_RosaRUC_1ug_09	20200623_MB_MWN_RosaRUC_1ug_09	Homo sapiens	Saliva	not applicable	not available	Mesenchymal_treatment_of_the_salivary_glands_upregulates_proteins_with_regenerative_potential_in_irradiated_patients	Saliva	Saliva	not available	not available	not available	not available	1	20200623_MB_MWN_RosaRUC_1ug_09	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20200623_MB_MWN_RosaRUC_1ug_09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Saliva
