source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[pooled sample]	characteristics[disease]	characteristics[material type]	characteristics[treatment]	characteristics[enrichment process]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[passage number]	characteristics[culture medium]	characteristics[sample storage temperature]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms1 scan range]	factor value[antibody]	factor value[treatment]
VCaP_IgG_R3_light	Homo sapiens	prostate	not available	3	not pooled	prostate carcinoma	cell line	ethanol	chromatin immunoprecipitation	not available	59Y	male	adult	VCaP	CVCL_2235	VCaP	not available	not available	not available	20180211_FS1_GS-EN_VCaP_ML_IgG_R3-SILAC light	proteomic profiling by mass spectrometry	1	20180211_FS1_GS-EN_VCaP_ML_IgG_R3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	SILAC light	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	33%	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	375m/z-1500m/z	IgG	ethanol
VCaP_IgG_R3_heavy	Homo sapiens	prostate	not available	3	not pooled	prostate carcinoma	cell line	R1881	chromatin immunoprecipitation	not available	59Y	male	adult	VCaP	CVCL_2235	VCaP	not available	not available	not available	20180211_FS1_GS-EN_VCaP_ML_IgG_R3-SILAC heavy	proteomic profiling by mass spectrometry	1	20180211_FS1_GS-EN_VCaP_ML_IgG_R3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	SILAC heavy	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	33%	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	375m/z-1500m/z	IgG	R1881
VCaP_AR_R1_light	Homo sapiens	prostate	not available	1	not pooled	prostate carcinoma	cell line	ethanol	chromatin immunoprecipitation	not available	59Y	male	adult	VCaP	CVCL_2235	VCaP	not available	not available	not available	20180211_FS1_GS-EN_VCaP_ML_AR_R1-SILAC light	proteomic profiling by mass spectrometry	1	20180211_FS1_GS-EN_VCaP_ML_AR_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	SILAC light	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	33%	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	375m/z-1500m/z	AR	ethanol
VCaP_AR_R1_heavy	Homo sapiens	prostate	not available	1	not pooled	prostate carcinoma	cell line	R1881	chromatin immunoprecipitation	not available	59Y	male	adult	VCaP	CVCL_2235	VCaP	not available	not available	not available	20180211_FS1_GS-EN_VCaP_ML_AR_R1-SILAC heavy	proteomic profiling by mass spectrometry	1	20180211_FS1_GS-EN_VCaP_ML_AR_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	SILAC heavy	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	33%	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	375m/z-1500m/z	AR	R1881
VCaP_IgG_R2_light	Homo sapiens	prostate	not available	2	not pooled	prostate carcinoma	cell line	ethanol	chromatin immunoprecipitation	not available	59Y	male	adult	VCaP	CVCL_2235	VCaP	not available	not available	not available	20180211_FS1_GS-EN_VCaP_ML_IgG_R2-SILAC light	proteomic profiling by mass spectrometry	1	20180211_FS1_GS-EN_VCaP_ML_IgG_R2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	SILAC light	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	33%	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	375m/z-1500m/z	IgG	ethanol
VCaP_IgG_R2_heavy	Homo sapiens	prostate	not available	2	not pooled	prostate carcinoma	cell line	R1881	chromatin immunoprecipitation	not available	59Y	male	adult	VCaP	CVCL_2235	VCaP	not available	not available	not available	20180211_FS1_GS-EN_VCaP_ML_IgG_R2-SILAC heavy	proteomic profiling by mass spectrometry	1	20180211_FS1_GS-EN_VCaP_ML_IgG_R2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	SILAC heavy	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	33%	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	375m/z-1500m/z	IgG	R1881
VCaP_AR_R3_light	Homo sapiens	prostate	not available	3	not pooled	prostate carcinoma	cell line	ethanol	chromatin immunoprecipitation	not available	59Y	male	adult	VCaP	CVCL_2235	VCaP	not available	not available	not available	20180211_FS1_GS-EN_VCaP_ML_AR_R3-SILAC light	proteomic profiling by mass spectrometry	1	20180211_FS1_GS-EN_VCaP_ML_AR_R3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	SILAC light	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	33%	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	375m/z-1500m/z	AR	ethanol
VCaP_AR_R3_heavy	Homo sapiens	prostate	not available	3	not pooled	prostate carcinoma	cell line	R1881	chromatin immunoprecipitation	not available	59Y	male	adult	VCaP	CVCL_2235	VCaP	not available	not available	not available	20180211_FS1_GS-EN_VCaP_ML_AR_R3-SILAC heavy	proteomic profiling by mass spectrometry	1	20180211_FS1_GS-EN_VCaP_ML_AR_R3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	SILAC heavy	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	33%	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	375m/z-1500m/z	AR	R1881
VCaP_AR_R2_light	Homo sapiens	prostate	not available	2	not pooled	prostate carcinoma	cell line	ethanol	chromatin immunoprecipitation	not available	59Y	male	adult	VCaP	CVCL_2235	VCaP	not available	not available	not available	20180211_FS1_GS-EN_VCaP_ML_AR_R2-SILAC light	proteomic profiling by mass spectrometry	1	20180211_FS1_GS-EN_VCaP_ML_AR_R2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	SILAC light	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	33%	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	375m/z-1500m/z	AR	ethanol
VCaP_AR_R2_heavy	Homo sapiens	prostate	not available	2	not pooled	prostate carcinoma	cell line	R1881	chromatin immunoprecipitation	not available	59Y	male	adult	VCaP	CVCL_2235	VCaP	not available	not available	not available	20180211_FS1_GS-EN_VCaP_ML_AR_R2-SILAC heavy	proteomic profiling by mass spectrometry	1	20180211_FS1_GS-EN_VCaP_ML_AR_R2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	SILAC heavy	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	33%	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	375m/z-1500m/z	AR	R1881
