source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[pooled sample]	characteristics[disease]	characteristics[age]	characteristics[sex]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]
ESC399_ESC349	homo sapiens	uterine endometrium	stromal cell of endometrium	pooled	pooled	not available	not available	female	ESC399_ESC349_fullproteome	proteomic profiling by mass spectrometry	1	190312_03_Orbi2_SK_SER_G240_T275_Biomedicum_Lav6gina_ESC399_ESC349.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=Protein N-term;MT=Variable
ESC399_ESC349	homo sapiens	uterine endometrium	stromal cell of endometrium	pooled	pooled	not available	not available	female	ESC399_ESC349_phosphoproteome	proteomic profiling by mass spectrometry	1	190320_03_Orbi2_SK_SER_G60_T93_TTAK_Lav6gina_ESC349_ESC399_Easyphos.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=Protein N-term;MT=Variable
ESC404_ESC376	homo sapiens	uterine endometrium	stromal cell of endometrium	pooled	pooled	not available	not available	female	ESC404_ESC376_fullproteome	proteomic profiling by mass spectrometry	1	190312_05_Orbi2_SK_SER_G240_T275_Biomedicum_Lav6gina_ESC404_ESC376.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=Protein N-term;MT=Variable
ESC404_ESC376	homo sapiens	uterine endometrium	stromal cell of endometrium	pooled	pooled	not available	not available	female	ESC404_ESC376_phosphoproteome	proteomic profiling by mass spectrometry	1	190320_05_Orbi2_SK_SER_G60_T93_TTAK_Lav6gina_ESC404_ESC376_Easyphos.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=Protein N-term;MT=Variable
ESC290	homo sapiens	uterine endometrium	stromal cell of endometrium	3	not pooled	not available	not available	female	ESC290_fullproteome	proteomic profiling by mass spectrometry	1	190510_03_Orbi2_KN_SER_G240_T275_Biomedicum_Lav6gina_ESC290_2ug.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=Protein N-term;MT=Variable
ESC290	homo sapiens	uterine endometrium	stromal cell of endometrium	3	not pooled	not available	not available	female	ESC290_phosphoproteome	proteomic profiling by mass spectrometry	1	190514_08_Orbi2_KN_SER_G60_T93_Biomedicum_Lav6gina_ESC290_Easyphos.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=Protein N-term;MT=Variable
ESC296	homo sapiens	uterine endometrium	stromal cell of endometrium	4	not pooled	not available	not available	female	ESC296_fullproteome	proteomic profiling by mass spectrometry	1	190510_05_Orbi2_KN_SER_G240_T275_Biomedicum_Lav6gina_ESC296_2ug.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=Protein N-term;MT=Variable
ESC296	homo sapiens	uterine endometrium	stromal cell of endometrium	4	not pooled	not available	not available	female	ESC296_phosphoproteome	proteomic profiling by mass spectrometry	1	190514_10_Orbi2_KN_SER_G60_T93_Biomedicum_Lav6gina_ESC296_Easyphos.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=Protein N-term;MT=Variable
ESC482	homo sapiens	uterine endometrium	stromal cell of endometrium	5	not pooled	not available	not available	female	ESC482_fullproteome	proteomic profiling by mass spectrometry	1	210312_03_Orbi2_KN_SER_G240_T275_Biomedicum_Lav6gina_ESC482_2ug.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=Protein N-term;MT=Variable
ESC482	homo sapiens	uterine endometrium	stromal cell of endometrium	5	not pooled	not available	not available	female	ESC482_phosphoproteome	proteomic profiling by mass spectrometry	1	210312_07_Orbi2_KN_SER_G60_T93_Biomedicum_Lav6gina_ESC482_Easyphos.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=Protein N-term;MT=Variable
ESC485	homo sapiens	uterine endometrium	stromal cell of endometrium	6	not pooled	not available	not available	female	ESC485_fullproteome	proteomic profiling by mass spectrometry	1	210312_05_Orbi2_KN_SER_G240_T275_Biomedicum_Lav6gina_ESC485_2ug.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=Protein N-term;MT=Variable
