source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	characteristics[genotype]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	factor value[genotype]
PXD026424-Male_KO_19	Mus musculus	submandibular gland	1	not available	not available	129SV	male	ERdj5 knockout	Male_KO_19	proteomic profiling by mass spectrometry	1	Male_KO_19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	1	ERdj5 knockout
PXD026424-Male_WT_32B	Mus musculus	submandibular gland	2	not available	not available	129SV	male	wild type	Male_WT_32B	proteomic profiling by mass spectrometry	1	Male_WT_32B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	1	wild type
PXD026424-Female_WT_17	Mus musculus	submandibular gland	3	not available	not available	129SV	female	wild type	Female_WT_17	proteomic profiling by mass spectrometry	1	Female_WT_17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	1	wild type
PXD026424-Male_WT_31B	Mus musculus	submandibular gland	4	not available	not available	129SV	male	wild type	Male_WT_31B	proteomic profiling by mass spectrometry	1	Male_WT_31B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	1	wild type
PXD026424-Female_WT_18	Mus musculus	submandibular gland	5	not available	not available	129SV	female	wild type	Female_WT_18	proteomic profiling by mass spectrometry	1	Female_WT_18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	1	wild type
PXD026424-Male_KO_39B	Mus musculus	submandibular gland	6	not available	not available	129SV	male	ERdj5 knockout	Male_KO_39B	proteomic profiling by mass spectrometry	1	Male_KO_39B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	1	ERdj5 knockout
PXD026424-Female_KO_40B	Mus musculus	submandibular gland	7	not available	not available	129SV	female	ERdj5 knockout	Female_KO_40B	proteomic profiling by mass spectrometry	1	Female_KO_40B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	1	ERdj5 knockout
PXD026424-Female_KO_23	Mus musculus	submandibular gland	8	not available	not available	129SV	female	ERdj5 knockout	Female_KO_23	proteomic profiling by mass spectrometry	1	Female_KO_23.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	1	ERdj5 knockout
PXD026424-Female_WT_35B	Mus musculus	submandibular gland	9	not available	not available	129SV	female	wild type	Female_WT_35B	proteomic profiling by mass spectrometry	1	Female_WT_35B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	1	wild type
PXD026424-Female_KO_24	Mus musculus	submandibular gland	10	not available	not available	129SV	female	ERdj5 knockout	Female_KO_24	proteomic profiling by mass spectrometry	1	Female_KO_24.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	1	ERdj5 knockout
PXD026424-Male_KO_38B	Mus musculus	submandibular gland	11	not available	not available	129SV	male	ERdj5 knockout	Male_KO_38B	proteomic profiling by mass spectrometry	1	Male_KO_38B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	1	ERdj5 knockout
PXD026424-Female_WT_34B	Mus musculus	submandibular gland	12	not available	not available	129SV	female	wild type	Female_WT_34B	proteomic profiling by mass spectrometry	1	Female_WT_34B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	1	wild type
PXD026424-Female_WT_36B	Mus musculus	submandibular gland	13	not available	not available	129SV	female	wild type	Female_WT_36B	proteomic profiling by mass spectrometry	1	Female_WT_36B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	1	wild type
PXD026424-Male_KO_21	Mus musculus	submandibular gland	14	not available	not available	129SV	male	ERdj5 knockout	Male_KO_21	proteomic profiling by mass spectrometry	1	Male_KO_21.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	1	ERdj5 knockout
PXD026424-Male_WT_33B	Mus musculus	submandibular gland	15	not available	not available	129SV	male	wild type	Male_WT_33B	proteomic profiling by mass spectrometry	1	Male_WT_33B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	1	wild type
PXD026424-Male_WT_14	Mus musculus	submandibular gland	16	not available	not available	129SV	male	wild type	Male_WT_14	proteomic profiling by mass spectrometry	1	Male_WT_14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	1	wild type
PXD026424-Male_WT_15	Mus musculus	submandibular gland	17	not available	not available	129SV	male	wild type	Male_WT_15	proteomic profiling by mass spectrometry	1	Male_WT_15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	1	wild type
PXD026424-Female_KO_41B	Mus musculus	submandibular gland	18	not available	not available	129SV	female	ERdj5 knockout	Female_KO_41B	proteomic profiling by mass spectrometry	1	Female_KO_41B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	1	ERdj5 knockout
PXD026424-Male_KO_20	Mus musculus	submandibular gland	19	not available	not available	129SV	male	ERdj5 knockout	Male_KO_20	proteomic profiling by mass spectrometry	1	Male_KO_20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	1	ERdj5 knockout
PXD026424-Female_WT_16	Mus musculus	submandibular gland	20	not available	not available	129SV	female	wild type	Female_WT_16	proteomic profiling by mass spectrometry	1	Female_WT_16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	1	wild type
PXD026424-Male_WT_13	Mus musculus	submandibular gland	21	not available	not available	129SV	male	wild type	Male_WT_13	proteomic profiling by mass spectrometry	1	Male_WT_13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	1	wild type
PXD026424-Male_KO_37B	Mus musculus	submandibular gland	22	not available	not available	129SV	male	ERdj5 knockout	Male_KO_37B	proteomic profiling by mass spectrometry	1	Male_KO_37B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	1	ERdj5 knockout
PXD026424-Female_KO_22	Mus musculus	submandibular gland	23	not available	not available	129SV	female	ERdj5 knockout	Female_KO_22	proteomic profiling by mass spectrometry	1	Female_KO_22.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	1	ERdj5 knockout
