source name	characteristics[organism]	characteristics[organism part]	characteristics[genotype]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[brain region]	factor value[genotype]
20210310_HW1_002	Mus musculus	brain	wild type	1	20210310_HW1_002	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210310_HW1_002.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	hippocampus	wild type
20210311_HA1_001	Mus musculus	brain	APPswe transgenic	1	20210311_HA1_001	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210311_HA1_001.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	hippocampus	APPswe transgenic
20210311_HA2_001	Mus musculus	brain	APPswe transgenic	2	20210311_HA2_001	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210311_HA2_001.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	hippocampus	APPswe transgenic
20210311_HA3_001	Mus musculus	brain	APPswe transgenic	3	20210311_HA3_001	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210311_HA3_001.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	hippocampus	APPswe transgenic
20210311_HA4_001	Mus musculus	brain	APPswe transgenic	4	20210311_HA4_001	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210311_HA4_001.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	hippocampus	APPswe transgenic
20210311_HW2_001	Mus musculus	brain	wild type	2	20210311_HW2_001	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210311_HW2_001.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	hippocampus	wild type
20210311_HW3_001	Mus musculus	brain	wild type	3	20210311_HW3_001	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210311_HW3_001.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	hippocampus	wild type
20210311_HW4_001	Mus musculus	brain	wild type	4	20210311_HW4_001	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210311_HW4_001.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	hippocampus	wild type
20210311_HW5_001	Mus musculus	brain	wild type	5	20210311_HW5_001	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210311_HW5_001.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	hippocampus	wild type
20210311_RA1_001	Mus musculus	brain	APPswe transgenic	1	20210311_RA1_001	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210311_RA1_001.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	rest of cerebrum	APPswe transgenic
20210311_RA2_001	Mus musculus	brain	APPswe transgenic	2	20210311_RA2_001	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210311_RA2_001.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	rest of cerebrum	APPswe transgenic
20210311_RA3_001	Mus musculus	brain	APPswe transgenic	3	20210311_RA3_001	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210311_RA3_001.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	rest of cerebrum	APPswe transgenic
20210311_RA4_001	Mus musculus	brain	APPswe transgenic	4	20210311_RA4_001	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210311_RA4_001.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	rest of cerebrum	APPswe transgenic
