source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[disease]	characteristics[developmental stage]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	factor value[DNA substrate]	factor value[reaction time]
ssDNA-replication-10A	Xenopus laevis	egg	2	not applicable	not available	20171215_OR14_Ag3_post0113_SA_puck_40pr_10A	proteomic profiling by mass spectrometry	1	20171215_OR14_Ag3_post0113_SA_puck_40pr_10A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	7 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	control	50 min
ssDNA-replication-10B	Xenopus laevis	egg	2	not applicable	not available	20171215_OR14_Ag3_post0113_SA_puck_40pr_10B	proteomic profiling by mass spectrometry	1	20171215_OR14_Ag3_post0113_SA_puck_40pr_10B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	7 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	G4	50 min
ssDNA-replication-11A	Xenopus laevis	egg	3	not applicable	not available	20171215_OR14_Ag3_post0113_SA_puck_40pr_11A	proteomic profiling by mass spectrometry	1	20171215_OR14_Ag3_post0113_SA_puck_40pr_11A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	7 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	control	50 min
ssDNA-replication-11B	Xenopus laevis	egg	3	not applicable	not available	20171215_OR14_Ag3_post0113_SA_puck_40pr_11B	proteomic profiling by mass spectrometry	1	20171215_OR14_Ag3_post0113_SA_puck_40pr_11B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	7 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	G4	50 min
ssDNA-replication-12A	Xenopus laevis	egg	4	not applicable	not available	20171215_OR14_Ag3_post0113_SA_puck_40pr_12A	proteomic profiling by mass spectrometry	1	20171215_OR14_Ag3_post0113_SA_puck_40pr_12A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	7 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	control	50 min
ssDNA-replication-12B	Xenopus laevis	egg	4	not applicable	not available	20171215_OR14_Ag3_post0113_SA_puck_40pr_12B	proteomic profiling by mass spectrometry	1	20171215_OR14_Ag3_post0113_SA_puck_40pr_12B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	7 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	G4	50 min
ssDNA-replication-13A	Xenopus laevis	egg	1	not applicable	not available	20171215_OR14_Ag3_post0113_SA_puck_40pr_13A	proteomic profiling by mass spectrometry	1	20171215_OR14_Ag3_post0113_SA_puck_40pr_13A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	7 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	control	15 min
ssDNA-replication-13B	Xenopus laevis	egg	1	not applicable	not available	20171215_OR14_Ag3_post0113_SA_puck_40pr_13B	proteomic profiling by mass spectrometry	1	20171215_OR14_Ag3_post0113_SA_puck_40pr_13B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	7 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	G4	15 min
ssDNA-replication-14A	Xenopus laevis	egg	2	not applicable	not available	20171215_OR14_Ag3_post0113_SA_puck_40pr_14A	proteomic profiling by mass spectrometry	1	20171215_OR14_Ag3_post0113_SA_puck_40pr_14A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	7 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	control	15 min
ssDNA-replication-14B	Xenopus laevis	egg	2	not applicable	not available	20171215_OR14_Ag3_post0113_SA_puck_40pr_14B	proteomic profiling by mass spectrometry	1	20171215_OR14_Ag3_post0113_SA_puck_40pr_14B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	7 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	G4	15 min
ssDNA-replication-15A	Xenopus laevis	egg	3	not applicable	not available	20171215_OR14_Ag3_post0113_SA_puck_40pr_15A	proteomic profiling by mass spectrometry	1	20171215_OR14_Ag3_post0113_SA_puck_40pr_15A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	7 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	control	15 min
ssDNA-replication-15B	Xenopus laevis	egg	3	not applicable	not available	20171215_OR14_Ag3_post0113_SA_puck_40pr_15B	proteomic profiling by mass spectrometry	1	20171215_OR14_Ag3_post0113_SA_puck_40pr_15B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	7 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	G4	15 min
ssDNA-replication-16A	Xenopus laevis	egg	4	not applicable	not available	20171215_OR14_Ag3_post0113_SA_puck_40pr_16A	proteomic profiling by mass spectrometry	1	20171215_OR14_Ag3_post0113_SA_puck_40pr_16A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	7 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	control	15 min
ssDNA-replication-16B	Xenopus laevis	egg	4	not applicable	not available	20171215_OR14_Ag3_post0113_SA_puck_40pr_16B	proteomic profiling by mass spectrometry	1	20171215_OR14_Ag3_post0113_SA_puck_40pr_16B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	7 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	G4	15 min
ssDNA-replication-17A	Xenopus laevis	egg	1	not applicable	not available	20171215_OR14_Ag3_post0113_SA_puck_40pr_17A	proteomic profiling by mass spectrometry	1	20171215_OR14_Ag3_post0113_SA_puck_40pr_17A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	7 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	telomeric G4	4.5 min
ssDNA-replication-17B	Xenopus laevis	egg	2	not applicable	not available	20171215_OR14_Ag3_post0113_SA_puck_40pr_17B	proteomic profiling by mass spectrometry	1	20171215_OR14_Ag3_post0113_SA_puck_40pr_17B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	7 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	telomeric G4	4.5 min
ssDNA-replication-17C	Xenopus laevis	egg	3	not applicable	not available	20171215_OR14_Ag3_post0113_SA_puck_40pr_17C	proteomic profiling by mass spectrometry	1	20171215_OR14_Ag3_post0113_SA_puck_40pr_17C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	7 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	telomeric G4	4.5 min
ssDNA-replication-17D	Xenopus laevis	egg	4	not applicable	not available	20171215_OR14_Ag3_post0113_SA_puck_40pr_17D	proteomic profiling by mass spectrometry	1	20171215_OR14_Ag3_post0113_SA_puck_40pr_17D.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	7 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	telomeric G4	4.5 min
ssDNA-replication-1A	Xenopus laevis	egg	1	not applicable	not available	20171215_OR14_Ag3_post0113_SA_puck_40pr_1A	proteomic profiling by mass spectrometry	1	20171215_OR14_Ag3_post0113_SA_puck_40pr_1A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	7 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	control	1.5 min
ssDNA-replication-1B	Xenopus laevis	egg	1	not applicable	not available	20171215_OR14_Ag3_post0113_SA_puck_40pr_1B	proteomic profiling by mass spectrometry	1	20171215_OR14_Ag3_post0113_SA_puck_40pr_1B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	7 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	G4	1.5 min
ssDNA-replication-2A	Xenopus laevis	egg	2	not applicable	not available	20171215_OR14_Ag3_post0113_SA_puck_40pr_2A	proteomic profiling by mass spectrometry	1	20171215_OR14_Ag3_post0113_SA_puck_40pr_2A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	7 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	control	1.5 min
ssDNA-replication-2B	Xenopus laevis	egg	2	not applicable	not available	20171215_OR14_Ag3_post0113_SA_puck_40pr_2B	proteomic profiling by mass spectrometry	1	20171215_OR14_Ag3_post0113_SA_puck_40pr_2B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	7 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	G4	1.5 min
ssDNA-replication-3A	Xenopus laevis	egg	3	not applicable	not available	20171215_OR14_Ag3_post0113_SA_puck_40pr_3A	proteomic profiling by mass spectrometry	1	20171215_OR14_Ag3_post0113_SA_puck_40pr_3A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	7 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	control	1.5 min
ssDNA-replication-3B	Xenopus laevis	egg	3	not applicable	not available	20171215_OR14_Ag3_post0113_SA_puck_40pr_3B	proteomic profiling by mass spectrometry	1	20171215_OR14_Ag3_post0113_SA_puck_40pr_3B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	7 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	G4	1.5 min
ssDNA-replication-4A	Xenopus laevis	egg	4	not applicable	not available	20171215_OR14_Ag3_post0113_SA_puck_40pr_4A	proteomic profiling by mass spectrometry	1	20171215_OR14_Ag3_post0113_SA_puck_40pr_4A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	7 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	control	1.5 min
ssDNA-replication-4B	Xenopus laevis	egg	4	not applicable	not available	20171215_OR14_Ag3_post0113_SA_puck_40pr_4B	proteomic profiling by mass spectrometry	1	20171215_OR14_Ag3_post0113_SA_puck_40pr_4B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	7 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	G4	1.5 min
ssDNA-replication-5A	Xenopus laevis	egg	1	not applicable	not available	20171215_OR14_Ag3_post0113_SA_puck_40pr_5A	proteomic profiling by mass spectrometry	1	20171215_OR14_Ag3_post0113_SA_puck_40pr_5A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	7 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	control	4 min
