source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[experiment]
20210511_HeLa_FASP_10A_001	Homo sapiens	cell culture	HeLa	1	20210511_HeLa_FASP_10A_001	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210511_HeLa_FASP_10A_001.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	HeLa FASP
20210511_HeLa_FASP_10B_001	Homo sapiens	cell culture	HeLa	2	20210511_HeLa_FASP_10B_001	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210511_HeLa_FASP_10B_001.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	HeLa FASP
20210511_HeLa_FASP_10C_001	Homo sapiens	cell culture	HeLa	3	20210511_HeLa_FASP_10C_001	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210511_HeLa_FASP_10C_001.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	HeLa FASP
20210511_HeLa_FASP_1A_001	Homo sapiens	cell culture	HeLa	4	20210511_HeLa_FASP_1A_001	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210511_HeLa_FASP_1A_001.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	HeLa FASP
20210511_HeLa_FASP_1C_001	Homo sapiens	cell culture	HeLa	5	20210511_HeLa_FASP_1C_001	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210511_HeLa_FASP_1C_001.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	HeLa FASP
20210511_HeLa_FASP_20A_001	Homo sapiens	cell culture	HeLa	6	20210511_HeLa_FASP_20A_001	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210511_HeLa_FASP_20A_001.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	HeLa FASP
20210511_HeLa_FASP_20B_001	Homo sapiens	cell culture	HeLa	7	20210511_HeLa_FASP_20B_001	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210511_HeLa_FASP_20B_001.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	HeLa FASP
20210511_HeLa_FASP_20C_001	Homo sapiens	cell culture	HeLa	8	20210511_HeLa_FASP_20C_001	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210511_HeLa_FASP_20C_001.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	HeLa FASP
20210511_HeLa_FASP_5A_001	Homo sapiens	cell culture	HeLa	9	20210511_HeLa_FASP_5A_001	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210511_HeLa_FASP_5A_001.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	HeLa FASP
20210511_HeLa_FASP_5B_001	Homo sapiens	cell culture	HeLa	10	20210511_HeLa_FASP_5B_001	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210511_HeLa_FASP_5B_001.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	HeLa FASP
20210511_HeLa_FASP_5C_001	Homo sapiens	cell culture	HeLa	11	20210511_HeLa_FASP_5C_001	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210511_HeLa_FASP_5C_001.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	HeLa FASP
