source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[disease]	characteristics[treatment]	characteristics[developmental stage]	characteristics[strain or breed]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	factor value[treatment]
PXD029265-D6_2_171215a	Drosophila melanogaster	sperm	1	not available	dietary sugar D6	adult	not available	D6_2_171215a	proteomic profiling by mass spectrometry	1	D6_2_171215a.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	1	dietary sugar D6
PXD029265-D4_171114	Drosophila melanogaster	sperm	2	not available	dietary sugar D4	adult	not available	D4_171114	proteomic profiling by mass spectrometry	1	D4_171114.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	1	dietary sugar D4
PXD029265-D2_3_171215	Drosophila melanogaster	sperm	3	not available	dietary sugar D2	adult	not available	D2_3_171215	proteomic profiling by mass spectrometry	1	D2_3_171215.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	1	dietary sugar D2
PXD029265-D6_3_171215	Drosophila melanogaster	sperm	4	not available	dietary sugar D6	adult	not available	D6_3_171215	proteomic profiling by mass spectrometry	1	D6_3_171215.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	1	dietary sugar D6
PXD029265-D2	Drosophila melanogaster	sperm	5	not available	dietary sugar D2	adult	not available	D2	proteomic profiling by mass spectrometry	1	D2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	1	dietary sugar D2
PXD029265-D6_171114	Drosophila melanogaster	sperm	6	not available	dietary sugar D6	adult	not available	D6_171114	proteomic profiling by mass spectrometry	1	D6_171114.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	1	dietary sugar D6
PXD029265-D4_3_171215	Drosophila melanogaster	sperm	7	not available	dietary sugar D4	adult	not available	D4_3_171215	proteomic profiling by mass spectrometry	1	D4_3_171215.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	1	dietary sugar D4
PXD029265-D2_3_171215a	Drosophila melanogaster	sperm	8	not available	dietary sugar D2	adult	not available	D2_3_171215a	proteomic profiling by mass spectrometry	1	D2_3_171215a.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	1	dietary sugar D2
PXD029265-D6_2_171215	Drosophila melanogaster	sperm	9	not available	dietary sugar D6	adult	not available	D6_2_171215	proteomic profiling by mass spectrometry	1	D6_2_171215.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	1	dietary sugar D6
PXD029265-D2_171114	Drosophila melanogaster	sperm	10	not available	dietary sugar D2	adult	not available	D2_171114	proteomic profiling by mass spectrometry	1	D2_171114.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	1	dietary sugar D2
