source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[sampling site]	factor value[sample type]	factor value[quantification method]
Cec prot muc P02 (3)	Cec prot muc P02 (3)	Sus scrofa	cecum	1	XCCBID1-8_20200221_HFGi_mucus_PNGase_labelfree_4hLG_4of25uL_S03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N;MT=Variable	1	1	XCCBID1-8_20200221_HFGi_mucus_PNGase_labelfree_4hLG_4of25uL_S03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	cecum	intestinal mucus	label free
Duod prot muc P02 (5)	Duod prot muc P02 (5)	Sus scrofa	duodenum	1	XCCBID1-8_20200221_HFGi_mucus_PNGase_labelfree_4hLG_4of25uL_S05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N;MT=Variable	1	1	XCCBID1-8_20200221_HFGi_mucus_PNGase_labelfree_4hLG_4of25uL_S05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	duodenum	intestinal mucus	label free
DisCo prot muc P02 (2)	DisCo prot muc P02 (2)	Sus scrofa	colon	1	XCCBID1-8_20200221_HFGi_mucus_PNGase_labelfree_4hLG_4of25uL_S02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N;MT=Variable	1	1	XCCBID1-8_20200221_HFGi_mucus_PNGase_labelfree_4hLG_4of25uL_S02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	colon	intestinal mucus	label free
PrCo prot muc P02 (1)	PrCo prot muc P02 (1)	Sus scrofa	colon	1	XCCBID1-8_20200221_HFGi_mucus_PNGase_labelfree_4hLG_4of25uL_S01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N;MT=Variable	1	1	XCCBID1-8_20200221_HFGi_mucus_PNGase_labelfree_4hLG_4of25uL_S01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	colon	intestinal mucus	label free
Ileum prot muc P02 (7)	Ileum prot muc P02 (7)	Sus scrofa	ileum	1	XCCBID1-8_20200221_HFGi_mucus_PNGase_labelfree_4hLG_4of25uL_S07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N;MT=Variable	1	1	XCCBID1-8_20200221_HFGi_mucus_PNGase_labelfree_4hLG_4of25uL_S07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	ileum	intestinal mucus	label free
Stom prot muc P02 (4)	Stom prot muc P02 (4)	Sus scrofa	pylorus	1	XCCBID1-8_20200221_HFGi_mucus_PNGase_labelfree_4hLG_4of25uL_S04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N;MT=Variable	1	1	XCCBID1-8_20200221_HFGi_mucus_PNGase_labelfree_4hLG_4of25uL_S04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	pylorus	gastric mucus	label free
Jej prot muc P02 (6)	Jej prot muc P02 (6)	Sus scrofa	jejunum	1	XCCBID1-8_20200221_HFGi_mucus_PNGase_labelfree_4hLG_4of25uL_S06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N;MT=Variable	1	1	XCCBID1-8_20200221_HFGi_mucus_PNGase_labelfree_4hLG_4of25uL_S06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	jejunum	intestinal mucus	label free
Stomach 2 prot muc P02 (36)	Stomach 2 prot muc P02 (36)	Sus scrofa	fundus of stomach	1	XCCBID1-8_20200221_HFGi_mucus_PNGase_labelfree_4hLG_4of25uL_S08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N;MT=Variable	1	1	XCCBID1-8_20200221_HFGi_mucus_PNGase_labelfree_4hLG_4of25uL_S08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	fundus of stomach	gastric mucus	label free
1021 PROXCOL (19.8 mg)	1021 PROXCOL (19.8 mg)	Sus scrofa	colon	1	XCCBID34-43_20200902_HFTo_pig_mucus_PNGase_TMT10_4hLG_5of20uL_TMT126	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT126	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N;MT=Variable	1	1	XCCBID34-43_20200902_HFTo_pig_mucus_PNGase_TMT10_4hLG_5of20uL.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	colon	intestinal mucus	TMT10
1022 DISCOL (19.1 mg)	1022 DISCOL (19.1 mg)	Sus scrofa	colon	1	XCCBID34-43_20200902_HFTo_pig_mucus_PNGase_TMT10_4hLG_5of20uL_TMT127N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT127N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N;MT=Variable	1	1	XCCBID34-43_20200902_HFTo_pig_mucus_PNGase_TMT10_4hLG_5of20uL.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	colon	intestinal mucus	TMT10
