source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[Fab condition]	factor value[run series]	factor value[deuterium exchange time]
RBD_Apo_series47_0s_rep1	Homo sapiens	not applicable	1	0s_Apofor47_20211122_014011_0	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=PepsinA;AC=MS:1001311	1	1	0s_Apofor47_20211122_014011_0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Apo	Fab47	0 s
RBD_Apo_series47_0s_rep2	Homo sapiens	not applicable	2	0s_Apofor47_20211122_053745_0	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=PepsinA;AC=MS:1001311	1	1	0s_Apofor47_20211122_053745_0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Apo	Fab47	0 s
RBD_Apo_series47_0s_rep3	Homo sapiens	not applicable	3	0s_Apofor47_20211122_093503_0	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=PepsinA;AC=MS:1001311	1	1	0s_Apofor47_20211122_093503_0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Apo	Fab47	0 s
RBD_Apo_series52_0s_rep1	Homo sapiens	not applicable	1	0s_Apofor52_20211101_183239_0	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=PepsinA;AC=MS:1001311	1	1	0s_Apofor52_20211101_183239_0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Apo	Fab52	0 s
RBD_Apo_series52_0s_rep2	Homo sapiens	not applicable	2	0s_Apofor52_20211101_233014_0	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=PepsinA;AC=MS:1001311	1	1	0s_Apofor52_20211101_233014_0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Apo	Fab52	0 s
RBD_Apo_series52_0s_rep3	Homo sapiens	not applicable	3	0s_Apofor52_20211102_042353_0	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=PepsinA;AC=MS:1001311	1	1	0s_Apofor52_20211102_042353_0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Apo	Fab52	0 s
RBD_Fab47_series47_0s_rep1	Homo sapiens	not applicable	1	0s_RBD_Fab47_20211121_134753_0	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=PepsinA;AC=MS:1001311	1	1	0s_RBD_Fab47_20211121_134753_0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Fab47	Fab47	0 s
RBD_Fab47_series47_0s_rep2	Homo sapiens	not applicable	2	0s_RBD_Fab47_20211121_174506_0	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=PepsinA;AC=MS:1001311	1	1	0s_RBD_Fab47_20211121_174506_0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Fab47	Fab47	0 s
RBD_Fab47_series47_0s_rep3	Homo sapiens	not applicable	3	0s_RBD_Fab47_20211121_214227_0	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=PepsinA;AC=MS:1001311	1	1	0s_RBD_Fab47_20211121_214227_0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Fab47	Fab47	0 s
RBD_Fab52_series52_0s_rep1	Homo sapiens	not applicable	1	0s_RBD_Fab52_20211102_141211_0	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=PepsinA;AC=MS:1001311	1	1	0s_RBD_Fab52_20211102_141211_0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Fab52	Fab52	0 s
RBD_Fab52_series52_0s_rep2	Homo sapiens	not applicable	2	0s_RBD_Fab52_20211102_190552_0	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=PepsinA;AC=MS:1001311	1	1	0s_RBD_Fab52_20211102_190552_0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Fab52	Fab52	0 s
RBD_Apo_series47_3000s_rep1	Homo sapiens	not applicable	1	3000s_Apofor47_20211122_043546_3000	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=PepsinA;AC=MS:1001311	1	1	3000s_Apofor47_20211122_043546_3000.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Apo	Fab47	3000 s
RBD_Apo_series47_3000s_rep2	Homo sapiens	not applicable	2	3000s_Apofor47_20211122_083256_3000	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=PepsinA;AC=MS:1001311	1	1	3000s_Apofor47_20211122_083256_3000.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Apo	Fab47	3000 s
RBD_Apo_series47_3000s_rep3	Homo sapiens	not applicable	3	3000s_Apofor47_20211122_123050_3000	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=PepsinA;AC=MS:1001311	1	1	3000s_Apofor47_20211122_123050_3000.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Apo	Fab47	3000 s
