source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[infection status]	factor value[viral target]
HEK239_no_infection_CoV229E_1_PABP_COV229_1_	Homo sapiens	cell culture	HEK293	1	HEK239_no_infection_CoV229E_1_PABP_COV229_1_	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	HEK239_no_infection_CoV229E_1_PABP_COV229_1_.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	uninfected	CoV-229E
HEK239_no_infection_CoV229E_2_PABP_COV229_2_	Homo sapiens	cell culture	HEK293	2	HEK239_no_infection_CoV229E_2_PABP_COV229_2_	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	HEK239_no_infection_CoV229E_2_PABP_COV229_2_.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	uninfected	CoV-229E
HEK239_no_infection_CoV229E_3_PABP_COV229_3_	Homo sapiens	cell culture	HEK293	3	HEK239_no_infection_CoV229E_3_PABP_COV229_3_	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	HEK239_no_infection_CoV229E_3_PABP_COV229_3_.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	uninfected	CoV-229E
HEK239_no_infection_CoV229E_C_1_PABP_COV229_C_1_	Homo sapiens	cell culture	HEK293	1	HEK239_no_infection_CoV229E_C_1_PABP_COV229_C_1_	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	HEK239_no_infection_CoV229E_C_1_PABP_COV229_C_1_.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	uninfected	CoV-229E
HEK239_no_infection_CoV229E_C_2_PABP_COV229_C_2_	Homo sapiens	cell culture	HEK293	2	HEK239_no_infection_CoV229E_C_2_PABP_COV229_C_2_	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	HEK239_no_infection_CoV229E_C_2_PABP_COV229_C_2_.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	uninfected	CoV-229E
HEK239_no_infection_CoV229E_C_3_PABP_COV229_C_3_	Homo sapiens	cell culture	HEK293	3	HEK239_no_infection_CoV229E_C_3_PABP_COV229_C_3_	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	HEK239_no_infection_CoV229E_C_3_PABP_COV229_C_3_.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	uninfected	CoV-229E
HEK239_no_infection_Hendra_1_PABP_Hendra_1_	Homo sapiens	cell culture	HEK293	1	HEK239_no_infection_Hendra_1_PABP_Hendra_1_	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	HEK239_no_infection_Hendra_1_PABP_Hendra_1_.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	uninfected	Hendra virus
HEK239_no_infection_Hendra_2_PABP_Hendra_2_	Homo sapiens	cell culture	HEK293	2	HEK239_no_infection_Hendra_2_PABP_Hendra_2_	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	HEK239_no_infection_Hendra_2_PABP_Hendra_2_.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	uninfected	Hendra virus
HEK239_no_infection_Hendra_3_PABP_Hendra_3_	Homo sapiens	cell culture	HEK293	3	HEK239_no_infection_Hendra_3_PABP_Hendra_3_	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	HEK239_no_infection_Hendra_3_PABP_Hendra_3_.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	uninfected	Hendra virus
HEK239_no_infection_Hendra_C_1_PABP_Hendra_C_1_	Homo sapiens	cell culture	HEK293	1	HEK239_no_infection_Hendra_C_1_PABP_Hendra_C_1_	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	HEK239_no_infection_Hendra_C_1_PABP_Hendra_C_1_.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	uninfected	Hendra virus
