source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[sdrf template]
Sample1	Escherichia coli	cell	not available	1	not available	Assay1	proteomic profiling by mass spectrometry	1	Fusion_210511_49.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=orbitrap fusion;AC=MS:1002416	NT=trypsin;AC=MS:1001251	NT=TMT11plex	1	NT=collision-induced dissociation;AC=MS:1000133	5.0 ppm	0.6 Da	not available	NT=ms-proteomics;VV=v1.1.0
Sample2	Escherichia coli	cell	not available	1	not available	Assay2	proteomic profiling by mass spectrometry	1	Fusion_210511_57.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=orbitrap fusion;AC=MS:1002416	NT=trypsin;AC=MS:1001251	NT=TMT11plex	2	NT=collision-induced dissociation;AC=MS:1000133	5.0 ppm	0.6 Da	not available	NT=ms-proteomics;VV=v1.1.0
Sample3	Escherichia coli	cell	not available	1	not available	Assay3	proteomic profiling by mass spectrometry	1	Fusion_210511_51.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=orbitrap fusion;AC=MS:1002416	NT=trypsin;AC=MS:1001251	NT=TMT11plex	3	NT=collision-induced dissociation;AC=MS:1000133	5.0 ppm	0.6 Da	not available	NT=ms-proteomics;VV=v1.1.0
Sample4	Escherichia coli	cell	not available	1	not available	Assay4	proteomic profiling by mass spectrometry	1	Fusion_210511_50.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=orbitrap fusion;AC=MS:1002416	NT=trypsin;AC=MS:1001251	NT=TMT11plex	4	NT=collision-induced dissociation;AC=MS:1000133	5.0 ppm	0.6 Da	not available	NT=ms-proteomics;VV=v1.1.0
Sample5	Escherichia coli	cell	not available	1	not available	Assay5	proteomic profiling by mass spectrometry	1	Fusion_210511_33.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=orbitrap fusion;AC=MS:1002416	NT=trypsin;AC=MS:1001251	NT=TMT11plex	5	NT=collision-induced dissociation;AC=MS:1000133	5.0 ppm	0.6 Da	not available	NT=ms-proteomics;VV=v1.1.0
Sample6	Escherichia coli	cell	not available	1	not available	Assay6	proteomic profiling by mass spectrometry	1	Fusion_210511_35.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=orbitrap fusion;AC=MS:1002416	NT=trypsin;AC=MS:1001251	NT=TMT11plex	6	NT=collision-induced dissociation;AC=MS:1000133	5.0 ppm	0.6 Da	not available	NT=ms-proteomics;VV=v1.1.0
Sample7	Escherichia coli	cell	not available	1	not available	Assay7	proteomic profiling by mass spectrometry	1	Fusion_210511_56.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=orbitrap fusion;AC=MS:1002416	NT=trypsin;AC=MS:1001251	NT=TMT11plex	7	NT=collision-induced dissociation;AC=MS:1000133	5.0 ppm	0.6 Da	not available	NT=ms-proteomics;VV=v1.1.0
Sample8	Escherichia coli	cell	not available	1	not available	Assay8	proteomic profiling by mass spectrometry	1	Fusion_210511_38.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=orbitrap fusion;AC=MS:1002416	NT=trypsin;AC=MS:1001251	NT=TMT11plex	8	NT=collision-induced dissociation;AC=MS:1000133	5.0 ppm	0.6 Da	not available	NT=ms-proteomics;VV=v1.1.0
Sample9	Escherichia coli	cell	not available	1	not available	Assay9	proteomic profiling by mass spectrometry	1	Fusion_210511_37.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=orbitrap fusion;AC=MS:1002416	NT=trypsin;AC=MS:1001251	NT=TMT11plex	9	NT=collision-induced dissociation;AC=MS:1000133	5.0 ppm	0.6 Da	not available	NT=ms-proteomics;VV=v1.1.0
Sample10	Escherichia coli	cell	not available	1	not available	Assay10	proteomic profiling by mass spectrometry	1	Fusion_210511_40.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=orbitrap fusion;AC=MS:1002416	NT=trypsin;AC=MS:1001251	NT=TMT11plex	10	NT=collision-induced dissociation;AC=MS:1000133	5.0 ppm	0.6 Da	not available	NT=ms-proteomics;VV=v1.1.0
Sample11	Escherichia coli	cell	not available	1	not available	Assay11	proteomic profiling by mass spectrometry	1	Fusion_210511_55.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=orbitrap fusion;AC=MS:1002416	NT=trypsin;AC=MS:1001251	NT=TMT11plex	11	NT=collision-induced dissociation;AC=MS:1000133	5.0 ppm	0.6 Da	not available	NT=ms-proteomics;VV=v1.1.0
Sample12	Escherichia coli	cell	not available	1	not available	Assay12	proteomic profiling by mass spectrometry	1	Fusion_210511_42.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=orbitrap fusion;AC=MS:1002416	NT=trypsin;AC=MS:1001251	NT=TMT11plex	12	NT=collision-induced dissociation;AC=MS:1000133	5.0 ppm	0.6 Da	not available	NT=ms-proteomics;VV=v1.1.0
Sample13	Escherichia coli	cell	not available	1	not available	Assay13	proteomic profiling by mass spectrometry	1	Fusion_210511_36.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=orbitrap fusion;AC=MS:1002416	NT=trypsin;AC=MS:1001251	NT=TMT11plex	13	NT=collision-induced dissociation;AC=MS:1000133	5.0 ppm	0.6 Da	not available	NT=ms-proteomics;VV=v1.1.0
Sample14	Escherichia coli	cell	not available	1	not available	Assay14	proteomic profiling by mass spectrometry	1	Fusion_210511_52.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=orbitrap fusion;AC=MS:1002416	NT=trypsin;AC=MS:1001251	NT=TMT11plex	14	NT=collision-induced dissociation;AC=MS:1000133	5.0 ppm	0.6 Da	not available	NT=ms-proteomics;VV=v1.1.0
Sample15	Escherichia coli	cell	not available	1	not available	Assay15	proteomic profiling by mass spectrometry	1	Fusion_210511_34.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=orbitrap fusion;AC=MS:1002416	NT=trypsin;AC=MS:1001251	NT=TMT11plex	15	NT=collision-induced dissociation;AC=MS:1000133	5.0 ppm	0.6 Da	not available	NT=ms-proteomics;VV=v1.1.0
Sample16	Escherichia coli	cell	not available	1	not available	Assay16	proteomic profiling by mass spectrometry	1	Fusion_210511_53.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=orbitrap fusion;AC=MS:1002416	NT=trypsin;AC=MS:1001251	NT=TMT11plex	16	NT=collision-induced dissociation;AC=MS:1000133	5.0 ppm	0.6 Da	not available	NT=ms-proteomics;VV=v1.1.0
Sample17	Escherichia coli	cell	not available	1	not available	Assay17	proteomic profiling by mass spectrometry	1	Fusion_210511_39.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=orbitrap fusion;AC=MS:1002416	NT=trypsin;AC=MS:1001251	NT=TMT11plex	17	NT=collision-induced dissociation;AC=MS:1000133	5.0 ppm	0.6 Da	not available	NT=ms-proteomics;VV=v1.1.0
Sample18	Escherichia coli	cell	not available	1	not available	Assay18	proteomic profiling by mass spectrometry	1	Fusion_210511_54.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=orbitrap fusion;AC=MS:1002416	NT=trypsin;AC=MS:1001251	NT=TMT11plex	18	NT=collision-induced dissociation;AC=MS:1000133	5.0 ppm	0.6 Da	not available	NT=ms-proteomics;VV=v1.1.0
Sample19	Escherichia coli	cell	not available	1	not available	Assay19	proteomic profiling by mass spectrometry	1	Fusion_210511_48.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=orbitrap fusion;AC=MS:1002416	NT=trypsin;AC=MS:1001251	NT=TMT11plex	19	NT=collision-induced dissociation;AC=MS:1000133	5.0 ppm	0.6 Da	not available	NT=ms-proteomics;VV=v1.1.0
