source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[disease]	characteristics[treatment]	characteristics[developmental stage]	characteristics[strain or breed]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	factor value[construct]
PXD037153-210311_TPPDII1_51	Rattus norvegicus	liver	1	not available	TPPDII	adult	not available	210311_TPPDII1_51	proteomic profiling by mass spectrometry	1	210311_TPPDII1_51.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	TPPDII
PXD037153-210309_SN2	Rattus norvegicus	liver	2	not available	SN	adult	not available	210309_SN2	proteomic profiling by mass spectrometry	1	210309_SN2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	SN
PXD037153-210309_PDI1	Rattus norvegicus	liver	3	not available	PDI	adult	not available	210309_PDI1	proteomic profiling by mass spectrometry	1	210309_PDI1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	PDI
PXD037153-210311_TPPN2_58	Rattus norvegicus	liver	4	not available	TPPN	adult	not available	210311_TPPN2_58	proteomic profiling by mass spectrometry	1	210311_TPPN2_58.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	TPPN
PXD037153-210311_TPPDII1_42	Rattus norvegicus	liver	5	not available	TPPDII	adult	not available	210311_TPPDII1_42	proteomic profiling by mass spectrometry	1	210311_TPPDII1_42.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	TPPDII
PXD037153-210316_TPPDI1_46	Rattus norvegicus	liver	6	not available	TPPDI	adult	not available	210316_TPPDI1_46	proteomic profiling by mass spectrometry	1	210316_TPPDI1_46.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	TPPDI
PXD037153-210316_TPPDI2_51	Rattus norvegicus	liver	7	not available	TPPDI	adult	not available	210316_TPPDI2_51	proteomic profiling by mass spectrometry	1	210316_TPPDI2_51.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	TPPDI
PXD037153-210309_PDII1	Rattus norvegicus	liver	8	not available	PDII	adult	not available	210309_PDII1	proteomic profiling by mass spectrometry	1	210309_PDII1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	PDII
PXD037153-210316_TPPDI1_37	Rattus norvegicus	liver	9	not available	TPPDI	adult	not available	210316_TPPDI1_37	proteomic profiling by mass spectrometry	1	210316_TPPDI1_37.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	TPPDI
PXD037153-210316_TPPDI2_62	Rattus norvegicus	liver	10	not available	TPPDI	adult	not available	210316_TPPDI2_62	proteomic profiling by mass spectrometry	1	210316_TPPDI2_62.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	TPPDI
PXD037153-210311_TPPN1_58	Rattus norvegicus	liver	11	not available	TPPN	adult	not available	210311_TPPN1_58	proteomic profiling by mass spectrometry	1	210311_TPPN1_58.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	TPPN
PXD037153-210316_TPPDI1_62	Rattus norvegicus	liver	12	not available	TPPDI	adult	not available	210316_TPPDI1_62	proteomic profiling by mass spectrometry	1	210316_TPPDI1_62.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	TPPDI
PXD037153-210316_TPPDI1_67	Rattus norvegicus	liver	13	not available	TPPDI	adult	not available	210316_TPPDI1_67	proteomic profiling by mass spectrometry	1	210316_TPPDI1_67.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	TPPDI
