source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[treatment]	factor value[time point]	factor value[submitted sample set]
HEK293_20SPD_i_danuglipron_not available_rep2	Homo sapiens	cell culture	HEK293	2	20230429_EXPL2_Evo0_PS_Phospho_GPCR_20SPD_i_PF_2	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20230429_EXPL2_Evo0_PS_Phospho_GPCR_20SPD_i_PF_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	danuglipron	not available	20SPD_i
HEK293_20SPD_i_semaglutide_not available_rep3	Homo sapiens	cell culture	HEK293	3	20230429_EXPL2_Evo0_PS_Phospho_GPCR_20SPD_i_Sem_3	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20230429_EXPL2_Evo0_PS_Phospho_GPCR_20SPD_i_Sem_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	semaglutide	not available	20SPD_i
HEK293_20SPD_i_danuglipron_not available_rep3	Homo sapiens	cell culture	HEK293	3	20230429_EXPL2_Evo0_PS_Phospho_GPCR_20SPD_i_PF_3	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20230429_EXPL2_Evo0_PS_Phospho_GPCR_20SPD_i_PF_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	danuglipron	not available	20SPD_i
HEK293_20SPD_i_vehicle_not available_rep2	Homo sapiens	cell culture	HEK293	2	20230429_EXPL2_Evo0_PS_Phospho_GPCR_20SPD_i_C_2	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20230429_EXPL2_Evo0_PS_Phospho_GPCR_20SPD_i_C_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	vehicle	not available	20SPD_i
HEK293_20SPD_GLP_semaglutide_not available_rep3	Homo sapiens	cell culture	HEK293	3	20230429_EXPL2_Evo0_PS_Phospho_GPCR_20SPD_GLP_Sem_3	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20230429_EXPL2_Evo0_PS_Phospho_GPCR_20SPD_GLP_Sem_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	semaglutide	not available	20SPD_GLP
HEK293_20SPD_U_vehicle_not available_rep2	Homo sapiens	cell culture	HEK293	2	20230429_EXPL2_Evo0_PS_Phospho_GPCR_20SPD_U_C_2	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20230429_EXPL2_Evo0_PS_Phospho_GPCR_20SPD_U_C_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	vehicle	not available	20SPD_U
HEK293_20SPD_i_vehicle_not available_rep3	Homo sapiens	cell culture	HEK293	3	20230429_EXPL2_Evo0_PS_Phospho_GPCR_20SPD_i_C_3	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20230429_EXPL2_Evo0_PS_Phospho_GPCR_20SPD_i_C_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	vehicle	not available	20SPD_i
HEK293_20SPD_i_semaglutide_not available_rep1	Homo sapiens	cell culture	HEK293	1	20230429_EXPL2_Evo0_PS_Phospho_GPCR_20SPD_i_Sem_1	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20230429_EXPL2_Evo0_PS_Phospho_GPCR_20SPD_i_Sem_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	semaglutide	not available	20SPD_i
HEK293_20SPD_U_vehicle_not available_rep1	Homo sapiens	cell culture	HEK293	1	20230429_EXPL2_Evo0_PS_Phospho_GPCR_20SPD_U_C_1	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20230429_EXPL2_Evo0_PS_Phospho_GPCR_20SPD_U_C_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	vehicle	not available	20SPD_U
HEK293_20SPD_i_semaglutide_not available_rep2	Homo sapiens	cell culture	HEK293	2	20230429_EXPL2_Evo0_PS_Phospho_GPCR_20SPD_i_Sem_2	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20230429_EXPL2_Evo0_PS_Phospho_GPCR_20SPD_i_Sem_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	semaglutide	not available	20SPD_i
