source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[sample class]
Surface Pro Rep 1	Homo sapiens	seminal plasma extracellular vesicle	1	MS-18-061-11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	MS-18-061-11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Surface Pro Rep 1
Surface Pro Rep 3	Homo sapiens	seminal plasma extracellular vesicle	2	MS-18-061b-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	MS-18-061b-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Surface Pro Rep 3
Surface Pro Rep 2	Homo sapiens	seminal plasma extracellular vesicle	3	MS-18-061b-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	MS-18-061b-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Surface Pro Rep 2
Whole--Surface Pro Rep 1	Homo sapiens	seminal plasma extracellular vesicle	4	MS-18-061-10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	MS-18-061-10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Whole--Surface Pro Rep 1
Whole Pro Rep 1	Homo sapiens	seminal plasma extracellular vesicle	5	MS-18-061-9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	MS-18-061-9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Whole Pro Rep 1
Whole Pro Rep 2	Homo sapiens	seminal plasma extracellular vesicle	6	MS-18-061b-7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	MS-18-061b-7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Whole Pro Rep 2
Whole--Surface Pro Rep 3	Homo sapiens	seminal plasma extracellular vesicle	7	MS-18-061b-4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	MS-18-061b-4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Whole--Surface Pro Rep 3
PC3 Cell line	Homo sapiens	seminal plasma extracellular vesicle	8	MS-18-061b-9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	MS-18-061b-9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	PC3 Cell line
Whole--Surface PC3	Homo sapiens	seminal plasma extracellular vesicle	9	MS-18-061b-6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	MS-18-061b-6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Whole--Surface PC3
Whole--Surface Pro Rep 2	Homo sapiens	seminal plasma extracellular vesicle	10	MS-18-061b-3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	MS-18-061b-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Whole--Surface Pro Rep 2
Surface PC3	Homo sapiens	seminal plasma extracellular vesicle	11	MS-18-061b-5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	MS-18-061b-5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Surface PC3
Supern Pro Rep 1	Homo sapiens	seminal plasma extracellular vesicle	12	MS-18-061-12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	MS-18-061-12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Supern Pro Rep 1
