source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[individual]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[reduction reagent]	comment[alkylation reagent]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[cell type]	factor value[organism part]
donor_2_skin_ILC2	Homo sapiens	skin	normal	group 2 innate lymphoid cell	cell	not available	not available	not available	not available	skin-2	1	20190518_QE9_nLC0_BDA_SA_DIA_ILC_Donor_2_ILC2	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE;27.5 NCE;30 NCE	not available	not available	not applicable	not available	1650	not available	1	1	20190518_QE9_nLC0_BDA_SA_DIA_ILC_Donor_2_ILC2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	group 2 innate lymphoid cell	skin
donor_2_skin_ILC3	Homo sapiens	skin	normal	group 3 innate lymphoid cell	cell	not available	not available	not available	not available	skin-2	1	20190518_QE9_nLC0_BDA_SA_DIA_ILC_Donor_2_ILC3	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE;27.5 NCE;30 NCE	not available	not available	not applicable	not available	1650	not available	1	1	20190518_QE9_nLC0_BDA_SA_DIA_ILC_Donor_2_ILC3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	group 3 innate lymphoid cell	skin
donor_2_blood_ILC2	Homo sapiens	peripheral blood	normal	group 2 innate lymphoid cell	cell	not available	not available	not available	adult	blood-2	1	20190606_QE9_nLC0_BDA_SA_DIA_ILC_Donor_2_ILC2_blood	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE;27.5 NCE;30 NCE	not available	not available	not applicable	not available	1650	not available	1	1	20190606_QE9_nLC0_BDA_SA_DIA_ILC_Donor_2_ILC2_blood.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	group 2 innate lymphoid cell	peripheral blood
donor_2_blood_ILC3	Homo sapiens	peripheral blood	normal	group 3 innate lymphoid cell	cell	not available	not available	not available	adult	blood-2	1	20190606_QE9_nLC0_BDA_SA_DIA_ILC_Donor_2_ILC3_blood	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE;27.5 NCE;30 NCE	not available	not available	not applicable	not available	1650	not available	1	1	20190606_QE9_nLC0_BDA_SA_DIA_ILC_Donor_2_ILC3_blood.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	group 3 innate lymphoid cell	peripheral blood
donor_3_skin_ILC2	Homo sapiens	skin	normal	group 2 innate lymphoid cell	cell	not available	not available	not available	not available	skin-3	1	20190518_QE9_nLC0_BDA_SA_DIA_ILC_Donor_3_ILC2	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE;27.5 NCE;30 NCE	not available	not available	not applicable	not available	1650	not available	1	1	20190518_QE9_nLC0_BDA_SA_DIA_ILC_Donor_3_ILC2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	group 2 innate lymphoid cell	skin
donor_3_skin_ILC3	Homo sapiens	skin	normal	group 3 innate lymphoid cell	cell	not available	not available	not available	not available	skin-3	1	20190518_QE9_nLC0_BDA_SA_DIA_ILC_Donor_3_ILC3	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE;27.5 NCE;30 NCE	not available	not available	not applicable	not available	1650	not available	1	1	20190518_QE9_nLC0_BDA_SA_DIA_ILC_Donor_3_ILC3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	group 3 innate lymphoid cell	skin
donor_3_blood_ILC2	Homo sapiens	peripheral blood	normal	group 2 innate lymphoid cell	cell	not available	not available	not available	adult	blood-3	1	20190607_QE9_nLC0_BDA_SA_DIA_ILC_Donor_3_ILC2_blood	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE;27.5 NCE;30 NCE	not available	not available	not applicable	not available	1650	not available	1	1	20190607_QE9_nLC0_BDA_SA_DIA_ILC_Donor_3_ILC2_blood.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	group 2 innate lymphoid cell	peripheral blood
donor_3_blood_ILC3	Homo sapiens	peripheral blood	normal	group 3 innate lymphoid cell	cell	not available	not available	not available	adult	blood-3	1	20190607_QE9_nLC0_BDA_SA_DIA_ILC_Donor_3_ILC3_blood	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE;27.5 NCE;30 NCE	not available	not available	not applicable	not available	1650	not available	1	1	20190607_QE9_nLC0_BDA_SA_DIA_ILC_Donor_3_ILC3_blood.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	group 3 innate lymphoid cell	peripheral blood
donor_4_blood_ILC2	Homo sapiens	peripheral blood	normal	group 2 innate lymphoid cell	cell	not available	not available	not available	adult	blood-4	1	20190607_QE9_nLC0_BDA_SA_DIA_ILC_Donor_4_ILC2_blood	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE;27.5 NCE;30 NCE	not available	not available	not applicable	not available	1650	not available	1	1	20190607_QE9_nLC0_BDA_SA_DIA_ILC_Donor_4_ILC2_blood.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	group 2 innate lymphoid cell	peripheral blood
donor_4_blood_ILC3	Homo sapiens	peripheral blood	normal	group 3 innate lymphoid cell	cell	not available	not available	not available	adult	blood-4	1	20190607_QE9_nLC0_BDA_SA_DIA_ILC_Donor_4_ILC3_blood	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE;27.5 NCE;30 NCE	not available	not available	not applicable	not available	1650	not available	1	1	20190607_QE9_nLC0_BDA_SA_DIA_ILC_Donor_4_ILC3_blood.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	group 3 innate lymphoid cell	peripheral blood
