source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[treatment]	characteristics[age]	characteristics[sex]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	factor value[construct]
PXD038811-210907_TID2_20210908002021	Homo sapiens	cell culture	1	TID	not available	not available	210907_TID2_20210908002021	proteomic profiling by mass spectrometry	1	210907_TID2_20210908002021.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	not available	label free sample	1	TID
PXD038811-210629_FOXL1HEK_1	Homo sapiens	cell culture	2	FOXL1	not available	not available	210629_FOXL1HEK_1	proteomic profiling by mass spectrometry	1	210629_FOXL1HEK_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	not available	label free sample	1	FOXL1
PXD038811-210629_FOXL1HEK_2	Homo sapiens	cell culture	3	FOXL1	not available	not available	210629_FOXL1HEK_2	proteomic profiling by mass spectrometry	1	210629_FOXL1HEK_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	not available	label free sample	1	FOXL1
PXD038811-210629_TIDHEK__L1__1	Homo sapiens	cell culture	4	TID	not available	not available	210629_TIDHEK__L1__1	proteomic profiling by mass spectrometry	1	210629_TIDHEK__L1__1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	not available	label free sample	1	TID
PXD038811-210913_FOXL1HEK_3	Homo sapiens	cell culture	5	FOXL1	not available	not available	210913_FOXL1HEK_3	proteomic profiling by mass spectrometry	1	210913_FOXL1HEK_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	not available	label free sample	1	FOXL1
PXD038811-220321_TID2__I1_	Homo sapiens	cell culture	6	TID	not available	not available	220321_TID2__I1_	proteomic profiling by mass spectrometry	1	220321_TID2__I1_.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	not available	label free sample	1	TID
PXD038811-210907_D1_1	Homo sapiens	cell culture	7	not available	not available	not available	210907_D1_1	proteomic profiling by mass spectrometry	1	210907_D1_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	not available	label free sample	1	not available
PXD038811-210907_TID3__D1_	Homo sapiens	cell culture	8	TID	not available	not available	210907_TID3__D1_	proteomic profiling by mass spectrometry	1	210907_TID3__D1_.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	not available	label free sample	1	TID
PXD038811-210913_TIDHEK__L1__3	Homo sapiens	cell culture	9	TID	not available	not available	210913_TIDHEK__L1__3	proteomic profiling by mass spectrometry	1	210913_TIDHEK__L1__3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	not available	label free sample	1	TID
PXD038811-220321_FOXI1_1	Homo sapiens	cell culture	10	FOXI1	not available	not available	220321_FOXI1_1	proteomic profiling by mass spectrometry	1	220321_FOXI1_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	not available	label free sample	1	FOXI1
PXD038811-210913_FOXG1HEK_3	Homo sapiens	cell culture	11	FOXG1	not available	not available	210913_FOXG1HEK_3	proteomic profiling by mass spectrometry	1	210913_FOXG1HEK_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	not available	label free sample	1	FOXG1
PXD038811-210907_TID2__D1_	Homo sapiens	cell culture	12	TID	not available	not available	210907_TID2__D1_	proteomic profiling by mass spectrometry	1	210907_TID2__D1_.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	not available	label free sample	1	TID
PXD038811-220321_TID3__I1_	Homo sapiens	cell culture	13	TID	not available	not available	220321_TID3__I1_	proteomic profiling by mass spectrometry	1	220321_TID3__I1_.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	not available	label free sample	1	TID
PXD038811-210907_N4_2	Homo sapiens	cell culture	14	not available	not available	not available	210907_N4_2	proteomic profiling by mass spectrometry	1	210907_N4_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	not available	label free sample	1	not available
PXD038811-210907_D1_2	Homo sapiens	cell culture	15	not available	not available	not available	210907_D1_2	proteomic profiling by mass spectrometry	1	210907_D1_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	not available	label free sample	1	not available
