source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[pooled sample]	characteristics[disease]	characteristics[material type]	characteristics[treatment]	characteristics[enrichment process]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[passage number]	characteristics[culture medium]	characteristics[sample storage temperature]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	factor value[SUMO inhibitor]	factor value[androgen]	factor value[antibody]
NRS_antibodyCTRL_DHT	Homo sapiens	prostate	not available	pooled	pooled	prostate carcinoma	cell line	DHT; DMSO	chromatin immunoprecipitation	not available	59Y	male	adult	VCaP	CVCL_2235	VCaP	not available	not available	not available	NRS_antibodyCTRL_DHT_rep1-3.d	proteomic profiling by mass spectrometry	1	NRS_antibodyCTRL_DHT_rep1-3.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Biotin;AC=UNIMOD:3;TA=K;MT=Variable	NT=Biotin;AC=UNIMOD:3;PP=Protein N-term;MT=Variable	DMSO	DHT	NRS
SUMO_CTRL_DHT	Homo sapiens	prostate	not available	pooled	pooled	prostate carcinoma	cell line	DHT; DMSO	chromatin immunoprecipitation	not available	59Y	male	adult	VCaP	CVCL_2235	VCaP	not available	not available	not available	SUMO_CTRL_DHT_rep1-3.d	proteomic profiling by mass spectrometry	1	SUMO_CTRL_DHT_rep1-3.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Biotin;AC=UNIMOD:3;TA=K;MT=Variable	NT=Biotin;AC=UNIMOD:3;PP=Protein N-term;MT=Variable	DMSO	DHT	SUMO2/3
AR_CTRL_DHT	Homo sapiens	prostate	not available	pooled	pooled	prostate carcinoma	cell line	DHT; DMSO	chromatin immunoprecipitation	not available	59Y	male	adult	VCaP	CVCL_2235	VCaP	not available	not available	not available	AR_CTRL_DHT_rep1-3.d	proteomic profiling by mass spectrometry	1	AR_CTRL_DHT_rep1-3.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Biotin;AC=UNIMOD:3;TA=K;MT=Variable	NT=Biotin;AC=UNIMOD:3;PP=Protein N-term;MT=Variable	DMSO	DHT	AR
AR_CTRL_ETOH	Homo sapiens	prostate	not available	pooled	pooled	prostate carcinoma	cell line	ethanol; DMSO	chromatin immunoprecipitation	not available	59Y	male	adult	VCaP	CVCL_2235	VCaP	not available	not available	not available	AR_CTRL_ETOHrep1-3.d	proteomic profiling by mass spectrometry	1	AR_CTRL_ETOHrep1-3.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Biotin;AC=UNIMOD:3;TA=K;MT=Variable	NT=Biotin;AC=UNIMOD:3;PP=Protein N-term;MT=Variable	DMSO	ethanol	AR
SUMO_SUMOi_ETOH	Homo sapiens	prostate	not available	pooled	pooled	prostate carcinoma	cell line	ethanol; ML792	chromatin immunoprecipitation	not available	59Y	male	adult	VCaP	CVCL_2235	VCaP	not available	not available	not available	SUMO_SUMOi_ETOH_rep1-3.d	proteomic profiling by mass spectrometry	1	SUMO_SUMOi_ETOH_rep1-3.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Biotin;AC=UNIMOD:3;TA=K;MT=Variable	NT=Biotin;AC=UNIMOD:3;PP=Protein N-term;MT=Variable	ML792	ethanol	SUMO2/3
SUMO_SUMOi_DHT	Homo sapiens	prostate	not available	pooled	pooled	prostate carcinoma	cell line	DHT; ML792	chromatin immunoprecipitation	not available	59Y	male	adult	VCaP	CVCL_2235	VCaP	not available	not available	not available	SUMO_SUMOi_DHT_rep1-3.d	proteomic profiling by mass spectrometry	1	SUMO_SUMOi_DHT_rep1-3.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Biotin;AC=UNIMOD:3;TA=K;MT=Variable	NT=Biotin;AC=UNIMOD:3;PP=Protein N-term;MT=Variable	ML792	DHT	SUMO2/3
AR_SUMOi_DHT	Homo sapiens	prostate	not available	pooled	pooled	prostate carcinoma	cell line	DHT; ML792	chromatin immunoprecipitation	not available	59Y	male	adult	VCaP	CVCL_2235	VCaP	not available	not available	not available	AR_SUMOi_DHT_rep1-3.d	proteomic profiling by mass spectrometry	1	AR_SUMOi_DHT_rep1-3.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Biotin;AC=UNIMOD:3;TA=K;MT=Variable	NT=Biotin;AC=UNIMOD:3;PP=Protein N-term;MT=Variable	ML792	DHT	AR
IgG_antibodyCTRL_ETOH	Homo sapiens	prostate	not available	pooled	pooled	prostate carcinoma	cell line	ethanol; DMSO	chromatin immunoprecipitation	not available	59Y	male	adult	VCaP	CVCL_2235	VCaP	not available	not available	not available	IgG_antibodyCTRL_ETOHrep1-3.d	proteomic profiling by mass spectrometry	1	IgG_antibodyCTRL_ETOHrep1-3.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Biotin;AC=UNIMOD:3;TA=K;MT=Variable	NT=Biotin;AC=UNIMOD:3;PP=Protein N-term;MT=Variable	DMSO	ethanol	IgG
SUMO_CTRL_ETOH	Homo sapiens	prostate	not available	pooled	pooled	prostate carcinoma	cell line	ethanol; DMSO	chromatin immunoprecipitation	not available	59Y	male	adult	VCaP	CVCL_2235	VCaP	not available	not available	not available	SUMO_CTRL_ETOH_rep1-3.d	proteomic profiling by mass spectrometry	1	SUMO_CTRL_ETOH_rep1-3.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Biotin;AC=UNIMOD:3;TA=K;MT=Variable	NT=Biotin;AC=UNIMOD:3;PP=Protein N-term;MT=Variable	DMSO	ethanol	SUMO2/3
AR_SUMOi_ETOH	Homo sapiens	prostate	not available	pooled	pooled	prostate carcinoma	cell line	ethanol; ML792	chromatin immunoprecipitation	not available	59Y	male	adult	VCaP	CVCL_2235	VCaP	not available	not available	not available	AR_SUMOi_ETOH_rep1-3.d	proteomic profiling by mass spectrometry	1	AR_SUMOi_ETOH_rep1-3.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Biotin;AC=UNIMOD:3;TA=K;MT=Variable	NT=Biotin;AC=UNIMOD:3;PP=Protein N-term;MT=Variable	ML792	ethanol	AR
