source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[treatment]	factor value[temperature]
20210621_TPP_DMSO_42_001	Homo sapiens	cell culture	permanent cell line cell	001	20210621_TPP_DMSO_42_001	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210621_TPP_DMSO_42_001.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	DMSO	42 degree Celsius
20210621_TPP_DMSO_47_001	Homo sapiens	cell culture	permanent cell line cell	001	20210621_TPP_DMSO_47_001	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210621_TPP_DMSO_47_001.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	DMSO	47 degree Celsius
20210622_TPP_500gamma_37_001	Homo sapiens	cell culture	permanent cell line cell	001	20210622_TPP_500gamma_37_001	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210622_TPP_500gamma_37_001.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	500gamma	37 degree Celsius
20210622_TPP_DMSO_67_001	Homo sapiens	cell culture	permanent cell line cell	001	20210622_TPP_DMSO_67_001	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210622_TPP_DMSO_67_001.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	DMSO	67 degree Celsius
20210623_TPP_DMSO_37_002	Homo sapiens	cell culture	permanent cell line cell	002	20210623_TPP_DMSO_37_002	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210623_TPP_DMSO_37_002.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	DMSO	37 degree Celsius
20210624_TPP_500gamma_37_002	Homo sapiens	cell culture	permanent cell line cell	002	20210624_TPP_500gamma_37_002	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210624_TPP_500gamma_37_002.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	500gamma	37 degree Celsius
20210624_TPP_500gamma_42_002	Homo sapiens	cell culture	permanent cell line cell	002	20210624_TPP_500gamma_42_002	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210624_TPP_500gamma_42_002.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	500gamma	42 degree Celsius
20210624_TPP_500gamma_52_002	Homo sapiens	cell culture	permanent cell line cell	002	20210624_TPP_500gamma_52_002	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210624_TPP_500gamma_52_002.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	500gamma	52 degree Celsius
20210624_TPP_500gamma_57_002	Homo sapiens	cell culture	permanent cell line cell	002	20210624_TPP_500gamma_57_002	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210624_TPP_500gamma_57_002.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	500gamma	57 degree Celsius
20210624_TPP_500gamma_62_002	Homo sapiens	cell culture	permanent cell line cell	002	20210624_TPP_500gamma_62_002	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210624_TPP_500gamma_62_002.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	500gamma	62 degree Celsius
20210624_TPP_DMSO_42_002	Homo sapiens	cell culture	permanent cell line cell	002	20210624_TPP_DMSO_42_002	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210624_TPP_DMSO_42_002.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	DMSO	42 degree Celsius
20210624_TPP_DMSO_52_003	Homo sapiens	cell culture	permanent cell line cell	003	20210624_TPP_DMSO_52_003	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210624_TPP_DMSO_52_003.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	DMSO	52 degree Celsius
20210626_TPP_500gamma_57_003	Homo sapiens	cell culture	permanent cell line cell	003	20210626_TPP_500gamma_57_003	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210626_TPP_500gamma_57_003.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	500gamma	57 degree Celsius
20210627_TPP_DMSO_47_003	Homo sapiens	cell culture	permanent cell line cell	003	20210627_TPP_DMSO_47_003	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210627_TPP_DMSO_47_003.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	DMSO	47 degree Celsius
20210627_TPP_DMSO_62_003	Homo sapiens	cell culture	permanent cell line cell	003	20210627_TPP_DMSO_62_003	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210627_TPP_DMSO_62_003.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	DMSO	62 degree Celsius
20210627_TPP_DMSO_67_003	Homo sapiens	cell culture	permanent cell line cell	003	20210627_TPP_DMSO_67_003	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210627_TPP_DMSO_67_003.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	DMSO	67 degree Celsius
20210628_TPP_500gamma_52_004	Homo sapiens	cell culture	permanent cell line cell	004	20210628_TPP_500gamma_52_004	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210628_TPP_500gamma_52_004.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	500gamma	52 degree Celsius
20210630_TPP_100gamma_37_001	Homo sapiens	cell culture	permanent cell line cell	001	20210630_TPP_100gamma_37_001	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210630_TPP_100gamma_37_001.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	100gamma	37 degree Celsius
20210630_TPP_100gamma_37_002	Homo sapiens	cell culture	permanent cell line cell	002	20210630_TPP_100gamma_37_002	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210630_TPP_100gamma_37_002.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	100gamma	37 degree Celsius
20210630_TPP_100gamma_37_003	Homo sapiens	cell culture	permanent cell line cell	003	20210630_TPP_100gamma_37_003	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210630_TPP_100gamma_37_003.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	100gamma	37 degree Celsius
20210630_TPP_100gamma_42_002	Homo sapiens	cell culture	permanent cell line cell	002	20210630_TPP_100gamma_42_002	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210630_TPP_100gamma_42_002.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	100gamma	42 degree Celsius
20210630_TPP_100gamma_42_003	Homo sapiens	cell culture	permanent cell line cell	003	20210630_TPP_100gamma_42_003	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210630_TPP_100gamma_42_003.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	100gamma	42 degree Celsius
20210630_TPP_100gamma_67_001	Homo sapiens	cell culture	permanent cell line cell	001	20210630_TPP_100gamma_67_001	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210630_TPP_100gamma_67_001.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	100gamma	67 degree Celsius
20210630_TPP_100gamma_67_002	Homo sapiens	cell culture	permanent cell line cell	002	20210630_TPP_100gamma_67_002	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210630_TPP_100gamma_67_002.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	100gamma	67 degree Celsius
20210702_TPP_500alpha_47_001	Homo sapiens	cell culture	permanent cell line cell	001	20210702_TPP_500alpha_47_001	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210702_TPP_500alpha_47_001.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	500alpha	47 degree Celsius
