source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[CENP-E construct]
20210514_F1_JMU_0390_513_1	Homo sapiens	epithelial cell	disease free	1	20210514_F1_JMU_0390_513_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	20210514_F1_JMU_0390_513_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	513
20210514_F1_JMU_0390_513_2	Homo sapiens	epithelial cell	disease free	2	20210514_F1_JMU_0390_513_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	20210514_F1_JMU_0390_513_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	513
20210514_F1_JMU_0390_513_3	Homo sapiens	epithelial cell	disease free	3	20210514_F1_JMU_0390_513_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	20210514_F1_JMU_0390_513_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	513
20210514_F1_JMU_0390_517_1	Homo sapiens	epithelial cell	disease free	1	20210514_F1_JMU_0390_517_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	20210514_F1_JMU_0390_517_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	517
20210514_F1_JMU_0390_517_2	Homo sapiens	epithelial cell	disease free	2	20210514_F1_JMU_0390_517_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	20210514_F1_JMU_0390_517_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	517
20210514_F1_JMU_0390_517_3	Homo sapiens	epithelial cell	disease free	3	20210514_F1_JMU_0390_517_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	20210514_F1_JMU_0390_517_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	517
20210514_F1_JMU_0390_519_1	Homo sapiens	epithelial cell	disease free	1	20210514_F1_JMU_0390_519_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	20210514_F1_JMU_0390_519_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	519
20210514_F1_JMU_0390_519_2	Homo sapiens	epithelial cell	disease free	2	20210514_F1_JMU_0390_519_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	20210514_F1_JMU_0390_519_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	519
20210514_F1_JMU_0390_519_3	Homo sapiens	epithelial cell	disease free	3	20210514_F1_JMU_0390_519_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	20210514_F1_JMU_0390_519_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	519
20210514_F1_JMU_0390_C2689_1	Homo sapiens	epithelial cell	disease free	1	20210514_F1_JMU_0390_C2689_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	20210514_F1_JMU_0390_C2689_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	C2689
