source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[experimental group]
Activated CD4-positive T cell donor D62	Homo sapiens	blood	CD4-positive T cell	62	D62 A5	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000628	NT=MALDI Synapt MS;AC=MS:1001776	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Amidated;AC=UNIMOD:2;TA=.;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20210323_D62A5_002.raw.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	A5
Activated CD4-positive T cell donor D62	Homo sapiens	blood	CD4-positive T cell	62	D62 G5	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000628	NT=MALDI Synapt MS;AC=MS:1001776	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Amidated;AC=UNIMOD:2;TA=.;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20210319_D62G5_001.raw.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	G5
Activated CD4-positive T cell donor D69	Homo sapiens	blood	CD4-positive T cell	69	D69 A5	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000628	NT=MALDI Synapt MS;AC=MS:1001776	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Amidated;AC=UNIMOD:2;TA=.;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20210318_D69A5_001.raw.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	A5
Activated CD4-positive T cell donor D69	Homo sapiens	blood	CD4-positive T cell	69	D69 G5	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000628	NT=MALDI Synapt MS;AC=MS:1001776	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Amidated;AC=UNIMOD:2;TA=.;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20210318_D69G5_001.raw.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	G5
Activated CD4-positive T cell donor D74	Homo sapiens	blood	CD4-positive T cell	74	D74 A5	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000628	NT=MALDI Synapt MS;AC=MS:1001776	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Amidated;AC=UNIMOD:2;TA=.;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20210318_D74A5_001.raw.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	A5
Activated CD4-positive T cell donor D74	Homo sapiens	blood	CD4-positive T cell	74	D74 G5	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000628	NT=MALDI Synapt MS;AC=MS:1001776	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Amidated;AC=UNIMOD:2;TA=.;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20210323_D74G5_002.raw.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	G5
Activated CD4-positive T cell donor D83	Homo sapiens	blood	CD4-positive T cell	83	D83 A5	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000628	NT=MALDI Synapt MS;AC=MS:1001776	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Amidated;AC=UNIMOD:2;TA=.;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20210319_D83A5_001.raw.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	A5
Activated CD4-positive T cell donor D83	Homo sapiens	blood	CD4-positive T cell	83	D83 G5	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000628	NT=MALDI Synapt MS;AC=MS:1001776	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Amidated;AC=UNIMOD:2;TA=.;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20210319_D83G5_001.raw.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	G5
Activated CD4-positive T cell donor D89	Homo sapiens	blood	CD4-positive T cell	89	D89 A5	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000628	NT=MALDI Synapt MS;AC=MS:1001776	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Amidated;AC=UNIMOD:2;TA=.;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20210319_D89A5_001.raw.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	A5
Activated CD4-positive T cell donor D89	Homo sapiens	blood	CD4-positive T cell	89	D89 G5	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000628	NT=MALDI Synapt MS;AC=MS:1001776	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Amidated;AC=UNIMOD:2;TA=.;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20210319_D89G5_001.raw.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	G5
