source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	factor value[experiment series]	factor value[submitted sample group]	factor value[RNAse treatment]
Mus-musculus-N2a-Ctrl-diff-1	Mus musculus	not applicable	Neuro-2a	1	VK_N2a_cells_Ctrl_diff_CW_F2203_176	proteomic profiling by mass spectrometry	1	VK_N2a_cells_Ctrl_diff_CW_F2203_176.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	not applicable	label free sample	1	N2a cellular proteome	N2a-Ctrl-diff	not applicable
Mus-musculus-N2a-ADAR3-diff-1	Mus musculus	not applicable	Neuro-2a	1	VK_N2a_cells_ADAR3_diff_CW_F2203_178	proteomic profiling by mass spectrometry	1	VK_N2a_cells_ADAR3_diff_CW_F2203_178.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	not applicable	label free sample	1	N2a cellular proteome	N2a-ADAR3-diff	not applicable
Mus-musculus-N2a-ADAR3-diff-2	Mus musculus	not applicable	Neuro-2a	2	VK_N2a_cells_ADAR3_diff_CW_F2203_170	proteomic profiling by mass spectrometry	1	VK_N2a_cells_ADAR3_diff_CW_F2203_170.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	not applicable	label free sample	1	N2a cellular proteome	N2a-ADAR3-diff	not applicable
Mus-musculus-N2a-ADAR3-un-1	Mus musculus	not applicable	Neuro-2a	1	VK_N2a_cells_ADAR3_un_CW_F2203_203	proteomic profiling by mass spectrometry	1	VK_N2a_cells_ADAR3_un_CW_F2203_203.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	not applicable	label free sample	1	N2a cellular proteome	N2a-ADAR3-un	not applicable
Mus-musculus-N2a-ADAR3-diff-3	Mus musculus	not applicable	Neuro-2a	3	VK_N2a_cells_ADAR3_diff_CW_F2203_199	proteomic profiling by mass spectrometry	1	VK_N2a_cells_ADAR3_diff_CW_F2203_199.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	not applicable	label free sample	1	N2a cellular proteome	N2a-ADAR3-diff	not applicable
Mus-musculus-N2a-ADAR3-un-2	Mus musculus	not applicable	Neuro-2a	2	VK_N2a_cells_ADAR3_un_CW_F2203_174	proteomic profiling by mass spectrometry	1	VK_N2a_cells_ADAR3_un_CW_F2203_174.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	not applicable	label free sample	1	N2a cellular proteome	N2a-ADAR3-un	not applicable
Mus-musculus-N2a-ADAR3-un-3	Mus musculus	not applicable	Neuro-2a	3	VK_N2a_cells_ADAR3_un_CW_F2203_182	proteomic profiling by mass spectrometry	1	VK_N2a_cells_ADAR3_un_CW_F2203_182.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	not applicable	label free sample	1	N2a cellular proteome	N2a-ADAR3-un	not applicable
Mus-musculus-N2a-Ctrl-un-1	Mus musculus	not applicable	Neuro-2a	1	VK_N2a_cells_Ctrl_un_CW_F2203_172	proteomic profiling by mass spectrometry	1	VK_N2a_cells_Ctrl_un_CW_F2203_172.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	not applicable	label free sample	1	N2a cellular proteome	N2a-Ctrl-un	not applicable
Mus-musculus-N2a-Ctrl-diff-2	Mus musculus	not applicable	Neuro-2a	2	VK_N2a_cells_Ctrl_diff_CW_F2203_168	proteomic profiling by mass spectrometry	1	VK_N2a_cells_Ctrl_diff_CW_F2203_168.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	not applicable	label free sample	1	N2a cellular proteome	N2a-Ctrl-diff	not applicable
Mus-musculus-N2a-Ctrl-un-2	Mus musculus	not applicable	Neuro-2a	2	VK_N2a_cells_Ctrl_un_CW_F2203_201	proteomic profiling by mass spectrometry	1	VK_N2a_cells_Ctrl_un_CW_F2203_201.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	not applicable	label free sample	1	N2a cellular proteome	N2a-Ctrl-un	not applicable
