source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[transfection condition]
221216_Ctrl_1A_1	Homo sapiens	HeLa cell	HeLa	1	221216_Ctrl_1A_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	221216_Ctrl_1A_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	control + cGAS-Flag
221216_Ctrl_1A_2	Homo sapiens	HeLa cell	HeLa	1	221216_Ctrl_1A_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	2	1	221216_Ctrl_1A_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	control + cGAS-Flag
221216_Ctrl_1B_1	Homo sapiens	HeLa cell	HeLa	1	221216_Ctrl_1B_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	221216_Ctrl_1B_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	control + cGAS-Flag
221216_Ctrl_1B_2	Homo sapiens	HeLa cell	HeLa	1	221216_Ctrl_1B_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	2	1	221216_Ctrl_1B_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	control + cGAS-Flag
221216_Ctrl_1C_1	Homo sapiens	HeLa cell	HeLa	1	221216_Ctrl_1C_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	221216_Ctrl_1C_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	control + cGAS-Flag
221216_Ctrl_1C_2	Homo sapiens	HeLa cell	HeLa	1	221216_Ctrl_1C_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	2	1	221216_Ctrl_1C_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	control + cGAS-Flag
221216_pVI_2A_1	Homo sapiens	HeLa cell	HeLa	2	221216_pVI_2A_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	221216_pVI_2A_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	pVI(wt)-HA + cGAS-Flag
221216_pVI_2A_2	Homo sapiens	HeLa cell	HeLa	2	221216_pVI_2A_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	2	1	221216_pVI_2A_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	pVI(wt)-HA + cGAS-Flag
221216_pVI_2B_1	Homo sapiens	HeLa cell	HeLa	2	221216_pVI_2B_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	221216_pVI_2B_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	pVI(wt)-HA + cGAS-Flag
221216_pVI_2B_2	Homo sapiens	HeLa cell	HeLa	2	221216_pVI_2B_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	2	1	221216_pVI_2B_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	pVI(wt)-HA + cGAS-Flag
