source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[transfected construct]
US_Sample17	Homo sapiens	cell culture	HEK293 Flp-In	1	SLC22A10_TPA_220322_LysC_S1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	1	1	SLC22A10_TPA_220322_LysC_S1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	HEK293 Flp-In only
US_Sample18	Homo sapiens	cell culture	HEK293 Flp-In	1	SLC22A10_TPA_220322_LysC_S2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	1	1	SLC22A10_TPA_220322_LysC_S2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Human SLC22A10 (541 amino acid)
US_Sample19	Homo sapiens	cell culture	HEK293 Flp-In	1	SLC22A10_TPA_220322_LysC_S3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	1	1	SLC22A10_TPA_220322_LysC_S3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Human SLC22A10-P220L (541 amino acid)
US_Sample20	Homo sapiens	cell culture	HEK293 Flp-In	1	SLC22A10_TPA_220322_LysC_S4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	1	1	SLC22A10_TPA_220322_LysC_S4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Chimpanzee SLC22A10 (552 amino acid)
US_Sample21	Homo sapiens	cell culture	HEK293 Flp-In	1	SLC22A10_TPA_220322_LysC_S5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	1	1	SLC22A10_TPA_220322_LysC_S5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Chimpanzee SLC22A10-L220P (552 amino acid)
US_Sample17	Homo sapiens	cell culture	HEK293 Flp-In	1	SLC22A10_TPA_220322_Try_S1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	SLC22A10_TPA_220322_Try_S1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	HEK293 Flp-In only
US_Sample18	Homo sapiens	cell culture	HEK293 Flp-In	1	SLC22A10_TPA_220322_Try_S2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	SLC22A10_TPA_220322_Try_S2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Human SLC22A10 (541 amino acid)
US_Sample19	Homo sapiens	cell culture	HEK293 Flp-In	1	SLC22A10_TPA_220322_Try_S3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	SLC22A10_TPA_220322_Try_S3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Human SLC22A10-P220L (541 amino acid)
US_Sample20	Homo sapiens	cell culture	HEK293 Flp-In	1	SLC22A10_TPA_220322_Try_S4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	SLC22A10_TPA_220322_Try_S4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Chimpanzee SLC22A10 (552 amino acid)
US_Sample21	Homo sapiens	cell culture	HEK293 Flp-In	1	SLC22A10_TPA_220322_Try_S5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	SLC22A10_TPA_220322_Try_S5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Chimpanzee SLC22A10-L220P (552 amino acid)
