source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[pooled sample]	characteristics[disease]	characteristics[material type]	characteristics[treatment]	characteristics[enrichment process]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[passage number]	characteristics[culture medium]	characteristics[sample storage temperature]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	factor value[SUMO inhibitor]	factor value[antibody]	factor value[glucocorticoid]
GR_CTRL_Dex	Homo sapiens	blood	B cell	pooled	pooled	B-cell adult acute lymphocytic leukemia	cell line	dexamethasone	chromatin immunoprecipitation	Caucasian	19Y	male	adult	NALM-6 cell	CVCL_0092	NALM-6	not available	not available	not available	GR_CTRL_Dex_rep1-3.d	proteomic profiling by mass spectrometry	1	GR_CTRL_Dex_rep1-3.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Biotin;AC=UNIMOD:3;TA=K;MT=Variable	NT=Biotin;AC=UNIMOD:3;PP=Protein N-term;MT=Variable	DMSO	GR	dexamethasone
GR_SUMOi_EtOH	Homo sapiens	blood	B cell	pooled	pooled	B-cell adult acute lymphocytic leukemia	cell line	ethanol	chromatin immunoprecipitation	Caucasian	19Y	male	adult	NALM-6 cell	CVCL_0092	NALM-6	not available	not available	not available	GR_SUMOi_EtOH_rep1-3.d	proteomic profiling by mass spectrometry	1	GR_SUMOi_EtOH_rep1-3.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Biotin;AC=UNIMOD:3;TA=K;MT=Variable	NT=Biotin;AC=UNIMOD:3;PP=Protein N-term;MT=Variable	ML792	GR	ethanol
rabbit_IgG_antibody_CTRL_EtOH	Homo sapiens	blood	B cell	pooled	pooled	B-cell adult acute lymphocytic leukemia	cell line	ethanol	chromatin immunoprecipitation	Caucasian	19Y	male	adult	NALM-6 cell	CVCL_0092	NALM-6	not available	not available	not available	rabbit_IgG_antibody_CTRL_EtOH_rep1-3.d	proteomic profiling by mass spectrometry	1	rabbit_IgG_antibody_CTRL_EtOH_rep1-3.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Biotin;AC=UNIMOD:3;TA=K;MT=Variable	NT=Biotin;AC=UNIMOD:3;PP=Protein N-term;MT=Variable	DMSO	rabbit IgG	ethanol
rabbit_IgG_antibody_SUMOi_Dex	Homo sapiens	blood	B cell	pooled	pooled	B-cell adult acute lymphocytic leukemia	cell line	dexamethasone	chromatin immunoprecipitation	Caucasian	19Y	male	adult	NALM-6 cell	CVCL_0092	NALM-6	not available	not available	not available	rabbit_IgG_antibody_SUMOi_Dex_rep1-3.d	proteomic profiling by mass spectrometry	1	rabbit_IgG_antibody_SUMOi_Dex_rep1-3.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Biotin;AC=UNIMOD:3;TA=K;MT=Variable	NT=Biotin;AC=UNIMOD:3;PP=Protein N-term;MT=Variable	ML792	rabbit IgG	dexamethasone
GR_CTRL_EtOH	Homo sapiens	blood	B cell	pooled	pooled	B-cell adult acute lymphocytic leukemia	cell line	ethanol	chromatin immunoprecipitation	Caucasian	19Y	male	adult	NALM-6 cell	CVCL_0092	NALM-6	not available	not available	not available	GR_CTRL_EtOH_rep1-3.d	proteomic profiling by mass spectrometry	1	GR_CTRL_EtOH_rep1-3.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Biotin;AC=UNIMOD:3;TA=K;MT=Variable	NT=Biotin;AC=UNIMOD:3;PP=Protein N-term;MT=Variable	DMSO	GR	ethanol
SUMO_SUMOi	Homo sapiens	blood	B cell	pooled	pooled	B-cell adult acute lymphocytic leukemia	cell line	ML792	chromatin immunoprecipitation	Caucasian	19Y	male	adult	NALM-6 cell	CVCL_0092	NALM-6	not available	not available	not available	SUMO_SUMOi_rep1-3.d	proteomic profiling by mass spectrometry	1	SUMO_SUMOi_rep1-3.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Biotin;AC=UNIMOD:3;TA=K;MT=Variable	NT=Biotin;AC=UNIMOD:3;PP=Protein N-term;MT=Variable	ML792	SUMO2/3	not available
rabbit_IgG_antibody_SUMOi_EtOH	Homo sapiens	blood	B cell	pooled	pooled	B-cell adult acute lymphocytic leukemia	cell line	ethanol	chromatin immunoprecipitation	Caucasian	19Y	male	adult	NALM-6 cell	CVCL_0092	NALM-6	not available	not available	not available	rabbit_IgG_antibody_SUMOi_EtOH_rep1-3.d	proteomic profiling by mass spectrometry	1	rabbit_IgG_antibody_SUMOi_EtOH_rep1-3.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Biotin;AC=UNIMOD:3;TA=K;MT=Variable	NT=Biotin;AC=UNIMOD:3;PP=Protein N-term;MT=Variable	ML792	rabbit IgG	ethanol
GR_SUMOi_Dex	Homo sapiens	blood	B cell	pooled	pooled	B-cell adult acute lymphocytic leukemia	cell line	dexamethasone	chromatin immunoprecipitation	Caucasian	19Y	male	adult	NALM-6 cell	CVCL_0092	NALM-6	not available	not available	not available	GR_SUMOi_Dex_rep1-3.d	proteomic profiling by mass spectrometry	1	GR_SUMOi_Dex_rep1-3.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Biotin;AC=UNIMOD:3;TA=K;MT=Variable	NT=Biotin;AC=UNIMOD:3;PP=Protein N-term;MT=Variable	ML792	GR	dexamethasone
rabbit_IgG_antibody_CTRL_Dex	Homo sapiens	blood	B cell	pooled	pooled	B-cell adult acute lymphocytic leukemia	cell line	dexamethasone	chromatin immunoprecipitation	Caucasian	19Y	male	adult	NALM-6 cell	CVCL_0092	NALM-6	not available	not available	not available	rabbit_IgG_antibody_CTRL_Dex_rep1-3.d	proteomic profiling by mass spectrometry	1	rabbit_IgG_antibody_CTRL_Dex_rep1-3.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Biotin;AC=UNIMOD:3;TA=K;MT=Variable	NT=Biotin;AC=UNIMOD:3;PP=Protein N-term;MT=Variable	DMSO	rabbit IgG	dexamethasone
SUMO_CTRL	Homo sapiens	blood	B cell	pooled	pooled	B-cell adult acute lymphocytic leukemia	cell line	DMSO	chromatin immunoprecipitation	Caucasian	19Y	male	adult	NALM-6 cell	CVCL_0092	NALM-6	not available	not available	not available	SUMO_CTRL_rep1-3.d	proteomic profiling by mass spectrometry	1	SUMO_CTRL_rep1-3.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Biotin;AC=UNIMOD:3;TA=K;MT=Variable	NT=Biotin;AC=UNIMOD:3;PP=Protein N-term;MT=Variable	DMSO	SUMO2/3	not available
