source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[sample material]	factor value[solubilization treatment]
MA gland 1	Larinioides sclopetarius	major ampullate gland	1	MA_gland_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	MA_gland_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	major ampullate gland	8 M urea
MA gland 2	Larinioides sclopetarius	major ampullate gland	2	MA_gland_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	MA_gland_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	major ampullate gland	8 M urea
MA gland 3	Larinioides sclopetarius	major ampullate gland	3	MA_gland_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	MA_gland_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	major ampullate gland	8 M urea
Native silk HFIP 1	Larinioides sclopetarius	major ampullate silk fiber	1	Native_Silk_HFIP_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Native_Silk_HFIP_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	major ampullate silk fiber	HFIP
Native silk HFIP 2	Larinioides sclopetarius	major ampullate silk fiber	2	Native_Silk_HFIP_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Native_Silk_HFIP_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	major ampullate silk fiber	HFIP
Native silk HFIP 3	Larinioides sclopetarius	major ampullate silk fiber	3	Native_Silk_HFIP_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Native_Silk_HFIP_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	major ampullate silk fiber	HFIP
Native silk LiBr 1	Larinioides sclopetarius	major ampullate silk fiber	1	Native_Silk_LiBr_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Native_Silk_LiBr_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	major ampullate silk fiber	9 M LiBr
Native silk LiBr 2	Larinioides sclopetarius	major ampullate silk fiber	2	Native_Silk_LiBr_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Native_Silk_LiBr_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	major ampullate silk fiber	9 M LiBr
Native silk LiBr 3	Larinioides sclopetarius	major ampullate silk fiber	3	Native_Silk_LiBr_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Native_Silk_LiBr_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	major ampullate silk fiber	9 M LiBr
Native silk urea 1	Larinioides sclopetarius	major ampullate silk fiber	1	Native_Silk_Urea_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Native_Silk_Urea_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	major ampullate silk fiber	8 M urea
