source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[disease]	characteristics[treatment]	characteristics[age]	characteristics[sex]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	factor value[treatment]
PXD053005-Ctrlp9.d	Homo sapiens	adipose tissue	1	not available	control	not available	not available	Ctrlp9.d	proteomic profiling by mass spectrometry	1	Ctrlp9.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	label free sample	1	control
PXD053005-SAHAp8.d	Homo sapiens	adipose tissue	2	not available	SAHA	not available	not available	SAHAp8.d	proteomic profiling by mass spectrometry	1	SAHAp8.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	label free sample	1	SAHA
PXD053005-SAHAp9.d	Homo sapiens	adipose tissue	3	not available	SAHA	not available	not available	SAHAp9.d	proteomic profiling by mass spectrometry	1	SAHAp9.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	label free sample	1	SAHA
PXD053005-Ctrlp92.d	Homo sapiens	adipose tissue	4	not available	control	not available	not available	Ctrlp92.d	proteomic profiling by mass spectrometry	1	Ctrlp92.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	label free sample	1	control
PXD053005-Ctrlp8.d	Homo sapiens	adipose tissue	5	not available	control	not available	not available	Ctrlp8.d	proteomic profiling by mass spectrometry	1	Ctrlp8.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	label free sample	1	control
PXD053005-Ctrlp10.d	Homo sapiens	adipose tissue	6	not available	control	not available	not available	Ctrlp10.d	proteomic profiling by mass spectrometry	1	Ctrlp10.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	label free sample	1	control
PXD053005-Ctrlp7.d	Homo sapiens	adipose tissue	7	not available	control	not available	not available	Ctrlp7.d	proteomic profiling by mass spectrometry	1	Ctrlp7.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	label free sample	1	control
PXD053005-SAHAp92.d	Homo sapiens	adipose tissue	8	not available	SAHA	not available	not available	SAHAp92.d	proteomic profiling by mass spectrometry	1	SAHAp92.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	label free sample	1	SAHA
PXD053005-SAHAp7.d	Homo sapiens	adipose tissue	9	not available	SAHA	not available	not available	SAHAp7.d	proteomic profiling by mass spectrometry	1	SAHAp7.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	label free sample	1	SAHA
PXD053005-EtOHp92.d	Homo sapiens	adipose tissue	10	not available	ethanol vehicle	not available	not available	EtOHp92.d	proteomic profiling by mass spectrometry	1	EtOHp92.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	label free sample	1	ethanol vehicle
